case,D,timestep,match_flag,success_flag,full_radial,subspace_radial,radial_ratio,cos_metric,sin_metric,candidate_name,candidate_value,n_samples,notes
A_stripped_carrier,20,20,1,1,3.162277,1.000000,0.316228,1.000000,-0.000000,step_cos,1.000000,1024,eps=1.0; H3 frozen; radial=constant; cos=1.0 trivially; n_success=1024
A_stripped_carrier,20,20,1,1,3.162277,1.000000,0.316228,1.000000,-0.000000,h1_cos,-0.051547,1024,eps=1.0; H3 frozen; radial=constant; cos=1.0 trivially; n_success=1024
A_stripped_carrier,20,20,1,1,3.162277,1.000000,0.316228,1.000000,-0.000000,h3_h1_ratio,19.399595,1024,eps=1.0; H3 frozen; radial=constant; cos=1.0 trivially; n_success=1024
B_synthesis_overall,1,1,1,-1,3.162277,1.000000,0.316228,0.388672,-0.333984,step_cos,0.388672,1024,eps=0.0; H3 not preserved; n_success=440
B_synthesis_overall,1,1,1,-1,3.162277,1.000000,0.316228,0.388672,-0.333984,h1_cos,0.483818,1024,eps=0.0; H3 not preserved; n_success=440
B_synthesis_overall,1,1,1,-1,3.162277,1.000000,0.316228,0.388672,-0.333984,h3_h1_ratio,0.803343,1024,eps=0.0; H3 not preserved; n_success=440
B_synthesis_overall,5,5,1,-1,3.162277,1.000000,0.316228,-0.009766,-0.107422,step_cos,0.457031,1024,eps=0.0; H3 not preserved; n_success=242
B_synthesis_overall,5,5,1,-1,3.162277,1.000000,0.316228,-0.009766,-0.107422,h1_cos,0.019809,1024,eps=0.0; H3 not preserved; n_success=242
B_synthesis_overall,5,5,1,-1,3.162277,1.000000,0.316228,-0.009766,-0.107422,h3_h1_ratio,-0.492986,1024,eps=0.0; H3 not preserved; n_success=242
B_synthesis_overall,20,20,1,-1,3.162277,1.000000,0.316228,-0.004883,-0.077148,step_cos,0.607422,1024,eps=0.0; H3 not preserved; n_success=239
B_synthesis_overall,20,20,1,-1,3.162277,1.000000,0.316228,-0.004883,-0.077148,h1_cos,-0.008362,1024,eps=0.0; H3 not preserved; n_success=239
B_synthesis_overall,20,20,1,-1,3.162277,1.000000,0.316228,-0.004883,-0.077148,h3_h1_ratio,-0.583966,1024,eps=0.0; H3 not preserved; n_success=239
B_synthesis_overall,32,32,1,-1,3.162277,1.000000,0.316228,0.040039,-0.059570,step_cos,0.697266,1024,eps=0.0; H3 not preserved; n_success=265
B_synthesis_overall,32,32,1,-1,3.162277,1.000000,0.316228,0.040039,-0.059570,h1_cos,-0.001213,1024,eps=0.0; H3 not preserved; n_success=265
B_synthesis_overall,32,32,1,-1,3.162277,1.000000,0.316228,0.040039,-0.059570,h3_h1_ratio,33.020008,1024,eps=0.0; H3 not preserved; n_success=265
C_matched_vs_mismatch,20,20,1,1,3.162277,1.000000,0.316228,1.000000,-0.000000,h1_cos,0.035565,239,eps=0.0; matched (true class); success_flag=1
C_matched_vs_mismatch,20,20,1,1,3.162277,1.000000,0.316228,1.000000,-0.000000,h3_h1_ratio,28.117640,239,eps=0.0; matched (true class); success_flag=1
C_matched_vs_mismatch,20,20,1,0,3.162278,1.000000,0.316228,-0.310828,-0.100637,h1_cos,-0.021735,785,eps=0.0; matched (true class); success_flag=0
C_matched_vs_mismatch,20,20,1,0,3.162278,1.000000,0.316228,-0.310828,-0.100637,h3_h1_ratio,-14.300632,785,eps=0.0; matched (true class); success_flag=0
