case,relation,D,timestep,cos_metric,sin_metric,full_radial,subspace_radial,radial_ratio,success_flag,match_flag,eps_high,n_samples,notes
A,matched,1,0,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,AB;dist=0;eps=1.0;D=1;t=0
B,adj_plus1,1,0,6.212366798763469e-08,1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=1;eps=1.0;D=1;t=0
B,opposite,1,0,-1.0,5.958570170605526e-08,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=2;eps=1.0;D=1;t=0
B,adj_minus1,1,0,-6.603506363944689e-08,-1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=3;eps=1.0;D=1;t=0
A,matched,1,1,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,AB;dist=0;eps=1.0;D=1;t=1
B,adj_plus1,1,1,6.212366798763469e-08,1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=1;eps=1.0;D=1;t=1
B,opposite,1,1,-1.0,5.958570170605526e-08,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=2;eps=1.0;D=1;t=1
B,adj_minus1,1,1,-6.603506363944689e-08,-1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,1.0,1024,AB;dist=3;eps=1.0;D=1;t=1
C,success,1,0,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=1;t=0
C,failure,1,0,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=1;t=0;no_samples
C,success,1,1,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=1;t=1
