experiment_case,seed,D,carrier_constant,subspace_constant,operator_type,training_regime,training_steps,success_rate,cos_metric,sin_metric,carrier_norm,full_norm,ratio,exceeds_random,loss_final,notes
A_baseline,42,20,1.0000,2.4495,joint,STRUCTURED,500,0.2676,0.0748,0.5502,0.9028,2.2676,0.4082,NO,1.5197,
B_geom_D5,42,5,1.0000,2.4495,joint,STRUCTURED,500,0.2891,0.0639,0.5923,0.5162,1.5420,0.4082,YES,1.4319,
B_geom_D12,42,12,1.0000,2.4495,joint,STRUCTURED,500,0.2891,0.0556,0.6076,0.3291,1.2631,0.4082,YES,1.4016,
B_geom_D16,42,16,1.0000,2.4495,joint,STRUCTURED,500,0.2402,-0.0069,0.6117,0.5931,1.7162,0.4082,NO,1.4891,
B_geom_D24,42,24,1.0000,2.4495,joint,STRUCTURED,500,0.2266,-0.0322,0.5746,0.7845,2.0509,0.4082,NO,1.5819,
B_geom_D32,42,32,1.0000,2.4495,joint,STRUCTURED,500,0.2441,0.0037,0.5181,0.9830,2.4162,0.4082,NO,1.6182,
B_geom_cs0.5,42,20,0.5000,2.2913,joint,STRUCTURED,500,0.2480,0.0217,0.5336,0.4871,2.2462,0.2182,NO,1.4352,
B_geom_cs2.0,42,20,2.0000,3.0000,joint,STRUCTURED,500,0.2402,-0.0093,0.6365,0.7697,1.6565,0.6667,NO,1.5736,
B_geom_op_cos_only,42,20,1.0000,2.4495,cos_only,STRUCTURED,500,0.2969,0.0820,0.4883,0.4836,1.9193,0.4082,YES,1.4422,"ceiling~0.5 (classes 1,3 indistinguishable)"
B_geom_op_sin_only,42,20,1.0000,2.4495,sin_only,STRUCTURED,500,0.2090,-0.0664,0.4994,0.4674,1.3716,0.4082,NO,1.5190,"ceiling~0.5 (classes 0,2 indistinguishable)"
C_training_MINIMAL,42,20,1.0000,2.4495,joint,MINIMAL,0,0.2344,0.0199,0.6648,0.3601,1.2820,0.4082,NO,1.4185,
C_training_EXPANDED,42,20,1.0000,2.4495,joint,EXPANDED,1500,0.3047,0.0661,0.5481,0.5775,1.8019,0.4082,YES,1.4458,
D_coupled_D5_MINIMAL,42,5,1.0000,2.4495,joint,MINIMAL,0,0.2754,0.0079,0.6079,0.3489,1.3015,0.4082,NO,1.4068,
D_coupled_D5_EXPANDED,42,5,1.0000,2.4495,joint,EXPANDED,1500,0.2695,0.0380,0.6178,0.4432,1.4890,0.4082,NO,1.4482,
D_coupled_D32_MINIMAL,42,32,1.0000,2.4495,joint,MINIMAL,0,0.2285,-0.0111,0.6510,0.3561,1.2930,0.4082,NO,1.4240,
D_coupled_D32_EXPANDED,42,32,1.0000,2.4495,joint,EXPANDED,1500,0.3203,0.1505,0.5103,0.9912,2.4297,0.4082,YES,1.4745,
D_coupled_op_cos_only_MINIMAL,42,20,1.0000,2.4495,cos_only,MINIMAL,0,0.2637,0.0156,0.4883,0.2276,1.1391,0.4082,NO,1.4112,"ceiling~0.5 (classes 1,3 indistinguishable)"
D_coupled_op_cos_only_EXPANDED,42,20,1.0000,2.4495,cos_only,EXPANDED,1500,0.2480,-0.0156,0.4883,0.4532,1.9646,0.4082,NO,1.4915,"ceiling~0.5 (classes 1,3 indistinguishable)"
D_coupled_op_sin_only_MINIMAL,42,20,1.0000,2.4495,sin_only,MINIMAL,0,0.2090,-0.0703,0.5117,0.2120,0.5824,0.4082,NO,1.4141,"ceiling~0.5 (classes 0,2 indistinguishable)"
D_coupled_op_sin_only_EXPANDED,42,20,1.0000,2.4495,sin_only,EXPANDED,1500,0.2930,0.0841,0.4686,0.4435,1.3489,0.4082,YES,1.4199,"ceiling~0.5 (classes 0,2 indistinguishable)"
D_coupled_cs0.5_MINIMAL,42,20,0.5000,2.2913,joint,MINIMAL,0,0.2422,0.0379,0.6579,0.1783,1.2333,0.2182,NO,1.3892,
D_coupled_cs0.5_EXPANDED,42,20,0.5000,2.2913,joint,EXPANDED,1500,0.2461,0.0277,0.5354,0.4986,2.2873,0.2182,NO,1.4345,
D_coupled_cs2.0_MINIMAL,42,20,2.0000,3.0000,joint,MINIMAL,0,0.2383,0.0036,0.6343,0.6993,1.4450,0.6667,NO,1.5359,
D_coupled_cs2.0_EXPANDED,42,20,2.0000,3.0000,joint,EXPANDED,1500,0.2480,-0.0105,0.6184,0.6621,1.5198,0.6667,NO,1.5312,
E_stability_seed123,123,20,1.0000,2.4495,joint,STRUCTURED,500,0.2793,0.0464,0.4867,0.9835,2.4127,0.4082,NO,1.5760,
E_stability_seed777,777,20,1.0000,2.4495,joint,STRUCTURED,500,0.2520,-0.0099,0.5215,0.7872,2.1201,0.4082,NO,1.5440,
