case,sub_case,class_dist,timestep,D,eps_high,cos_metric,sin_metric,sin_abs,tan_metric,tan_unstable,n_samples,notes
A,matched,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=1;t=0
B,adj_plus1,1,0,1,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=1;t=0
B,opposite,2,0,1,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=1;t=0
B,adj_minus1,3,0,1,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=1;t=0
A,matched,0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=1;t=1
B,adj_plus1,1,1,1,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=1;t=1
B,opposite,2,1,1,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=1;t=1
B,adj_minus1,3,1,1,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=1;t=1
C,success,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=1;t=0
C,failure,0,0,1,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=1;t=0;no_samples
C,success,0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=1;t=1
C,failure,0,1,1,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=1;t=1;no_samples
A,matched,0,0,5,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=5;t=0
B,adj_plus1,1,0,5,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=5;t=0
B,opposite,2,0,5,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=5;t=0
B,adj_minus1,3,0,5,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=5;t=0
A,matched,0,1,5,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=5;t=1
B,adj_plus1,1,1,5,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=5;t=1
B,opposite,2,1,5,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=5;t=1
B,adj_minus1,3,1,5,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=5;t=1
A,matched,0,2,5,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=5;t=2
B,adj_plus1,1,2,5,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=5;t=2
B,opposite,2,2,5,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=5;t=2
B,adj_minus1,3,2,5,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=5;t=2
A,matched,0,3,5,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=5;t=3
B,adj_plus1,1,3,5,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=5;t=3
B,opposite,2,3,5,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=5;t=3
B,adj_minus1,3,3,5,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=5;t=3
A,matched,0,4,5,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=5;t=4
B,adj_plus1,1,4,5,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=5;t=4
B,opposite,2,4,5,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=5;t=4
