case,timestep,training_step,full_radius,subspace_radius,ratio,direction_metric,success_flag,match_flag
A_stripped,0,-1,2.44948983,1.0,0.40824831,1.0,1.0,-1
A_stripped,1,-1,2.44948983,1.0,0.40824831,0.38671875,0.427734,-1
A_stripped,2,-1,2.44948983,1.0,0.40824831,0.1582031,0.302734,-1
A_stripped,3,-1,2.44948983,1.0,0.40824831,0.08398439,0.294922,-1
A_stripped,4,-1,2.44948983,1.0,0.40824831,0.00585939,0.224609,-1
A_stripped,5,-1,2.44948983,1.0,0.40824831,-0.00585935,0.242188,-1
A_stripped,6,-1,2.44948983,1.0,0.40824831,0.01171876,0.257812,-1
A_stripped,7,-1,2.44948983,1.0,0.40824831,0.00390628,0.253906,-1
A_stripped,8,-1,2.44948983,1.0,0.40824831,-0.01562497,0.244141,-1
A_stripped,9,-1,2.44948983,1.0,0.40824831,-0.00976561,0.234375,-1
A_stripped,10,-1,2.44948983,1.0,0.40824831,-0.00781248,0.220703,-1
A_stripped,11,-1,2.44948983,1.0,0.40824831,-0.0097656,0.224609,-1
A_stripped,12,-1,2.44948983,1.0,0.40824831,0.00390629,0.246094,-1
A_stripped,13,-1,2.44948983,1.0,0.40824831,0.00390628,0.248047,-1
A_stripped,14,-1,2.44948983,1.0,0.40824831,-0.00976561,0.248047,-1
A_stripped,15,-1,2.44948983,1.0,0.40824831,-0.00195312,0.226562,-1
A_stripped,16,-1,2.44948983,1.0,0.40824831,-0.01953126,0.238281,-1
A_stripped,17,-1,2.44948983,1.0,0.40824831,0.00390624,0.253906,-1
A_stripped,18,-1,2.44948983,1.0,0.40824831,0.02539065,0.257812,-1
A_stripped,19,-1,2.44948983,1.0,0.40824831,0.01171877,0.230469,-1
A_stripped,20,-1,2.44948983,1.0,0.40824831,-0.01757813,0.228516,-1
B_untrained_matched,0,-1,2.44948983,1.0,0.40824831,1.0,1.0,1
B_untrained_matched,1,-1,1.38255692,0.40299183,0.29018563,-0.08100624,0.21875,1
B_untrained_matched,2,-1,1.33168507,0.37112898,0.27884552,0.00708584,0.257812,1
B_untrained_matched,3,-1,1.32524133,0.36024719,0.27129912,0.01390557,0.251953,1
B_untrained_matched,4,-1,1.33405602,0.37409428,0.27970079,0.05724404,0.291016,1
B_untrained_matched,5,-1,1.32677102,0.36076313,0.2709924,-0.03442646,0.238281,1
B_untrained_matched,6,-1,1.32691896,0.37850264,0.28355315,-0.0034621,0.259766,1
B_untrained_matched,7,-1,1.33121872,0.3752639,0.2815994,-0.00923258,0.263672,1
B_untrained_matched,8,-1,1.3326062,0.38014093,0.28188291,-0.02934437,0.255859,1
B_untrained_matched,9,-1,1.31646729,0.35457581,0.26807791,0.01340915,0.242188,1
