target,timestep,acc_harmonic,acc_token
floor_k_3,0,1.0,1.0
floor_k_3,1,1.0,0.23584
floor_k_3,2,1.0,0.236328
floor_k_3,3,1.0,0.230957
floor_k_3,4,1.0,0.230469
floor_k_3,5,1.0,0.230469
floor_k_3,6,1.0,0.229004
floor_k_3,7,1.0,0.223633
floor_k_3,8,1.0,0.214844
floor_k_3,9,1.0,0.216797
floor_k_3,10,1.0,0.218262
floor_k_3,11,1.0,0.219238
floor_k_3,12,1.0,0.21875
floor_k_3,13,1.0,0.221191
floor_k_3,14,1.0,0.228027
floor_k_3,15,1.0,0.231445
floor_k_3,16,1.0,0.233398
floor_k_3,17,1.0,0.234863
floor_k_3,18,1.0,0.230957
floor_k_3,19,1.0,0.228516
floor_k_3,20,1.0,0.227539
xor_mod4_mod3,0,1.0,1.0
xor_mod4_mod3,1,1.0,0.230957
xor_mod4_mod3,2,1.0,0.234375
xor_mod4_mod3,3,1.0,0.232422
xor_mod4_mod3,4,1.0,0.231445
xor_mod4_mod3,5,1.0,0.240234
xor_mod4_mod3,6,1.0,0.242676
xor_mod4_mod3,7,1.0,0.236328
xor_mod4_mod3,8,1.0,0.236328
xor_mod4_mod3,9,1.0,0.23584
xor_mod4_mod3,10,1.0,0.227539
xor_mod4_mod3,11,1.0,0.226562
xor_mod4_mod3,12,1.0,0.225586
xor_mod4_mod3,13,1.0,0.232422
xor_mod4_mod3,14,1.0,0.224609
xor_mod4_mod3,15,1.0,0.222168
xor_mod4_mod3,16,1.0,0.222168
xor_mod4_mod3,17,1.0,0.217773
xor_mod4_mod3,18,1.0,0.228027
xor_mod4_mod3,19,1.0,0.228516
xor_mod4_mod3,20,1.0,0.228027
