metric,value,note
Tr_depends_on_spin_H_core_v6,yes,"radial_transport_component_v22 imports active_transport_lift_core_v6, sigma_update_v6, project_tau_v6 from geometry_native_spinH_core_v6"
Tr_stale_pre_v6_dependency_removed,yes,geometry_native_operator_model_v22 does not import radial_transport_component_v12 or any spin_H_core_v4/v5 function for T_r*; sigma_update_v6 replaces all pre-v6 sigma calls
Tr_rebuild_local_only,yes,"only radial_transport_component_v12 was replaced; all other components (hold_v10, torus_base_advance_v10, composite_swap_v10, coupled_torus_kick_v20, composite_twist_v10, fiber_phase_lift_component_v21) were copied forward unchanged from v21"
Tr_bounded_audit_passed,yes,lawful_fraction=1.0000 illegal_count=0
non_Tr_paths_match_v21,yes,"the six non-T_r* components (hold, torus_base_advance, composite_swap, coupled_torus_kick, composite_twist, fiber_phase_lift_spin_transport) were copied forward unchanged from v21; bounded audit confirms per-component entry counts each equal state_count, consistent with the structural invariant that every state has exactly one transition per component"
Tr_only_behavioral_delta_confirmed,yes,non-T_r* parity holds; any count differences between v21 and v22 are sourced solely from radial_transport_unfolding
state_count,223357,"reachable states with T_c (v20), T_z' (v21), and T_r* (v22) rebuilt from spin_H_core_v6"
transition_count,1563499,nonzero operator entries with all three core-v6-derived transport components
lawful_fraction,1.000000,fraction of nonzero operator entries that are lawful
illegal_count,0,number of illegal transitions
class_diversity,34560,distinct tau-aware target class identities reached
distinct_spin_classes_reached,16,distinct target spin classes reached
distinct_radial_classes_reached,3,distinct target radial classes reached
state_count_change_vs_v21,44719,reachable state change vs v21 (T_z' from spin_H_core_v6): v21=178638
transition_count_change_vs_v21,313033,transition count change vs v21: v21=1250466
class_diversity_change_vs_v21,14,class diversity change vs v21: v21=34546
spin_diversity_change_vs_v21,0,spin diversity change vs v21: v21=16
radial_diversity_change_vs_v21,0,radial diversity change vs v21: v21=3
component_hold_count,223357,operator entries for hold
component_torus_base_advance_count,223357,operator entries for torus_base_advance
component_composite_swap_count,223357,operator entries for composite_swap
component_coupled_torus_kick_count,223357,operator entries for coupled_torus_kick
component_composite_twist_count,223357,operator entries for composite_twist
component_fiber_phase_lift_spin_transport_count,223357,operator entries for fiber_phase_lift_spin_transport
component_radial_transport_unfolding_count,223357,operator entries for radial_transport_unfolding
