surface_version,operator_left,operator_right,agreement_count,agreement_fraction,distinct_left_after_right_count,distinct_right_after_left_count,overlap_count,verdict
v25,T_b,T_x,8632,0.016431,211920,251655,85089,DISTINCT
v25,T_b,T_c,937,0.001784,240882,248262,91828,DISTINCT
v25,T_b,T_y,8622,0.016412,301480,301381,141081,DISTINCT
v25,T_b,T_z',346,0.000659,287021,293857,128839,DISTINCT
v25,T_b,T_r*,106,0.000202,294004,296329,136521,DISTINCT
v25,T_x,T_c,90,0.000171,201315,160787,76780,DISTINCT
v25,T_x,T_y,9568,0.018212,241334,217550,93664,DISTINCT
v25,T_x,T_z',534,0.001016,233658,207099,89542,DISTINCT
v25,T_x,T_r*,0,0.000000,236469,219778,105802,DISTINCT
v25,T_c,T_y,1228,0.002337,216187,230482,81774,DISTINCT
v25,T_c,T_z',433,0.000824,207798,225625,76382,DISTINCT
v25,T_c,T_r*,253,0.000482,233583,230052,87052,DISTINCT
v25,T_y,T_z',352,0.000670,277666,277895,120855,DISTINCT
v25,T_y,T_r*,790,0.001504,280229,281756,126138,DISTINCT
v25,T_z',T_r*,119,0.000227,270761,272474,120375,DISTINCT
