operator_left,operator_right,agreement_fraction,band,same_cluster,note
T_x,T_y,0.018212,A,yes,"Highest agreement in the spectrum; both non-transport; T_x (swap) and T_y (twist) share the most sigma-mediated structure"
T_b,T_x,0.016431,A,yes,"Non-transport intra; T_b (torus base) and T_x (swap) commute at 1.64% — 32x above transport intra mean"
T_b,T_y,0.016412,A,yes,"Non-transport intra; T_b and T_y (twist) nearly identical fraction to T_b×T_x, confirming tight non-transport cluster"
T_c,T_y,0.002337,B,no,"Highest cross-cluster pair; T_y acts as primary non-transport bridge toward the transport layer; T_c is primary transport bridge toward non-transport"
T_b,T_c,0.001784,B,no,"Second-highest cross-cluster pair; T_b has partial structural proximity to T_c (both operate on torus coordinates)"
T_y,T_r*,0.001504,B,no,"T_y bridges to T_r* (radial transport); third-highest cross-cluster; T_y has the highest mean cross-cluster fraction of all non-transport operators"
T_x,T_z',0.001016,B,no,"Marginal mid-band cross-cluster; T_x and T_z' (fiber phase lift) share minor structural overlap"
T_c,T_z',0.000824,C,yes,"Highest transport intra pair; within transport cluster but 20x below non-transport intra mean"
T_y,T_z',0.000670,C,no,"Low cross-cluster; T_y bridges T_z' at 0.067% — weaker than T_y×T_c and T_y×T_r*"
T_b,T_z',0.000659,C,no,"Low cross-cluster; T_b and T_z' (fiber phase lift) have minimal structural coupling"
T_c,T_r*,0.000482,C,yes,"Transport intra; T_c and T_r* agree at 0.048% — 33x below non-transport intra mean"
T_z',T_r*,0.000227,C,yes,"Lowest transport intra pair; T_z' (fiber phase) and T_r* (radial) are the most non-commutative within the transport cluster"
T_b,T_r*,0.000202,C,no,"Low cross-cluster; T_b and T_r* have near-minimal structural coupling (0.020%)"
T_x,T_c,0.000171,C,no,"Near-zero cross-cluster; T_x (swap) and T_c (torus kick) are structurally orthogonal"
T_x,T_r*,0.000000,D,no,"Exactly zero agreement across 525355 states; T_x and T_r* are maximally non-commutative — no state s satisfies T_x(T_r*(s)) == T_r*(T_x(s))"
