row_type,operator,cluster,avg_displacement,median_displacement,max_displacement,min_displacement,stdev_displacement,q1_displacement,q3_displacement,p10_displacement,p90_displacement,distinct_output_count,distinct_output_fraction,displacement_hist,operator_left,operator_right,overlap_fraction,divergence,jaccard,overlap_count
operator,T_b,non-transport,2.891386,3.0,3,1,0.311424,3,3,2,3,393415,0.748856,"{1: 44, 2: 56973, 3: 468338}",,,,,,
operator,T_x,non-transport,3.919439,4.0,4,3,0.272160,4,4,4,4,284021,0.540627,"{3: 42323, 4: 483032}",,,,,,
operator,T_y,non-transport,2.583411,3.0,3,1,0.506714,2,3,2,3,366479,0.697584,"{1: 3603, 2: 211651, 3: 310101}",,,,,,
operator,T_c,transport,2.594183,3.0,3,1,0.498238,2,3,2,3,285632,0.543693,"{1: 1868, 2: 209462, 3: 314025}",,,,,,
operator,T_z',transport,2.593163,3.0,3,1,0.499776,2,3,2,3,353161,0.672233,"{1: 2221, 2: 209292, 3: 313842}",,,,,,
operator,T_r*,transport,3.277504,3.0,4,1,0.683704,3,4,2,4,359228,0.683781,"{1: 681, 2: 68080, 3: 241364, 4: 215230}",,,,,,
pair,,,,,,,,,,,,393415,,,T_b,T_x,0.337360,0.662640,0.354325,177234
pair,,,,,,,,,,,,393415,,,T_b,T_y,0.426479,0.573521,0.418133,224053
pair,,,,,,,,,,,,393415,,,T_b,T_c,0.329078,0.670922,0.341555,172883
pair,,,,,,,,,,,,393415,,,T_b,T_z',0.411109,0.588891,0.407046,215978
pair,,,,,,,,,,,,393415,,,T_b,T_r*,0.418797,0.581203,0.413080,220017
pair,,,,,,,,,,,,284021,,,T_x,T_y,0.309374,0.690626,0.333076,162531
pair,,,,,,,,,,,,284021,,,T_x,T_c,0.283593,0.716407,0.354169,148987
pair,,,,,,,,,,,,284021,,,T_x,T_z',0.302392,0.697608,0.332128,158863
pair,,,,,,,,,,,,284021,,,T_x,T_r*,0.333258,0.666742,0.373965,175079
pair,,,,,,,,,,,,366479,,,T_y,T_c,0.308643,0.691357,0.330937,162147
pair,,,,,,,,,,,,366479,,,T_y,T_z',0.385871,0.614129,0.392166,202719
pair,,,,,,,,,,,,366479,,,T_y,T_r*,0.389685,0.610315,0.392954,204723
pair,,,,,,,,,,,,285632,,,T_c,T_z',0.298493,0.701507,0.325357,156815
pair,,,,,,,,,,,,285632,,,T_c,T_r*,0.304682,0.695318,0.330173,160066
pair,,,,,,,,,,,,353161,,,T_z',T_r*,0.384266,0.615734,0.395438,201876
