scope,metric,count,total,fraction,note
summary,primary_states_examined,5390,5390,1.0,"distinct observed primary chart states (b,phi,r) on bounded exact surface"
summary,distinct_transport_states_reached,51,5390,0.009461966604823747,"distinct lifted transport states (b,spin_h)"
summary,collision_count,5339,5390,0.9905380333951762,many-to-one collisions under representative L_h
summary,ambiguous_primary_states,2345,5390,0.43506493506493504,primary states observed with more than one exact truncated spin_h
summary,skipped_short_spin_observations,0,22330,0.0,observations skipped because exact future word shorter than truncation horizon
representation,phi_represented_in_transport_identity,1,1,1.0,"whether changes in phi can change lifted transport identity at fixed (b,r)"
representation,r_represented_in_transport_identity,0,1,0.0,"whether changes in r can change lifted transport identity at fixed (b,phi)"
representation,predictive_unfolding_explicit,1,1,1.0,transport identity carries explicit truncated future admissibility word spin_h
source_spin_length,full_spin_length_5,385,22330,0.017241379310344827,distribution of exact source spin_H lengths before truncation
source_spin_length,full_spin_length_15,770,22330,0.034482758620689655,distribution of exact source spin_H lengths before truncation
source_spin_length,full_spin_length_20,770,22330,0.034482758620689655,distribution of exact source spin_H lengths before truncation
source_spin_length,full_spin_length_25,385,22330,0.017241379310344827,distribution of exact source spin_H lengths before truncation
source_spin_length,full_spin_length_35,5005,22330,0.22413793103448276,distribution of exact source spin_H lengths before truncation
source_spin_length,full_spin_length_40,5005,22330,0.22413793103448276,distribution of exact source spin_H lengths before truncation
source_spin_length,full_spin_length_45,5005,22330,0.22413793103448276,distribution of exact source spin_H lengths before truncation
source_spin_length,full_spin_length_50,5005,22330,0.22413793103448276,distribution of exact source spin_H lengths before truncation
primary_distribution,primary_b0_phi(0)_r1__to__transport_b0_spin0000,5,6,0.8333333333333334,"representative L_h image; variants=2; observed_transport_words=['0000', '0010']"
primary_distribution,primary_b0_phi(1)_r1__to__transport_b0_spin0100,4,6,0.6666666666666666,"representative L_h image; variants=3; observed_transport_words=['0000', '0010', '0100']"
primary_distribution,primary_b0_phi(2)_r1__to__transport_b0_spin0100,4,6,0.6666666666666666,"representative L_h image; variants=2; observed_transport_words=['0000', '0100']"
primary_distribution,primary_b0_phi(3)_r1__to__transport_b0_spin0000,4,6,0.6666666666666666,"representative L_h image; variants=2; observed_transport_words=['0000', '0100']"
primary_distribution,primary_b0_phi(4)_r1__to__transport_b0_spin0000,4,6,0.6666666666666666,"representative L_h image; variants=2; observed_transport_words=['0000', '0100']"
primary_distribution,primary_b0_phi(5)_r1__to__transport_b0_spin0000,4,6,0.6666666666666666,"representative L_h image; variants=2; observed_transport_words=['0000', '0100']"
primary_distribution,primary_b0_phi(6)_r1__to__transport_b0_spin0100,4,6,0.6666666666666666,"representative L_h image; variants=3; observed_transport_words=['0000', '0010', '0100']"
primary_distribution,primary_b0_phi(7)_r1__to__transport_b0_spin0100,3,6,0.5,"representative L_h image; variants=3; observed_transport_words=['0000', '0010', '0100']"
primary_distribution,primary_b0_phi(8)_r1__to__transport_b0_spin0100,3,6,0.5,"representative L_h image; variants=3; observed_transport_words=['0000', '0010', '0100']"
primary_distribution,primary_b0_phi(9)_r1__to__transport_b0_spin0000,5,6,0.8333333333333334,"representative L_h image; variants=2; observed_transport_words=['0000', '0010']"
primary_distribution,primary_b0_phi(10)_r1__to__transport_b0_spin0100,4,6,0.6666666666666666,"representative L_h image; variants=3; observed_transport_words=['0000', '0010', '0100']"
primary_distribution,primary_b1_phi(0)_r1__to__transport_b1_spin0000,4,6,0.6666666666666666,"representative L_h image; variants=3; observed_transport_words=['0000', '0001', '0100']"
primary_distribution,primary_b1_phi(1)_r1__to__transport_b1_spin1000,4,6,0.6666666666666666,"representative L_h image; variants=3; observed_transport_words=['0001', '0100', '1000']"
primary_distribution,primary_b1_phi(2)_r1__to__transport_b1_spin1000,4,6,0.6666666666666666,"representative L_h image; variants=2; observed_transport_words=['0000', '1000']"
primary_distribution,primary_b1_phi(3)_r1__to__transport_b1_spin0000,3,6,0.5,"representative L_h image; variants=3; observed_transport_words=['0000', '0001', '1000']"
primary_distribution,primary_b1_phi(4)_r1__to__transport_b1_spin0000,4,6,0.6666666666666666,"representative L_h image; variants=2; observed_transport_words=['0000', '1000']"
primary_distribution,primary_b1_phi(5)_r1__to__transport_b1_spin0000,4,6,0.6666666666666666,"representative L_h image; variants=2; observed_transport_words=['0000', '1000']"
primary_distribution,primary_b1_phi(6)_r1__to__transport_b1_spin1000,4,6,0.6666666666666666,"representative L_h image; variants=3; observed_transport_words=['0001', '0100', '1000']"
primary_distribution,primary_b1_phi(7)_r1__to__transport_b1_spin1000,3,6,0.5,"representative L_h image; variants=4; observed_transport_words=['0000', '0001', '0100', '1000']"
primary_distribution,primary_b1_phi(8)_r1__to__transport_b1_spin1000,3,6,0.5,"representative L_h image; variants=4; observed_transport_words=['0000', '0001', '0100', '1000']"
primary_distribution,primary_b1_phi(9)_r1__to__transport_b1_spin0000,4,6,0.6666666666666666,"representative L_h image; variants=3; observed_transport_words=['0000', '0001', '0100']"
primary_distribution,primary_b1_phi(10)_r1__to__transport_b1_spin1000,4,6,0.6666666666666666,"representative L_h image; variants=3; observed_transport_words=['0000', '0100', '1000']"
primary_distribution,primary_b2_phi(0)_r1__to__transport_b2_spin0000,4,6,0.6666666666666666,"representative L_h image; variants=3; observed_transport_words=['0000', '0010', '1000']"
primary_distribution,primary_b2_phi(1)_r1__to__transport_b2_spin0000,4,6,0.6666666666666666,"representative L_h image; variants=3; observed_transport_words=['0000', '0010', '1000']"
primary_distribution,primary_b2_phi(2)_r1__to__transport_b2_spin0000,6,6,1.0,representative L_h image; variants=1; observed_transport_words=['0000']
primary_distribution,primary_b2_phi(3)_r1__to__transport_b2_spin0000,5,6,0.8333333333333334,"representative L_h image; variants=2; observed_transport_words=['0000', '0010']"
primary_distribution,primary_b2_phi(4)_r1__to__transport_b2_spin0000,6,6,1.0,representative L_h image; variants=1; observed_transport_words=['0000']
primary_distribution,primary_b2_phi(5)_r1__to__transport_b2_spin0000,6,6,1.0,representative L_h image; variants=1; observed_transport_words=['0000']
primary_distribution,primary_b2_phi(6)_r1__to__transport_b2_spin0000,4,6,0.6666666666666666,"representative L_h image; variants=3; observed_transport_words=['0000', '0010', '1000']"
