surface_version,operator_i,operator_j,operator_k,agreement_count,agreement_fraction,associative_exact,note
v25,T_b,T_b,T_b,525355,1.000000,yes,(T_b ∘ (T_b ∘ T_b)) == ((T_b ∘ T_b) ∘ T_b)
v25,T_b,T_b,T_x,525355,1.000000,yes,(T_b ∘ (T_b ∘ T_x)) == ((T_b ∘ T_b) ∘ T_x)
v25,T_b,T_b,T_y,525355,1.000000,yes,(T_b ∘ (T_b ∘ T_y)) == ((T_b ∘ T_b) ∘ T_y)
v25,T_b,T_x,T_b,525355,1.000000,yes,(T_b ∘ (T_x ∘ T_b)) == ((T_b ∘ T_x) ∘ T_b)
v25,T_b,T_x,T_x,525355,1.000000,yes,(T_b ∘ (T_x ∘ T_x)) == ((T_b ∘ T_x) ∘ T_x)
v25,T_b,T_x,T_y,525355,1.000000,yes,(T_b ∘ (T_x ∘ T_y)) == ((T_b ∘ T_x) ∘ T_y)
v25,T_b,T_y,T_b,525355,1.000000,yes,(T_b ∘ (T_y ∘ T_b)) == ((T_b ∘ T_y) ∘ T_b)
v25,T_b,T_y,T_x,525355,1.000000,yes,(T_b ∘ (T_y ∘ T_x)) == ((T_b ∘ T_y) ∘ T_x)
v25,T_b,T_y,T_y,525355,1.000000,yes,(T_b ∘ (T_y ∘ T_y)) == ((T_b ∘ T_y) ∘ T_y)
v25,T_x,T_b,T_b,525355,1.000000,yes,(T_x ∘ (T_b ∘ T_b)) == ((T_x ∘ T_b) ∘ T_b)
v25,T_x,T_b,T_x,525355,1.000000,yes,(T_x ∘ (T_b ∘ T_x)) == ((T_x ∘ T_b) ∘ T_x)
v25,T_x,T_b,T_y,525355,1.000000,yes,(T_x ∘ (T_b ∘ T_y)) == ((T_x ∘ T_b) ∘ T_y)
v25,T_x,T_x,T_b,525355,1.000000,yes,(T_x ∘ (T_x ∘ T_b)) == ((T_x ∘ T_x) ∘ T_b)
v25,T_x,T_x,T_x,525355,1.000000,yes,(T_x ∘ (T_x ∘ T_x)) == ((T_x ∘ T_x) ∘ T_x)
v25,T_x,T_x,T_y,525355,1.000000,yes,(T_x ∘ (T_x ∘ T_y)) == ((T_x ∘ T_x) ∘ T_y)
v25,T_x,T_y,T_b,525355,1.000000,yes,(T_x ∘ (T_y ∘ T_b)) == ((T_x ∘ T_y) ∘ T_b)
v25,T_x,T_y,T_x,525355,1.000000,yes,(T_x ∘ (T_y ∘ T_x)) == ((T_x ∘ T_y) ∘ T_x)
v25,T_x,T_y,T_y,525355,1.000000,yes,(T_x ∘ (T_y ∘ T_y)) == ((T_x ∘ T_y) ∘ T_y)
v25,T_y,T_b,T_b,525355,1.000000,yes,(T_y ∘ (T_b ∘ T_b)) == ((T_y ∘ T_b) ∘ T_b)
v25,T_y,T_b,T_x,525355,1.000000,yes,(T_y ∘ (T_b ∘ T_x)) == ((T_y ∘ T_b) ∘ T_x)
v25,T_y,T_b,T_y,525355,1.000000,yes,(T_y ∘ (T_b ∘ T_y)) == ((T_y ∘ T_b) ∘ T_y)
v25,T_y,T_x,T_b,525355,1.000000,yes,(T_y ∘ (T_x ∘ T_b)) == ((T_y ∘ T_x) ∘ T_b)
v25,T_y,T_x,T_x,525355,1.000000,yes,(T_y ∘ (T_x ∘ T_x)) == ((T_y ∘ T_x) ∘ T_x)
v25,T_y,T_x,T_y,525355,1.000000,yes,(T_y ∘ (T_x ∘ T_y)) == ((T_y ∘ T_x) ∘ T_y)
v25,T_y,T_y,T_b,525355,1.000000,yes,(T_y ∘ (T_y ∘ T_b)) == ((T_y ∘ T_y) ∘ T_b)
v25,T_y,T_y,T_x,525355,1.000000,yes,(T_y ∘ (T_y ∘ T_x)) == ((T_y ∘ T_y) ∘ T_x)
v25,T_y,T_y,T_y,525355,1.000000,yes,(T_y ∘ (T_y ∘ T_y)) == ((T_y ∘ T_y) ∘ T_y)
