variant,checkpoint,accuracy,alpha0,route_entropy,transport_frac,b_pos0,runtime_seconds,loss,d_tau,d_in,n_params,jit,note
baseline_onehot,0,0.263,0.244,1.7507,0.3734,2.0,0.0,-1.0,21,25,1403,yes,pre-training
baseline_onehot,250,0.288,0.246,1.7507,0.3724,2.011,2.6,1.3809,21,25,1403,yes,
baseline_onehot,500,0.406,0.2533,1.7505,0.3735,2.05,5.06,1.3718,21,25,1403,yes,
baseline_onehot,1000,0.775,0.3058,1.7497,0.3845,2.311,9.9,1.3114,21,25,1403,yes,
baseline_onehot,1500,1.0,0.5968,1.7443,0.4564,3.525,14.76,0.7306,21,25,1403,yes,solved
baseline_onehot,2000,1.0,0.821,1.7354,0.544,4.657,19.85,0.0818,21,25,1403,yes,solved
baseline_onehot,2500,1.0,0.8572,1.7321,0.5719,4.926,24.75,0.0283,21,25,1403,yes,solved
baseline_onehot,3000,1.0,0.8717,1.7311,0.5825,5.05,29.79,0.0158,21,25,1403,yes,solved
angular_cossin,0,0.271,0.2432,1.7539,0.6887,2.0,0.0,-1.0,8,12,779,yes,pre-training
angular_cossin,250,0.284,0.2446,1.7542,0.6892,2.007,1.98,1.3849,8,12,779,yes,
angular_cossin,500,0.308,0.2481,1.7544,0.6911,2.026,3.95,1.382,8,12,779,yes,
angular_cossin,1000,0.405,0.2681,1.7548,0.6988,2.131,7.74,1.3655,8,12,779,yes,
angular_cossin,1500,0.645,0.35,1.7546,0.7228,2.516,11.58,1.2826,8,12,779,yes,
angular_cossin,2000,0.997,0.6698,1.7478,0.7625,3.843,15.47,0.6071,8,12,779,yes,solved
angular_cossin,2500,1.0,0.8241,1.7343,0.7185,4.68,19.33,0.1256,8,12,779,yes,solved
angular_cossin,3000,1.0,0.8596,1.7265,0.66,4.947,23.26,0.0492,8,12,779,yes,solved
