variant,checkpoint,accuracy,alpha0,route_entropy,transport_fraction,mean_resultant_magnitude,magnitude_std,pp_mag_swap,pp_mag_coupled,pp_mag_twist,pp_mag_lift,runtime_seconds,steps_per_second,loss,d_tau,n_params,note
baseline_onehot,0,0.263,0.244,1.7507,0.3734,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0,-1.0,21,1403,
baseline_onehot,250,0.288,0.246,1.7507,0.3724,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.31,108.2,1.3809,21,1403,
baseline_onehot,500,0.406,0.2533,1.7505,0.3735,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.56,109.6,1.3718,21,1403,
baseline_onehot,1000,0.775,0.3058,1.7497,0.3845,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.98,111.4,1.3114,21,1403,
baseline_onehot,1500,1.0,0.5968,1.7443,0.4564,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.37,112.2,0.7306,21,1403,solved
baseline_onehot,2000,1.0,0.821,1.7354,0.544,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.76,112.6,0.0818,21,1403,solved
baseline_onehot,2500,1.0,0.8572,1.7321,0.5719,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.2,112.6,0.0283,21,1403,solved
baseline_onehot,3000,1.0,0.8717,1.7311,0.5825,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.59,112.8,0.0158,21,1403,solved
angular_euclidean,0,0.271,0.2432,1.7539,0.6887,0.52659,0.205,0.83095,0.4298,0.35955,0.48608,0.0,0,-1.0,8,779,
angular_euclidean,250,0.284,0.2446,1.7542,0.6892,0.52559,0.20529,0.82927,0.42879,0.35847,0.48582,1.76,142.0,1.3849,8,779,
angular_euclidean,500,0.308,0.2481,1.7544,0.6911,0.5248,0.20556,0.82751,0.42878,0.35709,0.48583,3.5,142.9,1.382,8,779,
angular_euclidean,1000,0.405,0.2681,1.7548,0.6988,0.52498,0.20595,0.82464,0.42948,0.35794,0.48785,6.89,145.1,1.3655,8,779,
angular_euclidean,1500,0.645,0.35,1.7546,0.7228,0.52314,0.2067,0.82476,0.42961,0.35425,0.48395,10.31,145.5,1.2826,8,779,
angular_euclidean,2000,0.997,0.6698,1.7478,0.7625,0.52356,0.20621,0.82416,0.43232,0.35276,0.485,13.78,145.1,0.6071,8,779,solved
angular_euclidean,2500,1.0,0.8241,1.7343,0.7185,0.52709,0.20484,0.84225,0.43964,0.35791,0.46858,17.19,145.4,0.1256,8,779,solved
angular_euclidean,3000,1.0,0.8596,1.7265,0.66,0.52981,0.20751,0.85024,0.44516,0.35906,0.46479,20.6,145.6,0.0492,8,779,solved
angular_circular,0,0.241,0.2432,1.6847,0.6629,0.54695,0.21012,0.83659,0.45115,0.38802,0.51204,0.0,0,-1.0,8,779,
angular_circular,250,0.253,0.2429,1.6639,0.7498,0.5517,0.20639,0.85696,0.45042,0.3914,0.508,2.12,117.9,1.3876,8,779,
angular_circular,500,0.272,0.2432,1.6636,0.7662,0.55015,0.2078,0.8447,0.44943,0.39555,0.51093,4.17,119.9,1.3868,8,779,
angular_circular,1000,0.286,0.2459,1.6658,0.7722,0.54887,0.20607,0.84902,0.45456,0.38741,0.50451,8.26,121.1,1.3864,8,779,
angular_circular,1500,0.33,0.2528,1.6233,0.8399,0.56365,0.1998,0.86982,0.46493,0.40962,0.51023,12.37,121.3,1.3831,8,779,
angular_circular,2000,0.413,0.272,1.5936,0.8555,0.57672,0.19273,0.90339,0.46973,0.4197,0.51407,16.46,121.5,1.3701,8,779,
angular_circular,2500,0.576,0.3346,1.6043,0.7142,0.56834,0.193,0.91554,0.46502,0.39727,0.49553,20.53,121.8,1.3186,8,779,
angular_circular,3000,0.765,0.5481,1.615,0.649,0.56539,0.19393,0.9159,0.45732,0.39337,0.49499,24.61,121.9,1.0707,8,779,
angular_hybrid,0,0.231,0.2431,1.5808,0.5589,0.58444,0.19685,0.93447,0.46556,0.41341,0.5243,0.0,0,-1.0,12,971,
angular_hybrid,250,0.285,0.244,1.5785,0.5718,0.58492,0.19586,0.93863,0.46685,0.412,0.52221,2.11,118.5,1.3826,12,971,
angular_hybrid,500,0.321,0.2474,1.5701,0.5245,0.58557,0.19311,0.94479,0.46815,0.40912,0.52021,4.19,119.3,1.3784,12,971,
angular_hybrid,1000,0.375,0.2689,1.5552,0.4141,0.59105,0.19609,0.94541,0.46973,0.42518,0.52389,8.27,120.9,1.3575,12,971,
angular_hybrid,1500,0.599,0.3663,1.5332,0.3109,0.59526,0.20074,0.93467,0.48303,0.43003,0.53332,12.53,119.7,1.2341,12,971,
angular_hybrid,2000,0.991,0.7313,1.5392,0.3498,0.59808,0.19811,0.93414,0.47757,0.43975,0.54086,16.89,118.4,0.3247,12,971,solved
angular_hybrid,2500,1.0,0.8365,1.4171,0.1346,0.63877,0.18565,0.96525,0.52451,0.47958,0.58575,21.15,118.2,0.0564,12,971,solved
angular_hybrid,3000,1.0,0.8618,1.4226,0.1516,0.63925,0.18585,0.96411,0.52472,0.4799,0.58828,25.42,118.0,0.0235,12,971,solved
