component_name,profiler_source,wall_time_seconds,percent_total_runtime,baseline_or_historical,thread_behavior_note,bottleneck_rank,note
train_step/forward,phase3_split_timing,1.1566,56.02,CURRENT_CPU_BASELINE,single-thread CPU (torch.set_num_threads=1),1,200 steps measured
train_step/backward,phase3_split_timing,0.8199,39.71,CURRENT_CPU_BASELINE,single-thread CPU (torch.set_num_threads=1),2,200 steps measured
train_step/clip_grad,phase3_split_timing,0.0304,1.47,CURRENT_CPU_BASELINE,single-thread CPU (torch.set_num_threads=1),3,200 steps measured
train_step/loss,phase3_split_timing,0.0222,1.07,CURRENT_CPU_BASELINE,single-thread CPU (torch.set_num_threads=1),4,200 steps measured
train_step/optimizer,phase3_split_timing,0.0121,0.58,CURRENT_CPU_BASELINE,single-thread CPU (torch.set_num_threads=1),5,200 steps measured
train_step/zero_grad,phase3_split_timing,0.0117,0.57,CURRENT_CPU_BASELINE,single-thread CPU (torch.set_num_threads=1),6,200 steps measured
train_step/sample,phase3_split_timing,0.0109,0.53,CURRENT_CPU_BASELINE,single-thread CPU (torch.set_num_threads=1),7,200 steps measured
aten::index,phase2_torch_profiler,0.0883,15.03,CURRENT_CPU_BASELINE,count=3750,8,self_cpu_time across 50 steps
aten::bmm,phase2_torch_profiler,0.0806,13.74,CURRENT_CPU_BASELINE,count=2550,9,self_cpu_time across 50 steps
aten::select,phase2_torch_profiler,0.0554,9.44,CURRENT_CPU_BASELINE,count=117650,10,self_cpu_time across 50 steps
aten::tanh,phase2_torch_profiler,0.0491,8.36,CURRENT_CPU_BASELINE,count=1250,11,self_cpu_time across 50 steps
aten::mm,phase2_torch_profiler,0.0335,5.7,CURRENT_CPU_BASELINE,count=7500,12,self_cpu_time across 50 steps
forward,phase2_torch_profiler,0.0231,3.93,CURRENT_CPU_BASELINE,count=50,13,self_cpu_time across 50 steps
aten::as_strided,phase2_torch_profiler,0.0228,3.89,CURRENT_CPU_BASELINE,count=150400,14,self_cpu_time across 50 steps
aten::add,phase2_torch_profiler,0.0198,3.38,CURRENT_CPU_BASELINE,count=6400,15,self_cpu_time across 50 steps
aten::_softmax,phase2_torch_profiler,0.0147,2.5,CURRENT_CPU_BASELINE,count=1250,16,self_cpu_time across 50 steps
<backward op>,phase2_torch_profiler,0.0129,2.19,CURRENT_CPU_BASELINE,count=2550,17,self_cpu_time across 50 steps
/opt/homebrew/Caskroom/miniforge/base/lib/python3.10/site-packages/torch/nn/modules/module.py:1783(_call_impl),phase1_cprofile,1.078,61.37,CURRENT_CPU_BASELINE,ncalls=200,18,tottime across 200 steps
{method 'run_backward' of 'torch._C._EngineBase' objects},phase1_cprofile,0.59,33.59,CURRENT_CPU_BASELINE,ncalls=200,19,tottime across 200 steps
{built-in method torch.randint},phase1_cprofile,0.005,0.28,CURRENT_CPU_BASELINE,ncalls=600,20,tottime across 200 steps
{built-in method torch._foreach_norm},phase1_cprofile,0.004,0.23,CURRENT_CPU_BASELINE,ncalls=200,21,tottime across 200 steps
{built-in method torch._C._nn.cross_entropy_loss},phase1_cprofile,0.004,0.23,CURRENT_CPU_BASELINE,ncalls=200,22,tottime across 200 steps
{built-in method torch._ops.profiler._record_function_enter_new},phase1_cprofile,0.004,0.23,CURRENT_CPU_BASELINE,ncalls=400,23,tottime across 200 steps
/Users/adminamn/AI-Research/ai-router/router-research/tools/prime_transport/run_router_bottleneck_probe_v3.py:190(sample_batch),phase1_cprofile,0.003,0.17,CURRENT_CPU_BASELINE,ncalls=200,24,tottime across 200 steps
/opt/homebrew/Caskroom/miniforge/base/lib/python3.10/site-packages/torch/optim/optimizer.py:1027(zero_grad),phase1_cprofile,0.003,0.17,CURRENT_CPU_BASELINE,ncalls=200,25,tottime across 200 steps
/Users/adminamn/AI-Research/ai-router/router-research/tools/prime_transport/run_router_bottleneck_probe_v3.py:202(train_step),phase1_cprofile,0.002,0.11,CURRENT_CPU_BASELINE,ncalls=200,26,tottime across 200 steps
/opt/homebrew/Caskroom/miniforge/base/lib/python3.10/site-packages/torch/autograd/__init__.py:89(_make_grads),phase1_cprofile,0.002,0.11,CURRENT_CPU_BASELINE,ncalls=200,27,tottime across 200 steps
HISTORICAL_MPS_SAMPLE,macOS_sample_command,-1,-1,HISTORICAL_MPS_SECONDARY,MPS backend; 2623 MPS/Metal refs,28,"HISTORICAL: captured from MPS backend run, NOT the current CPU baseline. Thread structure and dispatch patterns differ fundamentally from CPU execution."
