variant,checkpoint,accuracy,alpha0,solve_step,wall_time_seconds,steps_per_second,route_entropy,transport_fraction,loss,d_tau,n_params,note
baseline_onehot,0,0.263,0.244,1500,0.0,0,1.7507,0.3734,-1.0,21,1403,pre-training
baseline_onehot,250,0.288,0.246,1500,2.76,90.6,1.7507,0.3724,1.3809,21,1403,
baseline_onehot,500,0.406,0.2533,1500,5.49,91.1,1.7505,0.3735,1.3718,21,1403,
baseline_onehot,1000,0.775,0.3058,1500,10.68,93.6,1.7497,0.3845,1.3114,21,1403,
baseline_onehot,1500,1.0,0.5968,1500,15.57,96.3,1.7443,0.4564,0.7306,21,1403,solved
baseline_onehot,2000,1.0,0.821,1500,20.48,97.7,1.7354,0.544,0.0818,21,1403,solved
baseline_onehot,2500,1.0,0.8572,1500,25.39,98.5,1.7321,0.5719,0.0283,21,1403,solved
baseline_onehot,3000,1.0,0.8717,1500,30.21,99.3,1.7311,0.5825,0.0158,21,1403,solved
angular_euclidean,0,0.271,0.2432,2000,0.0,0,1.7539,0.6887,-1.0,8,779,pre-training
angular_euclidean,250,0.284,0.2446,2000,1.91,130.9,1.7542,0.6892,1.3849,8,779,
angular_euclidean,500,0.308,0.2481,2000,3.71,134.8,1.7544,0.6911,1.382,8,779,
angular_euclidean,1000,0.405,0.2681,2000,7.43,134.6,1.7548,0.6988,1.3655,8,779,
angular_euclidean,1500,0.645,0.35,2000,11.19,134.0,1.7546,0.7228,1.2826,8,779,
angular_euclidean,2000,0.997,0.6698,2000,14.97,133.6,1.7478,0.7625,0.6071,8,779,solved
angular_euclidean,2500,1.0,0.8241,2000,18.69,133.8,1.7343,0.7185,0.1256,8,779,solved
angular_euclidean,3000,1.0,0.8596,2000,22.28,134.6,1.7265,0.66,0.0492,8,779,solved
angular_circular,0,0.241,0.2432,-1,0.0,0,1.6847,0.6629,-1.0,8,779,pre-training
angular_circular,250,0.253,0.2429,-1,2.32,107.8,1.6639,0.7498,1.3876,8,779,
angular_circular,500,0.272,0.2432,-1,4.58,109.2,1.6636,0.7662,1.3868,8,779,
angular_circular,1000,0.286,0.2459,-1,8.96,111.6,1.6658,0.7722,1.3864,8,779,
angular_circular,1500,0.33,0.2528,-1,13.43,111.7,1.6233,0.8399,1.3831,8,779,
angular_circular,2000,0.413,0.272,-1,17.7,113.0,1.5936,0.8555,1.3701,8,779,
angular_circular,2500,0.576,0.3346,-1,22.07,113.3,1.6043,0.7142,1.3186,8,779,
angular_circular,3000,0.765,0.5481,-1,26.46,113.4,1.615,0.649,1.0707,8,779,
