device,batch_size,d_hidden,delay,runtime_seconds,steps_per_second,accuracy,alpha0,route_entropy,transport_usage_fraction,utilization_note,semantics_preserved,note
cpu,256,32,24,27.51,109.0,1.0,0.8714,1.7024,0.9773,"cpu-1thr; tiny matmuls, workload-shape limited",yes,"solved=yes, b_pos0=5.048, jit=yes"
cpu,512,32,24,48.08,62.4,1.0,0.8713,1.6847,0.9844,"cpu-1thr; tiny matmuls, workload-shape limited",yes,"solved=yes, b_pos0=5.047, jit=yes"
cpu,1024,32,24,88.73,33.8,1.0,0.8713,1.6846,0.9836,"cpu-1thr; tiny matmuls, workload-shape limited",yes,"solved=yes, b_pos0=5.047, jit=yes"
cpu,256,64,24,33.11,90.6,1.0,0.8736,1.6073,0.248,"cpu-1thr; medium matmuls, workload-shape limited",yes,"solved=yes, b_pos0=5.053, jit=yes"
cpu,512,64,24,59.18,50.7,1.0,0.8737,1.6027,0.2423,"cpu-1thr; medium matmuls, workload-shape limited",yes,"solved=yes, b_pos0=5.054, jit=yes"
cpu,1024,64,24,118.67,25.3,1.0,0.8737,1.608,0.2355,"cpu-1thr; medium matmuls, workload-shape limited",yes,"solved=yes, b_pos0=5.054, jit=yes"
cpu,256,128,24,41.7,71.9,1.0,0.8735,1.4221,0.7693,"cpu-1thr; medium matmuls, workload-shape limited",yes,"solved=yes, b_pos0=5.057, jit=yes"
cpu,512,128,24,81.16,37.0,1.0,0.8735,1.4453,0.7588,"cpu-1thr; medium matmuls, workload-shape limited",yes,"solved=yes, b_pos0=5.057, jit=yes"
cpu,1024,128,24,142.32,21.1,1.0,0.8736,1.4288,0.8103,"cpu-1thr; larger matmuls, still serial-bound",yes,"solved=yes, b_pos0=5.057, jit=yes"
mps,256,32,24,53.7,55.9,1.0,0.8713,1.6981,0.9782,mps; amortises submission overhead across batch,yes,"solved=yes, b_pos0=5.047, jit=yes"
mps,512,32,24,55.29,54.3,1.0,0.8713,1.6942,0.9802,mps; amortises submission overhead across batch,yes,"solved=yes, b_pos0=5.047, jit=yes"
mps,1024,32,24,57.39,52.3,1.0,0.8713,1.6892,0.9799,mps; amortises submission overhead across batch,yes,"solved=yes, b_pos0=5.047, jit=yes"
mps,256,64,24,60.75,49.4,1.0,0.8735,1.6019,0.192,mps; amortises submission overhead across batch,yes,"solved=yes, b_pos0=5.053, jit=yes"
mps,512,64,24,59.16,50.7,1.0,0.8736,1.6011,0.2075,mps; amortises submission overhead across batch,yes,"solved=yes, b_pos0=5.053, jit=yes"
mps,1024,64,24,65.29,46.0,1.0,0.8736,1.6094,0.2275,mps; amortises submission overhead across batch,yes,"solved=yes, b_pos0=5.054, jit=yes"
mps,256,128,24,58.65,51.1,1.0,0.8733,1.4218,0.8027,mps; amortises submission overhead across batch,yes,"solved=yes, b_pos0=5.057, jit=yes"
mps,512,128,24,58.27,51.5,1.0,0.8734,1.441,0.7603,mps; amortises submission overhead across batch,yes,"solved=yes, b_pos0=5.058, jit=yes"
mps,1024,128,24,71.36,42.0,1.0,0.8734,1.4475,0.744,mps; amortises submission overhead across batch,yes,"solved=yes, b_pos0=5.057, jit=yes"
