n_threads,run_idx,checkpoint,accuracy,alpha0,route_entropy,transport_fraction,mean_resultant_magnitude,runtime_seconds,steps_per_second,loss,n_params,note
1,0,0,0.231,0.2431,1.5808,0.5589,0.58444,0.0,0.0,-1.0,971,
1,0,250,0.282,0.244,1.5798,0.556,0.58475,2.29,109.0,1.3827,971,
1,0,500,0.322,0.2474,1.5802,0.552,0.5845,4.6,108.6,1.378,971,
1,0,1000,0.376,0.2689,1.5814,0.5213,0.58381,9.17,109.1,1.3578,971,
1,0,1500,0.595,0.3671,1.5352,0.4382,0.59565,13.75,109.1,1.2333,971,
1,0,2000,0.986,0.7324,1.5428,0.4287,0.58711,18.33,109.1,0.3188,971,solved
1,0,2500,1.0,0.8366,1.5216,0.4355,0.59406,22.97,108.8,0.0557,971,solved
1,0,3000,1.0,0.8617,1.5245,0.3735,0.59456,27.56,108.9,0.0233,971,solved
1,1,0,0.261,0.2433,1.6296,0.5948,0.5589,0.0,0.0,-1.0,971,
1,1,250,0.266,0.2427,1.6405,0.3593,0.55045,2.27,110.1,1.3859,971,
1,1,500,0.281,0.2437,1.6408,0.3614,0.54996,4.58,109.2,1.3835,971,
1,1,1000,0.339,0.2531,1.6406,0.5005,0.55846,9.18,108.9,1.3724,971,
1,1,1500,0.409,0.2909,1.628,0.434,0.56485,13.76,109.0,1.3327,971,
1,1,2000,0.723,0.4882,1.5378,0.6221,0.60922,18.35,109.0,1.0108,971,
1,1,2500,0.997,0.7945,1.4933,0.628,0.62244,23.0,108.7,0.1773,971,solved
1,1,3000,1.0,0.8521,1.4803,0.6293,0.62669,27.6,108.7,0.047,971,solved
1,2,0,0.262,0.243,1.6668,0.4369,0.54337,0.0,0.0,-1.0,971,
1,2,250,0.274,0.2446,1.671,0.418,0.53892,2.28,109.7,1.3835,971,
1,2,500,0.313,0.2491,1.6349,0.7024,0.55646,4.57,109.5,1.3792,971,
1,2,1000,0.374,0.2729,1.6058,0.7299,0.56305,9.16,109.2,1.3578,971,
1,2,1500,0.651,0.3805,1.5919,0.6619,0.57113,13.76,109.0,1.2258,971,
1,2,2000,0.999,0.7424,1.5956,0.8076,0.57527,18.34,109.0,0.3058,971,solved
1,2,2500,1.0,0.8388,1.5751,0.7013,0.57888,22.93,109.0,0.0535,971,solved
1,2,3000,1.0,0.8628,1.5576,0.828,0.58834,27.48,109.2,0.0228,971,solved
2,0,0,0.231,0.2431,1.5808,0.5589,0.58444,0.0,0.0,-1.0,971,
2,0,250,0.282,0.244,1.5798,0.556,0.58475,2.62,95.6,1.3827,971,
2,0,500,0.322,0.2474,1.5802,0.552,0.5845,5.22,95.8,1.378,971,
2,0,1000,0.376,0.2689,1.5814,0.5213,0.58381,10.45,95.7,1.3578,971,
2,0,1500,0.595,0.3671,1.5352,0.4382,0.59565,15.69,95.6,1.2333,971,
2,0,2000,0.986,0.7324,1.5428,0.4287,0.58711,21.02,95.2,0.3188,971,solved
2,0,2500,1.0,0.8366,1.5216,0.4355,0.59406,26.26,95.2,0.0557,971,solved
2,0,3000,1.0,0.8617,1.5245,0.3735,0.59456,31.5,95.2,0.0233,971,solved
2,1,0,0.261,0.2433,1.6296,0.5948,0.5589,0.0,0.0,-1.0,971,
2,1,250,0.266,0.2427,1.6405,0.3593,0.55045,2.62,95.3,1.3859,971,
2,1,500,0.281,0.2437,1.6408,0.3614,0.54996,5.23,95.7,1.3835,971,
2,1,1000,0.339,0.2531,1.6406,0.5005,0.55846,10.46,95.6,1.3724,971,
2,1,1500,0.409,0.2909,1.628,0.434,0.56485,15.71,95.5,1.3327,971,
2,1,2000,0.723,0.4882,1.5378,0.6221,0.60922,20.97,95.4,1.0108,971,
2,1,2500,0.997,0.7945,1.4933,0.628,0.62244,26.38,94.8,0.1773,971,solved
2,1,3000,1.0,0.8521,1.4803,0.6293,0.62669,31.93,93.9,0.047,971,solved
2,2,0,0.262,0.243,1.6668,0.4369,0.54337,0.0,0.0,-1.0,971,
2,2,250,0.274,0.2446,1.671,0.418,0.53892,2.61,95.9,1.3835,971,
2,2,500,0.313,0.2491,1.6349,0.7024,0.55646,5.23,95.6,1.3792,971,
2,2,1000,0.374,0.2729,1.6058,0.7299,0.56305,10.47,95.5,1.3578,971,
2,2,1500,0.651,0.3805,1.5919,0.6619,0.57113,15.72,95.4,1.2258,971,
2,2,2000,0.999,0.7424,1.5956,0.8076,0.57527,21.05,95.0,0.3058,971,solved
2,2,2500,1.0,0.8388,1.5751,0.7013,0.57888,26.29,95.1,0.0535,971,solved
2,2,3000,1.0,0.8628,1.5576,0.828,0.58834,31.52,95.2,0.0228,971,solved
4,0,0,0.231,0.2431,1.5808,0.5589,0.58444,0.0,0.0,-1.0,971,
4,0,250,0.282,0.244,1.5798,0.556,0.58475,2.71,92.2,1.3827,971,
4,0,500,0.322,0.2474,1.5802,0.552,0.5845,5.37,93.1,1.378,971,
4,0,1000,0.376,0.2689,1.5814,0.5213,0.58381,10.74,93.1,1.3578,971,
4,0,1500,0.595,0.3671,1.5352,0.4382,0.59565,16.1,93.2,1.2333,971,
4,0,2000,0.986,0.7324,1.5428,0.4287,0.58711,21.91,91.3,0.3188,971,solved
4,0,2500,1.0,0.8366,1.5216,0.4355,0.59406,27.52,90.8,0.0557,971,solved
4,0,3000,1.0,0.8617,1.5245,0.3735,0.59456,33.15,90.5,0.0233,971,solved
4,1,0,0.261,0.2433,1.6296,0.5948,0.5589,0.0,0.0,-1.0,971,
4,1,250,0.266,0.2427,1.6405,0.3593,0.55045,2.76,90.6,1.3859,971,
4,1,500,0.281,0.2437,1.6408,0.3614,0.54996,5.56,89.9,1.3835,971,
4,1,1000,0.339,0.2531,1.6406,0.5005,0.55846,11.19,89.4,1.3724,971,
4,1,1500,0.409,0.2909,1.628,0.434,0.56485,16.89,88.8,1.3327,971,
4,1,2000,0.723,0.4882,1.5378,0.6221,0.60922,22.55,88.7,1.0108,971,
4,1,2500,0.997,0.7945,1.4933,0.628,0.62244,28.1,89.0,0.1773,971,solved
4,1,3000,1.0,0.8521,1.4803,0.6293,0.62669,33.75,88.9,0.047,971,solved
4,2,0,0.262,0.243,1.6668,0.4369,0.54337,0.0,0.0,-1.0,971,
4,2,250,0.274,0.2446,1.671,0.418,0.53892,2.84,88.1,1.3835,971,
4,2,500,0.313,0.2491,1.6349,0.7024,0.55646,5.7,87.7,1.3792,971,
4,2,1000,0.374,0.2729,1.6058,0.7299,0.56305,11.31,88.4,1.3578,971,
4,2,1500,0.651,0.3805,1.5919,0.6619,0.57113,16.89,88.8,1.2258,971,
4,2,2000,0.999,0.7424,1.5956,0.8076,0.57527,22.42,89.2,0.3058,971,solved
4,2,2500,1.0,0.8388,1.5751,0.7013,0.57888,28.09,89.0,0.0535,971,solved
4,2,3000,1.0,0.8628,1.5576,0.828,0.58834,33.89,88.5,0.0228,971,solved
8,0,0,0.231,0.2431,1.5808,0.5589,0.58444,0.0,0.0,-1.0,971,
8,0,250,0.282,0.244,1.5798,0.556,0.58475,3.45,72.4,1.3827,971,
8,0,500,0.322,0.2474,1.5802,0.552,0.5845,6.67,75.0,1.378,971,
8,0,1000,0.376,0.2689,1.5814,0.5213,0.58381,13.15,76.0,1.3578,971,
8,0,1500,0.595,0.3671,1.5352,0.4382,0.59565,19.53,76.8,1.2333,971,
8,0,2000,0.986,0.7324,1.5428,0.4287,0.58711,25.9,77.2,0.3188,971,solved
8,0,2500,1.0,0.8366,1.5216,0.4355,0.59406,32.52,76.9,0.0557,971,solved
8,0,3000,1.0,0.8617,1.5245,0.3735,0.59456,39.13,76.7,0.0233,971,solved
8,1,0,0.261,0.2433,1.6296,0.5948,0.5589,0.0,0.0,-1.0,971,
8,1,250,0.266,0.2427,1.6405,0.3593,0.55045,3.23,77.3,1.3859,971,
8,1,500,0.281,0.2437,1.6408,0.3614,0.54996,6.56,76.3,1.3835,971,
8,1,1000,0.339,0.2531,1.6406,0.5005,0.55846,13.18,75.9,1.3724,971,
8,1,1500,0.409,0.2909,1.628,0.434,0.56485,19.78,75.8,1.3327,971,
8,1,2000,0.723,0.4882,1.5378,0.6221,0.60922,26.44,75.6,1.0108,971,
8,1,2500,0.997,0.7945,1.4933,0.628,0.62244,33.11,75.5,0.1773,971,solved
8,1,3000,1.0,0.8521,1.4803,0.6293,0.62669,39.71,75.6,0.047,971,solved
8,2,0,0.262,0.243,1.6668,0.4369,0.54337,0.0,0.0,-1.0,971,
8,2,250,0.274,0.2446,1.671,0.418,0.53892,3.29,76.0,1.3835,971,
8,2,500,0.313,0.2491,1.6349,0.7024,0.55646,6.58,76.0,1.3792,971,
8,2,1000,0.374,0.2729,1.6058,0.7299,0.56305,13.26,75.4,1.3578,971,
8,2,1500,0.651,0.3805,1.5919,0.6619,0.57113,20.02,74.9,1.2258,971,
8,2,2000,0.999,0.7424,1.5956,0.8076,0.57527,26.62,75.1,0.3058,971,solved
8,2,2500,1.0,0.8388,1.5751,0.7013,0.57888,33.06,75.6,0.0535,971,solved
8,2,3000,1.0,0.8628,1.5576,0.828,0.58834,39.56,75.8,0.0228,971,solved
