variant,step,angular_alignment,radial_scale_lambda,full_cosine_sim,fp_residual,lambda_est,lambda_est_std,es_residual,rad_norm_curr,tau_norm,align_to_tau0,align_to_tauD,cross_align_k1_fixed,cross_align_k1_rand,cross_align_fixed_rand,accuracy,note
exact_k1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49202,3.65173,1.0,0.2223,0.7672,0.6582,0.6486,1.0,D=24 hard_geom_exact_k1
exact_k1,1,0.59481,0.80462,0.69609,0.71925,0.54264,0.08104,0.55132,4.0,2.82843,0.59481,0.32144,0.4756,0.2108,0.2158,1.0,D=24 hard_geom_exact_k1
exact_k1,2,0.69814,1.0,0.84907,0.52075,0.84907,0.081,0.49704,4.0,2.82843,0.44324,0.36398,0.4294,0.1377,0.1461,1.0,D=24 hard_geom_exact_k1
exact_k1,3,0.70112,1.0,0.85056,0.51602,0.85056,0.08058,0.49262,4.0,2.82843,0.39819,0.3442,0.4007,0.1003,0.1142,1.0,D=24 hard_geom_exact_k1
exact_k1,4,0.70278,1.0,0.85139,0.51504,0.85139,0.07969,0.49187,4.0,2.82843,0.37941,0.35559,0.3811,0.0815,0.097,1.0,D=24 hard_geom_exact_k1
exact_k1,5,0.70083,1.0,0.85041,0.51531,0.85042,0.08098,0.49184,4.0,2.82843,0.34517,0.43039,0.3698,0.0685,0.0727,1.0,D=24 hard_geom_exact_k1
exact_k1,6,0.70358,1.0,0.85179,0.51227,0.85179,0.0799,0.48915,4.0,2.82843,0.34476,0.38043,0.3547,0.0525,0.0695,1.0,D=24 hard_geom_exact_k1
exact_k1,7,0.70075,1.0,0.85037,0.51479,0.85037,0.07939,0.4914,4.0,2.82843,0.32914,0.39149,0.3474,0.0384,0.0487,1.0,D=24 hard_geom_exact_k1
exact_k1,8,0.7038,1.0,0.8519,0.51156,0.8519,0.07921,0.48849,4.0,2.82843,0.30215,0.46286,0.3347,0.0307,0.0456,1.0,D=24 hard_geom_exact_k1
exact_k1,9,0.70144,1.0,0.85072,0.51285,0.85072,0.0804,0.48946,4.0,2.82843,0.31293,0.41229,0.3251,0.019,0.043,1.0,D=24 hard_geom_exact_k1
exact_k1,10,0.70411,1.0,0.85205,0.50888,0.85205,0.08073,0.48573,4.0,2.82843,0.30187,0.42934,0.3167,0.0054,0.0181,1.0,D=24 hard_geom_exact_k1
exact_k1,11,0.69889,1.0,0.84945,0.51461,0.84945,0.08044,0.49094,4.0,2.82843,0.28147,0.51491,0.3136,0.0153,0.0189,1.0,D=24 hard_geom_exact_k1
exact_k1,12,0.70253,1.0,0.85127,0.51091,0.85127,0.08032,0.48762,4.0,2.82843,0.28223,0.45143,0.307,0.0065,0.0094,1.0,D=24 hard_geom_exact_k1
exact_k1,13,0.70453,1.0,0.85226,0.50886,0.85226,0.08075,0.48575,4.0,2.82843,0.2769,0.45866,0.2864,0.0089,0.0064,1.0,D=24 hard_geom_exact_k1
exact_k1,14,0.70333,1.0,0.85167,0.50795,0.85167,0.08175,0.48465,4.0,2.82843,0.25899,0.55083,0.2868,0.0087,0.0124,1.0,D=24 hard_geom_exact_k1
exact_k1,15,0.70459,1.0,0.85229,0.50761,0.85229,0.08006,0.48454,4.0,2.82843,0.26831,0.4894,0.2784,0.0025,0.0139,1.0,D=24 hard_geom_exact_k1
exact_k1,16,0.70259,1.0,0.85129,0.50965,0.85129,0.07962,0.4864,4.0,2.82843,0.26809,0.50303,0.277,0.0006,0.0059,1.0,D=24 hard_geom_exact_k1
exact_k1,17,0.70355,1.0,0.85178,0.50778,0.85178,0.0807,0.48456,4.0,2.82843,0.24531,0.61267,0.2729,-0.0013,0.0032,1.0,D=24 hard_geom_exact_k1
exact_k1,18,0.70517,1.0,0.85258,0.50559,0.85258,0.07979,0.48258,4.0,2.82843,0.25651,0.54213,0.2714,-0.0,0.0078,1.0,D=24 hard_geom_exact_k1
exact_k1,19,0.70815,1.0,0.85408,0.50389,0.85408,0.07875,0.48126,4.0,2.82843,0.25217,0.56362,0.2703,0.0044,0.0067,1.0,D=24 hard_geom_exact_k1
exact_k1,20,0.70389,1.0,0.85194,0.50698,0.85194,0.08016,0.48381,4.0,2.82843,0.22864,0.67545,0.2504,0.001,-0.001,1.0,D=24 hard_geom_exact_k1
exact_k1,21,0.70576,1.0,0.85288,0.50573,0.85288,0.0788,0.48284,4.0,2.82843,0.23659,0.61506,0.2494,0.0006,0.0004,1.0,D=24 hard_geom_exact_k1
exact_k1,22,0.70396,1.0,0.85198,0.50603,0.85198,0.08028,0.48286,4.0,2.82843,0.23434,0.70488,0.2478,0.0013,0.0084,1.0,D=24 hard_geom_exact_k1
exact_k1,23,0.70488,1.0,0.85244,0.50489,0.85244,0.0799,0.48183,4.0,2.82843,0.2223,1.0,0.2441,-0.0013,0.0007,1.0,D=24 hard_geom_exact_k1
fixed_op_0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49202,3.65168,1.0,0.38526,0.7672,0.6582,0.6486,1.0,D=24 hard_geom_fixed_op_0
fixed_op_0,1,0.33881,0.80462,0.56561,0.84428,0.44177,0.1117,0.62943,4.0,2.82843,0.33881,0.49812,0.4756,0.2108,0.2158,1.0,D=24 hard_geom_fixed_op_0
fixed_op_0,2,0.4535,1.0,0.72675,0.71772,0.72675,0.11736,0.66103,4.0,2.82843,0.36731,0.49345,0.4294,0.1377,0.1461,1.0,D=24 hard_geom_fixed_op_0
fixed_op_0,3,0.45128,1.0,0.72564,0.71945,0.72564,0.11683,0.66246,4.0,2.82843,0.36771,0.53563,0.4007,0.1003,0.1142,1.0,D=24 hard_geom_fixed_op_0
fixed_op_0,4,0.4444,1.0,0.7222,0.7246,0.7222,0.11756,0.66657,4.0,2.82843,0.37706,0.49786,0.3811,0.0815,0.097,1.0,D=24 hard_geom_fixed_op_0
fixed_op_0,5,0.45394,1.0,0.72697,0.71609,0.72697,0.11936,0.65929,4.0,2.82843,0.37922,0.52604,0.3698,0.0685,0.0727,1.0,D=24 hard_geom_fixed_op_0
fixed_op_0,6,0.45132,1.0,0.72566,0.71905,0.72566,0.11807,0.66199,4.0,2.82843,0.38629,0.51202,0.3547,0.0525,0.0695,1.0,D=24 hard_geom_fixed_op_0
fixed_op_0,7,0.44511,1.0,0.72255,0.72434,0.72255,0.11584,0.66653,4.0,2.82843,0.38624,0.50153,0.3474,0.0384,0.0487,1.0,D=24 hard_geom_fixed_op_0
fixed_op_0,8,0.44681,1.0,0.72341,0.72271,0.72341,0.11602,0.66513,4.0,2.82843,0.36962,0.49289,0.3347,0.0307,0.0456,1.0,D=24 hard_geom_fixed_op_0
