trace_source,tuplet_name,offsets,parent_W,child_W,visible_H_first,trace_length,memory_slots,promoted_slot_fraction,warm_read_hit_fraction,eval_read_hit_fraction,eval_promoted_read_fraction,eval_exact_retrieval_fraction,eval_effective_resolution_fraction,memory_total_reads,memory_total_writes,route_decision_instability
visible_threshold_tight_density_matched_rows.csv,quadruplet,"[0,2,6,8]",2310,30030,21,385,105,0.14285714285714285,0.7272727272727273,1.0,0.2727272727272727,0.8311688311688312,0.9491008630619018,665,770,0.0
visible_threshold_tight_density_matched_rows.csv,double_twins_p17,"[0,2,34,36]",2310,30030,21,385,120,0.125,0.6883116883116883,1.0,0.2727272727272727,0.7922077922077922,0.9402776660568866,650,770,0.0
visible_threshold_tight_density_matched_rows.csv,quad_alt_0618,"[0,2,6,18]",2310,30030,6,385,75,0.0,0.8051948051948052,1.0,0.0,1.0,1.0,695,770,0.0
visible_threshold_tight_density_matched_rows.csv,quad_alt_0826,"[0,2,8,26]",2310,30030,16,385,100,0.15,0.7402597402597403,1.0,0.2727272727272727,0.8831168831168831,1.0,670,770,0.0
visible_threshold_tight_density_matched_rows.csv,quad_alt_1836,"[0,2,18,36]",2310,30030,16,385,105,0.14285714285714285,0.7272727272727273,1.0,0.2727272727272727,0.8831168831168831,1.0,665,770,0.0
visible_threshold_tight_density_matched_rows.csv,quad_alt_3854,"[0,2,38,54]",2310,30030,26,385,125,0.24,0.6753246753246753,1.0,0.35064935064935066,0.7922077922077922,0.9484265373875759,645,770,0.0
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0406,"[0,2,4,6]",30030,510510,36,5005,250,0.24,0.9500499500499501,1.0,0.6503496503496503,0.5608391608391609,0.9854277976628762,9760,10010,0.0
visible_threshold_second_tight_density_matched_rows.csv,double_twins_p17,"[0,2,34,36]",30030,510510,41,5005,380,0.18421052631578946,0.9240759240759241,1.0,0.7212787212787213,0.5688311688311688,0.9935705050890832,9630,10010,0.0
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0618,"[0,2,6,18]",30030,510510,46,5005,240,0.4166666666666667,0.952047952047952,1.0,0.8401598401598401,0.4785214785214785,1.0,9770,10010,0.0
visible_threshold_second_tight_density_matched_rows.csv,quadruplet,"[0,2,6,8]",30030,510510,51,5005,190,0.5263157894736842,0.962037962037962,1.0,0.8741258741258742,0.4005994005994006,0.9907914670374758,9820,10010,0.0
ALL,ALL,ALL,,,,22330,169.0,0.2167907268170426,0.8151848151848151,1.0,0.45274725274725275,0.719060939060939,0.9807594836295799,4297.0,4466.0,0.0
