row_type,policy_name,trace_source,tuplet_name,parent_W,child_W,trace_length,memory_slots,route_reuse_fraction,query_hit_fraction_on_reuse,task_retrieval_accuracy,promoted_query_fraction_on_reuse,hint_refined_fraction_on_reuse,promotion_step_fraction,effective_task_resolution_fraction,route_decision_instability,promoted_query_total,promoted_query_share_parent_30030,promoted_query_share_top_phi0,promoted_query_share_top_gap,promoted_query_share_top_route
trace,baseline,visible_threshold_tight_density_matched_rows.csv,quadruplet,2310,30030,385,105,0.7272727272727273,1.0,0.9464285714285714,0.32142857142857145,0.0,0.2727272727272727,0.8368506493506493,0.0,,,,,
trace,baseline,visible_threshold_tight_density_matched_rows.csv,double_twins_p17,2310,30030,385,120,0.6883116883116883,1.0,0.9433962264150944,0.33962264150943394,0.0,0.2727272727272727,0.8353344768439108,0.0,,,,,
trace,baseline,visible_threshold_tight_density_matched_rows.csv,quad_alt_0618,2310,30030,385,75,0.8051948051948052,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,
trace,baseline,visible_threshold_tight_density_matched_rows.csv,quad_alt_0826,2310,30030,385,100,0.7402597402597403,1.0,0.9473684210526315,0.3157894736842105,0.0,0.2727272727272727,0.8373205741626795,0.0,,,,,
trace,baseline,visible_threshold_tight_density_matched_rows.csv,quad_alt_1836,2310,30030,385,105,0.7272727272727273,1.0,0.9464285714285714,0.32142857142857145,0.0,0.2727272727272727,0.8368506493506493,0.0,,,,,
trace,baseline,visible_threshold_tight_density_matched_rows.csv,quad_alt_3854,2310,30030,385,125,0.6753246753246753,1.0,0.7692307692307693,0.40384615384615385,0.0,0.35064935064935066,0.7092907092907093,0.0,,,,,
trace,baseline,visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0406,30030,510510,5005,250,0.9500499500499501,1.0,0.9779179810725552,0.6719242902208202,0.0,0.6503496503496503,0.6637841653614525,0.0,,,,,
trace,baseline,visible_threshold_second_tight_density_matched_rows.csv,double_twins_p17,30030,510510,5005,380,0.9240759240759241,1.0,0.9502702702702702,0.7654054054054054,0.0,0.7212787212787213,0.6144957744957744,0.0,,,,,
trace,baseline,visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0618,30030,510510,5005,240,0.952047952047952,1.0,0.9160545645330536,0.8614900314795383,0.0,0.8401598401598401,0.5379473621866067,0.0,,,,,
trace,baseline,visible_threshold_second_tight_density_matched_rows.csv,quadruplet,30030,510510,5005,190,0.962037962037962,1.0,0.9034267912772586,0.8878504672897196,0.0,0.8741258741258742,0.5146504585756921,0.0,,,,,
trace,phi0_hint_refined,visible_threshold_tight_density_matched_rows.csv,quadruplet,2310,30030,385,105,0.7272727272727273,1.0,0.9464285714285714,0.32142857142857145,0.0,0.2727272727272727,0.8368506493506493,0.0,,,,,
trace,phi0_hint_refined,visible_threshold_tight_density_matched_rows.csv,double_twins_p17,2310,30030,385,120,0.6883116883116883,1.0,0.9433962264150944,0.33962264150943394,0.0,0.2727272727272727,0.8353344768439108,0.0,,,,,
trace,phi0_hint_refined,visible_threshold_tight_density_matched_rows.csv,quad_alt_0618,2310,30030,385,75,0.8051948051948052,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,
trace,phi0_hint_refined,visible_threshold_tight_density_matched_rows.csv,quad_alt_0826,2310,30030,385,100,0.7402597402597403,1.0,0.9473684210526315,0.3157894736842105,0.0,0.2727272727272727,0.8373205741626795,0.0,,,,,
trace,phi0_hint_refined,visible_threshold_tight_density_matched_rows.csv,quad_alt_1836,2310,30030,385,105,0.7272727272727273,1.0,0.9464285714285714,0.32142857142857145,0.0,0.2727272727272727,0.8368506493506493,0.0,,,,,
trace,phi0_hint_refined,visible_threshold_tight_density_matched_rows.csv,quad_alt_3854,2310,30030,385,125,0.6753246753246753,1.0,0.7692307692307693,0.40384615384615385,0.0,0.35064935064935066,0.7092907092907093,0.0,,,,,
trace,phi0_hint_refined,visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0406,30030,510510,5005,250,0.9500499500499501,1.0,0.4344900105152471,0.07570977917981073,0.5962145110410094,0.6503496503496503,0.39207018008279837,0.0,,,,,
trace,phi0_hint_refined,visible_threshold_second_tight_density_matched_rows.csv,double_twins_p17,30030,510510,5005,380,0.9240759240759241,1.0,0.3182702702702703,0.09081081081081081,0.6745945945945946,0.7212787212787213,0.29849577449577447,0.0,,,,,
trace,phi0_hint_refined,visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0618,30030,510510,5005,240,0.952047952047952,1.0,0.2734522560335782,0.11857292759706191,0.7429171038824763,0.8401598401598401,0.21664620793686903,0.0,,,,,
trace,phi0_hint_refined,visible_threshold_second_tight_density_matched_rows.csv,quadruplet,30030,510510,5005,190,0.962037962037962,1.0,0.2533748701973001,0.11838006230529595,0.7694704049844237,0.8741258741258742,0.18962449803571296,0.0,,,,,
aggregate,baseline,ALL,ALL,,,22330,169.0,0.8151848151848151,1.0,0.9300522166708776,0.48887856062924245,0.0,0.45274725274725275,0.7386524819618124,0.0,15580.0,0.9701540436456996,0.1058408215661104,0.05044929396662388,0.007958921694480103
aggregate,phi0_hint_refined,ALL,ALL,,,22330,169.0,0.8151848151848151,1.0,0.6832439966572033,0.21055889917899204,0.27831966145025044,0.45274725274725275,0.6152483719549754,0.0,2380.0,0.8046218487394958,0.1357142857142857,0.04789915966386555,0.005042016806722689
