trace_source,tuplet_name,offsets,parent_W,child_W,visible_H_first,trace_length,memory_slots,route_reuse_fraction,query_hit_fraction_on_reuse,task_retrieval_accuracy,promoted_query_fraction_on_reuse,promotion_step_fraction,effective_task_resolution_fraction,route_decision_instability
visible_threshold_tight_density_matched_rows.csv,quadruplet,"[0,2,6,8]",2310,30030,21,385,105,0.7272727272727273,1.0,0.9464285714285714,0.32142857142857145,0.2727272727272727,0.8368506493506493,0.0
visible_threshold_tight_density_matched_rows.csv,double_twins_p17,"[0,2,34,36]",2310,30030,21,385,120,0.6883116883116883,1.0,0.9433962264150944,0.33962264150943394,0.2727272727272727,0.8353344768439108,0.0
visible_threshold_tight_density_matched_rows.csv,quad_alt_0618,"[0,2,6,18]",2310,30030,6,385,75,0.8051948051948052,1.0,1.0,0.0,0.0,1.0,0.0
visible_threshold_tight_density_matched_rows.csv,quad_alt_0826,"[0,2,8,26]",2310,30030,16,385,100,0.7402597402597403,1.0,0.9473684210526315,0.3157894736842105,0.2727272727272727,0.8373205741626795,0.0
visible_threshold_tight_density_matched_rows.csv,quad_alt_1836,"[0,2,18,36]",2310,30030,16,385,105,0.7272727272727273,1.0,0.9464285714285714,0.32142857142857145,0.2727272727272727,0.8368506493506493,0.0
visible_threshold_tight_density_matched_rows.csv,quad_alt_3854,"[0,2,38,54]",2310,30030,26,385,125,0.6753246753246753,1.0,0.7692307692307693,0.40384615384615385,0.35064935064935066,0.7092907092907093,0.0
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0406,"[0,2,4,6]",30030,510510,36,5005,250,0.9500499500499501,1.0,0.9779179810725552,0.6719242902208202,0.6503496503496503,0.6637841653614525,0.0
visible_threshold_second_tight_density_matched_rows.csv,double_twins_p17,"[0,2,34,36]",30030,510510,41,5005,380,0.9240759240759241,1.0,0.9502702702702702,0.7654054054054054,0.7212787212787213,0.6144957744957744,0.0
visible_threshold_second_tight_density_matched_rows.csv,quad_alt_0618,"[0,2,6,18]",30030,510510,46,5005,240,0.952047952047952,1.0,0.9160545645330536,0.8614900314795383,0.8401598401598401,0.5379473621866067,0.0
visible_threshold_second_tight_density_matched_rows.csv,quadruplet,"[0,2,6,8]",30030,510510,51,5005,190,0.962037962037962,1.0,0.9034267912772586,0.8878504672897196,0.8741258741258742,0.5146504585756921,0.0
ALL,ALL,ALL,,,,22330,169.0,0.8151848151848151,1.0,0.9300522166708776,0.48887856062924245,0.45274725274725275,0.7386524819618124,0.0
