variant,ang_lr_ratio,rad_lr_ratio,checkpoint,accuracy,alpha0,route_entropy,transport_fraction,mean_resultant_magnitude,runtime_seconds,steps_per_second,loss,n_params,note
baseline,1.0,1.0,0,0.26,0.2431,1.5831,0.5645,0.58407,0.0,0,-1.0,971,
baseline,1.0,1.0,250,0.298,0.2441,1.5713,0.427,0.58862,2.59,96.5,1.3857,971,
baseline,1.0,1.0,500,0.328,0.2475,1.5659,0.3895,0.59186,5.15,97.1,1.3808,971,
baseline,1.0,1.0,1000,0.4,0.2691,1.5657,0.3247,0.59527,10.25,97.6,1.3602,971,
baseline,1.0,1.0,1500,0.617,0.365,1.5379,0.4007,0.60295,15.38,97.5,1.2357,971,
baseline,1.0,1.0,2000,0.982,0.7296,1.4651,0.401,0.62313,20.5,97.6,0.3195,971,solved
baseline,1.0,1.0,2500,1.0,0.8369,1.4967,0.5137,0.60962,25.61,97.6,0.0542,971,solved
baseline,1.0,1.0,3000,1.0,0.8624,1.5117,0.5294,0.60482,30.74,97.6,0.0227,971,solved
ang_2x,2.0,1.0,0,0.26,0.2431,1.5831,0.5645,0.58407,0.0,0,-1.0,971,
ang_2x,2.0,1.0,250,0.304,0.2447,1.5525,0.446,0.59403,2.54,98.4,1.3839,971,
ang_2x,2.0,1.0,500,0.344,0.2518,1.5383,0.461,0.59986,5.12,97.7,1.3729,971,
ang_2x,2.0,1.0,1000,0.743,0.3693,1.4854,0.3222,0.62202,10.26,97.5,1.1156,971,
ang_2x,2.0,1.0,1500,1.0,0.7291,1.4547,0.2743,0.63161,15.37,97.6,0.0771,971,solved
ang_2x,2.0,1.0,2000,1.0,0.7831,1.4354,0.1643,0.63914,20.5,97.6,0.02,971,solved
ang_2x,2.0,1.0,2500,1.0,0.8027,1.4628,0.2083,0.62628,25.59,97.7,0.0101,971,solved
ang_2x,2.0,1.0,3000,1.0,0.8136,1.464,0.2152,0.62521,30.71,97.7,0.0066,971,solved
ang_4x,4.0,1.0,0,0.26,0.2431,1.5831,0.5645,0.58407,0.0,0,-1.0,971,
ang_4x,4.0,1.0,250,0.329,0.2469,1.5853,0.5551,0.58428,2.53,98.8,1.3754,971,
ang_4x,4.0,1.0,500,0.633,0.2907,1.5774,0.7302,0.5864,5.1,98.0,1.2264,971,
ang_4x,4.0,1.0,1000,1.0,0.6411,1.457,0.9012,0.63407,10.22,97.8,0.0308,971,solved
ang_4x,4.0,1.0,1500,1.0,0.6867,1.4588,0.9002,0.63371,15.32,97.9,0.0081,971,solved
ang_4x,4.0,1.0,2000,1.0,0.7049,1.4592,0.8973,0.63259,20.44,97.8,0.0042,971,solved
ang_4x,4.0,1.0,2500,1.0,0.7157,1.461,0.8972,0.6316,25.54,97.9,0.0028,971,solved
ang_4x,4.0,1.0,3000,1.0,0.7233,1.4622,0.8947,0.63105,30.66,97.8,0.002,971,solved
ang_half,0.5,1.0,0,0.26,0.2431,1.5831,0.5645,0.58407,0.0,0,-1.0,971,
ang_half,0.5,1.0,250,0.268,0.2437,1.5822,0.5482,0.58583,2.54,98.4,1.3863,971,
ang_half,0.5,1.0,500,0.3,0.246,1.5733,0.7449,0.58613,5.12,97.7,1.3836,971,
ang_half,0.5,1.0,1000,0.333,0.2586,1.5516,0.8629,0.59906,10.24,97.7,1.3711,971,
ang_half,0.5,1.0,1500,0.414,0.302,1.5092,0.9496,0.6148,15.34,97.8,1.3271,971,
ang_half,0.5,1.0,2000,0.845,0.5159,1.3661,0.9973,0.66317,20.44,97.8,0.9584,971,
ang_half,0.5,1.0,2500,1.0,0.8082,1.2974,0.9985,0.68368,25.55,97.8,0.1301,971,solved
ang_half,0.5,1.0,3000,1.0,0.8584,1.2683,0.9978,0.69219,30.67,97.8,0.0332,971,solved
rad_2x,1.0,2.0,0,0.26,0.2431,1.5831,0.5645,0.58407,0.0,0,-1.0,971,
rad_2x,1.0,2.0,250,0.313,0.2445,1.5483,0.6288,0.59621,2.58,96.9,1.3834,971,
rad_2x,1.0,2.0,500,0.32,0.2504,1.4927,0.7058,0.61537,5.13,97.5,1.3747,971,
rad_2x,1.0,2.0,1000,0.652,0.3382,1.5293,0.4985,0.59871,10.24,97.7,1.1852,971,
rad_2x,1.0,2.0,1500,1.0,0.7233,1.5072,0.4371,0.60371,15.38,97.5,0.0688,971,solved
rad_2x,1.0,2.0,2000,1.0,0.7816,1.5002,0.4285,0.60591,20.47,97.7,0.0138,971,solved
rad_2x,1.0,2.0,2500,1.0,0.8001,1.512,0.4397,0.59845,25.59,97.7,0.0066,971,solved
rad_2x,1.0,2.0,3000,1.0,0.8104,1.5127,0.4425,0.59849,30.69,97.8,0.0041,971,solved
rad_4x,1.0,4.0,0,0.26,0.2431,1.5831,0.5645,0.58407,0.0,0,-1.0,971,
rad_4x,1.0,4.0,250,0.337,0.246,1.5779,0.5234,0.58563,2.57,97.3,1.3774,971,
rad_4x,1.0,4.0,500,0.604,0.277,1.5745,0.5309,0.58684,5.12,97.7,1.2669,971,
rad_4x,1.0,4.0,1000,1.0,0.6359,1.5103,0.5305,0.60429,10.25,97.6,0.0233,971,solved
