device,d_hidden,batch_size,n_threads,steps_per_sec,total_seconds,forward_seconds,backward_seconds,other_seconds,forward_pct,backward_pct,n_params,jit,matmul_shape
cpu,32,256,1,101.7,1.967,1.199,0.706,0.05,60.9,35.9,1403,True,"(256,25)x(25,32)"
cpu,32,256,2,91.7,2.181,1.295,0.82,0.051,59.4,37.6,1403,True,"(256,25)x(25,32)"
cpu,32,256,4,89.0,2.248,1.285,0.898,0.052,57.1,39.9,1403,True,"(256,25)x(25,32)"
cpu,32,512,1,58.1,3.445,2.218,1.153,0.055,64.4,33.5,1403,True,"(512,25)x(25,32)"
cpu,32,512,2,53.6,3.735,2.225,1.437,0.055,59.6,38.5,1403,True,"(512,25)x(25,32)"
cpu,32,512,4,53.7,3.723,2.069,1.585,0.052,55.6,42.6,1403,True,"(512,25)x(25,32)"
cpu,32,1024,1,30.9,6.462,4.211,2.165,0.056,65.2,33.5,1403,True,"(1024,25)x(25,32)"
cpu,32,1024,2,30.6,6.546,3.812,2.655,0.054,58.2,40.6,1403,True,"(1024,25)x(25,32)"
cpu,32,1024,4,29.9,6.69,3.583,3.026,0.055,53.6,45.2,1403,True,"(1024,25)x(25,32)"
cpu,64,256,1,80.1,2.496,1.447,0.983,0.053,58.0,39.4,2611,True,"(256,25)x(25,64)"
cpu,64,256,2,71.8,2.787,1.48,1.235,0.055,53.1,44.3,2611,True,"(256,25)x(25,64)"
cpu,64,256,4,74.0,2.703,1.392,1.25,0.049,51.5,46.2,2611,True,"(256,25)x(25,64)"
cpu,64,512,1,52.6,3.803,2.506,1.233,0.048,65.9,32.4,2611,True,"(512,25)x(25,64)"
cpu,64,512,2,47.9,4.171,2.374,1.732,0.049,56.9,41.5,2611,True,"(512,25)x(25,64)"
cpu,64,512,4,45.5,4.399,2.21,2.125,0.049,50.2,48.3,2611,True,"(512,25)x(25,64)"
cpu,64,1024,1,28.8,6.944,4.796,2.071,0.05,69.1,29.8,2611,True,"(1024,25)x(25,64)"
cpu,64,1024,2,27.4,7.292,4.123,3.095,0.05,56.5,42.4,2611,True,"(1024,25)x(25,64)"
cpu,64,1024,4,25.3,7.909,3.922,3.91,0.053,49.6,49.4,2611,True,"(1024,25)x(25,64)"
cpu,128,256,1,72.2,2.771,1.751,0.96,0.048,63.2,34.6,5027,True,"(256,25)x(25,128)"
cpu,128,256,2,63.3,3.16,1.649,1.442,0.051,52.2,45.6,5027,True,"(256,25)x(25,128)"
cpu,128,256,4,60.7,3.295,1.523,1.7,0.05,46.2,51.6,5027,True,"(256,25)x(25,128)"
cpu,128,512,1,40.2,4.974,3.334,1.57,0.051,67.0,31.6,5027,True,"(512,25)x(25,128)"
cpu,128,512,2,36.4,5.49,2.838,2.585,0.051,51.7,47.1,5027,True,"(512,25)x(25,128)"
cpu,128,512,4,33.3,5.998,2.727,3.202,0.052,45.5,53.4,5027,True,"(512,25)x(25,128)"
cpu,128,1024,1,20.1,9.957,6.469,3.387,0.052,65.0,34.0,5027,True,"(1024,25)x(25,128)"
cpu,128,1024,2,19.2,10.444,5.593,4.765,0.054,53.5,45.6,5027,True,"(1024,25)x(25,128)"
cpu,128,1024,4,18.5,10.812,5.137,5.584,0.055,47.5,51.6,5027,True,"(1024,25)x(25,128)"
mps,32,256,-1,43.2,4.626,2.047,2.2,0.265,44.3,47.6,1403,True,"(256,25)x(25,32)"
mps,32,512,-1,39.8,5.03,2.209,2.339,0.354,43.9,46.5,1403,True,"(512,25)x(25,32)"
mps,32,1024,-1,39.5,5.063,2.224,2.438,0.281,43.9,48.2,1403,True,"(1024,25)x(25,32)"
mps,64,256,-1,39.9,5.012,2.179,2.365,0.337,43.5,47.2,2611,True,"(256,25)x(25,64)"
mps,64,512,-1,40.4,4.948,2.175,2.37,0.282,44.0,47.9,2611,True,"(512,25)x(25,64)"
mps,64,1024,-1,36.3,5.507,2.459,2.631,0.291,44.6,47.8,2611,True,"(1024,25)x(25,64)"
mps,128,256,-1,39.8,5.02,2.202,2.413,0.277,43.9,48.1,5027,True,"(256,25)x(25,128)"
mps,128,512,-1,38.9,5.135,2.286,2.456,0.276,44.5,47.8,5027,True,"(512,25)x(25,128)"
mps,128,1024,-1,34.2,5.842,2.64,2.808,0.28,45.2,48.1,5027,True,"(1024,25)x(25,128)"
