model,training_budget,delay,metric_name,metric_value,transport_usage_fraction,route_entropy,note
traj_inject_router_D16_b2000,2000,16,accuracy,0.282,0.4373,1.6781,first_token_recall_D16
traj_inject_router_D16_b2000,2000,16,transport_frac,0.4373,0.4373,1.6781,first_token_recall_D16
traj_inject_router_D16_b2000,2000,16,route_entropy,1.6781,0.4373,1.6781,first_token_recall_D16
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0624,0.4373,1.6781,step=0
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=1
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=2
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=3
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=4
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=5
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=6
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=7
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=8
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=9
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=10
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=11
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=12
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=13
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=14
traj_inject_router_D16_b2000,2000,16,mean_attn_weight,0.0625,0.4373,1.6781,step=15
traj_inject_router_D16_b5000,5000,16,accuracy,0.33,0.5327,1.6604,first_token_recall_D16
traj_inject_router_D16_b5000,5000,16,transport_frac,0.5327,0.5327,1.6604,first_token_recall_D16
traj_inject_router_D16_b5000,5000,16,route_entropy,1.6604,0.5327,1.6604,first_token_recall_D16
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=0
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=1
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=2
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=3
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=4
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=5
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=6
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=7
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=8
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=9
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=10
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=11
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=12
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=13
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=14
traj_inject_router_D16_b5000,5000,16,mean_attn_weight,0.0625,0.5327,1.6604,step=15
traj_inject_router_D16_b7500,7500,16,accuracy,0.375,0.6684,1.6567,first_token_recall_D16
traj_inject_router_D16_b7500,7500,16,transport_frac,0.6684,0.6684,1.6567,first_token_recall_D16
traj_inject_router_D16_b7500,7500,16,route_entropy,1.6567,0.6684,1.6567,first_token_recall_D16
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=0
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0626,0.6684,1.6567,step=1
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0626,0.6684,1.6567,step=2
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=3
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=4
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=5
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=6
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=7
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=8
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=9
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=10
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=11
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=12
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=13
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=14
traj_inject_router_D16_b7500,7500,16,mean_attn_weight,0.0625,0.6684,1.6567,step=15
traj_inject_router_D16_b10000,10000,16,accuracy,0.382,0.8724,1.6449,first_token_recall_D16
traj_inject_router_D16_b10000,10000,16,transport_frac,0.8724,0.8724,1.6449,first_token_recall_D16
traj_inject_router_D16_b10000,10000,16,route_entropy,1.6449,0.8724,1.6449,first_token_recall_D16
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0627,0.8724,1.6449,step=0
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0627,0.8724,1.6449,step=1
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0626,0.8724,1.6449,step=2
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0626,0.8724,1.6449,step=3
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0625,0.8724,1.6449,step=4
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0626,0.8724,1.6449,step=5
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0626,0.8724,1.6449,step=6
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0625,0.8724,1.6449,step=7
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0625,0.8724,1.6449,step=8
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0624,0.8724,1.6449,step=9
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0625,0.8724,1.6449,step=10
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0625,0.8724,1.6449,step=11
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0624,0.8724,1.6449,step=12
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0623,0.8724,1.6449,step=13
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0623,0.8724,1.6449,step=14
traj_inject_router_D16_b10000,10000,16,mean_attn_weight,0.0622,0.8724,1.6449,step=15
