model,training_budget,delay,metric_name,metric_value,transport_usage_fraction,route_entropy,note
traj_inject_router_b800,800,2,accuracy,0.638,0.5645,1.6348,first_token_recall_D2
traj_inject_router_b800,800,2,transport_frac,0.5645,0.5645,1.6348,first_token_recall_D2
traj_inject_router_b800,800,2,route_entropy,1.6348,0.5645,1.6348,first_token_recall_D2
traj_inject_router_b800,800,2,mean_attn_weight,0.4998,0.5645,1.6348,step=0
traj_inject_router_b800,800,2,mean_attn_weight,0.5002,0.5645,1.6348,step=1
traj_inject_router_b800,800,4,accuracy,0.448,0.4138,1.7347,first_token_recall_D4
traj_inject_router_b800,800,4,transport_frac,0.4138,0.4138,1.7347,first_token_recall_D4
traj_inject_router_b800,800,4,route_entropy,1.7347,0.4138,1.7347,first_token_recall_D4
traj_inject_router_b800,800,4,mean_attn_weight,0.25,0.4138,1.7347,step=0
traj_inject_router_b800,800,4,mean_attn_weight,0.25,0.4138,1.7347,step=1
traj_inject_router_b800,800,4,mean_attn_weight,0.25,0.4138,1.7347,step=2
traj_inject_router_b800,800,4,mean_attn_weight,0.25,0.4138,1.7347,step=3
traj_inject_router_b800,800,8,accuracy,0.29,0.1017,1.6921,first_token_recall_D8
traj_inject_router_b800,800,8,transport_frac,0.1017,0.1017,1.6921,first_token_recall_D8
traj_inject_router_b800,800,8,route_entropy,1.6921,0.1017,1.6921,first_token_recall_D8
traj_inject_router_b800,800,8,mean_attn_weight,0.1251,0.1017,1.6921,step=0
traj_inject_router_b800,800,8,mean_attn_weight,0.125,0.1017,1.6921,step=1
traj_inject_router_b800,800,8,mean_attn_weight,0.1249,0.1017,1.6921,step=2
traj_inject_router_b800,800,8,mean_attn_weight,0.1249,0.1017,1.6921,step=3
traj_inject_router_b800,800,8,mean_attn_weight,0.1249,0.1017,1.6921,step=4
traj_inject_router_b800,800,8,mean_attn_weight,0.1249,0.1017,1.6921,step=5
traj_inject_router_b800,800,8,mean_attn_weight,0.125,0.1017,1.6921,step=6
traj_inject_router_b800,800,8,mean_attn_weight,0.1251,0.1017,1.6921,step=7
