D,budget,accuracy,vs_chance,route_entropy,transport_fraction,attention_alpha0,v4_acc_ref,v5_acc_ref,delta_vs_v4
2,800,0.993,0.743,1.6399,0.4665,0.5001,0.638,0.312,0.355
2,2000,1.0,0.75,1.6059,0.668,0.5036,0.616,,0.384
2,5000,1.0,0.75,1.5564,0.7635,0.5266,0.646,0.544,0.354
4,800,0.463,0.213,1.7398,0.6095,0.2502,0.448,0.265,0.015
4,2000,0.997,0.747,1.7002,0.8618,0.2506,0.536,,0.461
4,5000,1.0,0.75,1.5208,0.9955,0.7801,0.52,0.312,0.48
8,800,0.32,0.07,1.6911,0.0625,0.125,0.29,0.21,0.03
8,2000,0.523,0.273,1.6929,0.0815,0.125,0.388,,0.135
8,5000,1.0,0.75,1.617,0.4131,0.7028,0.454,0.266,0.546
16,800,0.272,0.022,1.7397,0.7934,0.0625,0.269,0.227,0.003
16,2000,0.306,0.056,1.7398,0.8074,0.0625,0.275,,0.031
16,5000,0.419,0.169,1.7349,0.7522,0.0625,0.367,0.24,0.052
