run_name,surface_version,delay,budget,accuracy,vs_chance,route_entropy,transport_fraction,attention_alpha0,v6_numpy_ref,delta_vs_v6_numpy,benchmark_note,note
torch_D2_b800,v25_torch_backend,2,800,0.968,1.936,1.7131,0.704,0.5002,0.993,-0.025,,"B=256,D_H=32,torch.jit.script,autograd"
torch_D2_b2000,v25_torch_backend,2,2000,1.0,2.0,1.5979,0.9715,0.5056,1.0,0.0,,"B=256,D_H=32,torch.jit.script,autograd"
torch_D2_b5000,v25_torch_backend,2,5000,1.0,2.0,1.4793,0.9745,0.5308,1.0,0.0,,"B=256,D_H=32,torch.jit.script,autograd"
torch_D4_b800,v25_torch_backend,4,800,0.551,2.204,1.7048,0.1212,0.2496,0.463,0.088,,"B=256,D_H=32,torch.jit.script,autograd"
torch_D4_b2000,v25_torch_backend,4,2000,0.995,3.98,1.6927,0.2855,0.2503,0.997,-0.002,,"B=256,D_H=32,torch.jit.script,autograd"
torch_D4_b5000,v25_torch_backend,4,5000,1.0,4.0,1.5398,0.4153,0.6786,1.0,0.0,,"B=256,D_H=32,torch.jit.script,autograd"
torch_D8_b800,v25_torch_backend,8,800,0.366,2.928,1.7363,0.8998,0.1249,0.32,0.046,,"B=256,D_H=32,torch.jit.script,autograd"
torch_D8_b2000,v25_torch_backend,8,2000,0.606,4.848,1.7326,0.9193,0.1249,0.523,0.083,,"B=256,D_H=32,torch.jit.script,autograd"
torch_D8_b5000,v25_torch_backend,8,5000,1.0,8.0,1.5487,0.9511,0.4235,1.0,0.0,,"B=256,D_H=32,torch.jit.script,autograd"
torch_D16_b800,v25_torch_backend,16,800,0.273,4.368,1.703,0.0738,0.0625,0.272,0.001,,"B=256,D_H=32,torch.jit.script,autograd"
torch_D16_b2000,v25_torch_backend,16,2000,0.299,4.784,1.703,0.0731,0.0625,0.306,-0.007,,"B=256,D_H=32,torch.jit.script,autograd"
torch_D16_b5000,v25_torch_backend,16,5000,0.515,8.24,1.7037,0.0863,0.0625,0.419,0.096,,"B=256,D_H=32,torch.jit.script,autograd"
benchmark_D8,v25_torch_backend,8,benchmark,,,,,,,,"torch=1.46s,sps=560669.0|numpy=9.08s,sps=11278.0|speedup=6.21x|torch_B=256,numpy_B=32",torch.jit.script vs numpy batched (v6_opt)
benchmark_D16,v25_torch_backend,16,benchmark,,,,,,,,"torch=2.77s,sps=590446.0|numpy=16.13s,sps=12697.0|speedup=5.81x|torch_B=256,numpy_B=32",torch.jit.script vs numpy batched (v6_opt)
