delay,budget,metric_name,metric_value,vs_chance,route_entropy,transport_usage_fraction,attention_alpha0,verdict,note
16,10000,accuracy,1.0,16.0,1.5741,0.3211,0.5936,solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
16,10000,route_entropy,1.5741,16.0,1.5741,0.3211,0.5936,solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
16,10000,transport_fraction,0.3211,16.0,1.5741,0.3211,0.5936,solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
16,10000,attention_alpha0,0.5936,16.0,1.5741,0.3211,0.5936,solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
24,10000,accuracy,0.503,12.072,1.6829,0.1169,0.0417,learning_not_solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
24,10000,route_entropy,1.6829,12.072,1.6829,0.1169,0.0417,learning_not_solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
24,10000,transport_fraction,0.1169,12.072,1.6829,0.1169,0.0417,learning_not_solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
24,10000,attention_alpha0,0.0417,12.072,1.6829,0.1169,0.0417,learning_not_solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
32,10000,accuracy,0.408,13.056,1.683,0.9913,0.0312,learning_not_solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
32,10000,route_entropy,1.683,13.056,1.683,0.9913,0.0312,learning_not_solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
32,10000,transport_fraction,0.9913,13.056,1.683,0.9913,0.0312,learning_not_solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
32,10000,attention_alpha0,0.0312,13.056,1.683,0.9913,0.0312,learning_not_solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
48,10000,accuracy,0.275,13.2,1.7428,0.0113,0.0208,learning_not_solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
48,10000,route_entropy,1.7428,13.2,1.7428,0.0113,0.0208,learning_not_solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
48,10000,transport_fraction,0.0113,13.2,1.7428,0.0113,0.0208,learning_not_solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
48,10000,attention_alpha0,0.0208,13.2,1.7428,0.0113,0.0208,learning_not_solved,"B=256,D_H=32,torch.jit.script,v6_step0_inject"
