checkpoint,run,accuracy,acc_unif,alpha0,a_pos_var,attention_grad_norm,router_grad_norm,W_attn_grad_norm,W_inject_grad_norm,bias_value,tau0_x0bv,loss,note
0,canonical_no_bias,0.2539,0.2549,0.041577,9e-06,1.16e-06,0.001832,4.9e-05,0.003867,nan,0.002413,1.3868,"D=24,D_H=32,B=256,budget=10000,B_diag=1024"
500,canonical_no_bias,0.2607,0.2607,0.041586,9e-06,1.07e-06,0.002215,2.3e-05,0.003664,nan,0.003031,1.3853,"D=24,D_H=32,B=256,budget=10000,B_diag=1024"
1000,canonical_no_bias,0.2637,0.2637,0.041575,9e-06,1.25e-06,0.001427,4.2e-05,0.003758,nan,0.002856,1.3861,"D=24,D_H=32,B=256,budget=10000,B_diag=1024"
2000,canonical_no_bias,0.2705,0.2695,0.041585,9e-06,1.55e-06,0.001343,7e-05,0.004169,nan,0.003603,1.3846,"D=24,D_H=32,B=256,budget=10000,B_diag=1024"
5000,canonical_no_bias,0.2852,0.2842,0.041577,8e-06,4.59e-06,0.006572,0.000241,0.006955,nan,0.008868,1.3828,"D=24,D_H=32,B=256,budget=10000,B_diag=1024"
10000,canonical_no_bias,0.4932,0.4932,0.041692,8e-06,3.105e-05,0.012048,0.001491,0.017871,nan,0.055407,1.3542,"D=24,D_H=32,B=256,budget=10000,B_diag=1024"
0,pos0_bias_2.0,0.2598,0.2549,0.242734,0.1663,5.34e-06,0.002665,8.3e-05,0.02249,2.0,0.002413,1.386,"D=24,D_H=32,B=256,budget=10000,B_diag=1024"
500,pos0_bias_2.0,0.3389,0.2822,0.251367,0.174116,1.138e-05,0.005224,0.000465,0.030621,2.0461,0.004973,1.3711,"D=24,D_H=32,B=256,budget=10000,B_diag=1024"
1000,pos0_bias_2.0,0.6514,0.2998,0.296276,0.214788,4.421e-05,0.011797,0.002183,0.066321,2.272134,0.014986,1.3253,"D=24,D_H=32,B=256,budget=10000,B_diag=1024"
2000,pos0_bias_2.0,1.0,0.3682,0.818179,0.896927,4.499e-05,0.014913,0.002188,0.070634,4.636655,0.231693,0.0737,"D=24,D_H=32,B=256,budget=10000,B_diag=1024"
5000,pos0_bias_2.0,1.0,0.4004,0.893215,1.152677,2.5e-06,0.0016,0.000154,0.005184,5.255112,0.389594,0.0037,"D=24,D_H=32,B=256,budget=10000,B_diag=1024"
10000,pos0_bias_2.0,1.0,0.4004,0.909381,1.233886,7e-07,0.00042,4.1e-05,0.001565,5.436683,0.45629,0.001,"D=24,D_H=32,B=256,budget=10000,B_diag=1024"
