variant,gamma,checkpoint,accuracy,alpha0,route_entropy,transport_fraction,mean_resultant_magnitude,mean_grad_transport,mean_grad_nontransport,grad_ratio,op0_frac,op1_frac,op2_frac,op3_frac,op4_frac,op5_frac,runtime_seconds,steps_per_second,loss,n_params,note
hybrid_gamma_0.00,0.0,0,0.241,0.2433,1.5814,0.5649,0.58396,0.0,0.0,0.0,0.303,0.0002,0.1319,0.2023,0.1009,0.2616,0.0,0,-1.0,971,
hybrid_gamma_0.00,0.0,250,0.273,0.2443,1.5729,0.6019,0.59001,0.000269,0.000346,0.7773,0.356,0.0004,0.0417,0.2602,0.0953,0.2464,2.59,96.5,1.3844,971,
hybrid_gamma_0.00,0.0,500,0.3,0.2476,1.589,0.6724,0.58449,0.000259,0.00034,0.7626,0.2261,0.0012,0.1003,0.283,0.1103,0.2792,5.18,96.5,1.3806,971,
hybrid_gamma_0.00,0.0,1000,0.347,0.269,1.5911,0.6747,0.58254,0.007829,0.002492,3.1419,0.2425,0.0056,0.0772,0.2937,0.1043,0.2767,10.27,97.4,1.3553,971,
hybrid_gamma_0.00,0.0,1500,0.589,0.3677,1.5757,0.6825,0.58806,0.002135,0.001713,1.2466,0.2807,0.0367,0.0001,0.3324,0.0856,0.2645,15.45,97.1,1.2268,971,
hybrid_gamma_0.00,0.0,2000,0.989,0.7335,1.5274,0.435,0.6047,0.000424,0.000437,0.969,0.56,0.005,0.0,0.1943,0.0539,0.1868,20.49,97.6,0.2993,971,solved
hybrid_gamma_0.00,0.0,2500,1.0,0.837,1.5256,0.4057,0.60677,0.000258,0.00015,1.7169,0.5885,0.0058,0.0,0.1715,0.0535,0.1807,25.53,97.9,0.0521,971,solved
hybrid_gamma_0.00,0.0,3000,1.0,0.8622,1.5297,0.3555,0.60435,5.2e-05,4.9e-05,1.0483,0.6165,0.028,0.0,0.1451,0.0449,0.1655,30.58,98.1,0.022,971,solved
hybrid_gamma_0.25,0.25,0,0.241,0.2433,1.5814,0.5649,0.58396,0.0,0.0,0.0,0.303,0.0002,0.1319,0.2023,0.1009,0.2616,0.0,0,-1.0,971,
hybrid_gamma_0.25,0.25,250,0.287,0.2442,1.5774,0.5497,0.58628,0.000203,0.000192,1.0593,0.3369,0.0003,0.113,0.2016,0.0908,0.2574,2.5,100.0,1.3839,971,
hybrid_gamma_0.25,0.25,500,0.291,0.2476,1.5722,0.5098,0.58727,0.000209,0.00022,0.9486,0.3847,0.0003,0.1052,0.1824,0.0864,0.241,5.03,99.4,1.3802,971,
hybrid_gamma_0.25,0.25,1000,0.334,0.269,1.5801,0.5423,0.58436,0.000252,0.00023,1.0942,0.3505,0.0006,0.1067,0.194,0.0963,0.2519,10.25,97.6,1.355,971,
hybrid_gamma_0.25,0.25,1500,0.551,0.3682,1.5498,0.6637,0.59573,0.012956,0.009875,1.3121,0.3113,0.0,0.0251,0.2797,0.1417,0.2422,15.68,95.7,1.2253,971,
hybrid_gamma_0.25,0.25,2000,0.991,0.7347,1.5577,0.8833,0.5952,0.000367,0.000384,0.9549,0.0976,0.0001,0.0189,0.3603,0.229,0.2941,21.04,95.1,0.2957,971,solved
hybrid_gamma_0.25,0.25,2500,1.0,0.8369,1.5402,0.9415,0.60213,0.000138,0.000138,1.004,0.0577,0.0001,0.0007,0.3799,0.2558,0.3059,26.32,95.0,0.0518,971,solved
hybrid_gamma_0.25,0.25,3000,1.0,0.8619,1.5294,0.8574,0.60244,4.1e-05,5.4e-05,0.7494,0.1424,0.0002,0.0,0.3253,0.2377,0.2944,31.49,95.3,0.0223,971,solved
hybrid_gamma_0.50,0.5,0,0.241,0.2433,1.5814,0.5649,0.58396,0.0,0.0,0.0,0.303,0.0002,0.1319,0.2023,0.1009,0.2616,0.0,0,-1.0,971,
hybrid_gamma_0.50,0.5,250,0.279,0.2442,1.5924,0.4996,0.58056,0.000441,0.000473,0.9322,0.3305,0.0035,0.1664,0.1607,0.0875,0.2514,2.67,93.6,1.3839,971,
hybrid_gamma_0.50,0.5,500,0.3,0.2476,1.5912,0.4912,0.58121,0.000195,0.000188,1.0332,0.3561,0.0044,0.1483,0.162,0.0787,0.2504,5.39,92.8,1.3799,971,
hybrid_gamma_0.50,0.5,1000,0.315,0.2688,1.536,0.5563,0.59886,0.008592,0.006324,1.3585,0.4005,0.0,0.0432,0.3077,0.0475,0.201,10.67,93.7,1.3553,971,
hybrid_gamma_0.50,0.5,1500,0.567,0.3671,1.5582,0.7005,0.59498,0.000337,0.000443,0.7607,0.2743,0.0019,0.0233,0.3647,0.065,0.2707,15.73,95.4,1.227,971,
hybrid_gamma_0.50,0.5,2000,0.988,0.7327,1.5493,0.702,0.59653,0.000704,0.000426,1.6508,0.2232,0.0001,0.0747,0.2111,0.0791,0.4118,20.75,96.4,0.3001,971,solved
hybrid_gamma_0.50,0.5,2500,1.0,0.8365,1.4518,0.9473,0.63304,0.001329,0.000562,2.3654,0.0255,0.0004,0.0268,0.1984,0.0606,0.6883,25.73,97.2,0.0523,971,solved
hybrid_gamma_0.50,0.5,3000,1.0,0.8617,1.4409,0.9594,0.63748,4e-05,4.2e-05,0.9649,0.027,0.0006,0.013,0.1844,0.061,0.714,30.74,97.6,0.0222,971,solved
hybrid_gamma_1.00,1.0,0,0.241,0.2433,1.5814,0.5649,0.58396,0.0,0.0,0.0,0.303,0.0002,0.1319,0.2023,0.1009,0.2616,0.0,0,-1.0,971,
hybrid_gamma_1.00,1.0,250,0.287,0.2442,1.5819,0.5851,0.58446,0.000189,0.000188,1.0093,0.2758,0.0001,0.1389,0.223,0.1084,0.2537,2.57,97.3,1.3837,971,
hybrid_gamma_1.00,1.0,500,0.318,0.2476,1.5931,0.5029,0.57857,0.000484,0.000506,0.9569,0.3728,0.002,0.1223,0.1618,0.1373,0.2038,5.3,94.3,1.3803,971,
hybrid_gamma_1.00,1.0,1000,0.344,0.269,1.585,0.489,0.5809,0.000216,0.000222,0.9697,0.4082,0.0013,0.1015,0.1769,0.138,0.1741,10.62,94.2,1.3541,971,
hybrid_gamma_1.00,1.0,1500,0.565,0.3679,1.5662,0.4542,0.58975,0.000773,0.000591,1.3087,0.4981,0.0027,0.045,0.2167,0.099,0.1385,15.85,94.6,1.2243,971,
hybrid_gamma_1.00,1.0,2000,0.986,0.7331,1.5543,0.2207,0.58914,0.001316,0.001388,0.9482,0.5866,0.005,0.1877,0.0522,0.0915,0.077,21.15,94.6,0.3002,971,solved
hybrid_gamma_1.00,1.0,2500,1.0,0.8371,1.595,0.3219,0.57701,0.000147,0.000165,0.8928,0.3855,0.0447,0.2479,0.048,0.0724,0.2015,26.62,93.9,0.0518,971,solved
hybrid_gamma_1.00,1.0,3000,1.0,0.8622,1.5883,0.2996,0.58029,4.1e-05,4.3e-05,0.9616,0.4658,0.0386,0.196,0.0363,0.069,0.1943,32.06,93.6,0.0221,971,solved
hybrid_gamma_1.50,1.5,0,0.241,0.2433,1.5814,0.5649,0.58396,0.0,0.0,0.0,0.303,0.0002,0.1319,0.2023,0.1009,0.2616,0.0,0,-1.0,971,
hybrid_gamma_1.50,1.5,250,0.292,0.2441,1.5686,0.3698,0.586,0.002805,0.002058,1.3629,0.5215,0.0011,0.1075,0.111,0.1427,0.1161,2.53,98.8,1.3843,971,
hybrid_gamma_1.50,1.5,500,0.314,0.2475,1.5761,0.4366,0.58172,0.000203,0.000214,0.9478,0.4472,0.0009,0.1153,0.1255,0.1749,0.1362,5.04,99.2,1.3806,971,
hybrid_gamma_1.50,1.5,1000,0.369,0.269,1.5214,0.147,0.61055,0.000351,0.000497,0.7051,0.77,0.0158,0.0672,0.0115,0.0611,0.0744,10.03,99.7,1.3558,971,
hybrid_gamma_1.50,1.5,1500,0.579,0.3664,1.4496,0.2448,0.62616,0.000406,0.000407,0.997,0.7406,0.0008,0.0138,0.2132,0.0248,0.0068,15.11,99.3,1.2284,971,
hybrid_gamma_1.50,1.5,2000,0.985,0.7327,1.4132,0.4323,0.63204,0.000334,0.000345,0.9666,0.5653,0.0,0.0025,0.4054,0.0216,0.0053,20.32,98.4,0.3019,971,solved
hybrid_gamma_1.50,1.5,2500,1.0,0.8366,1.4259,0.4356,0.63076,0.00018,0.000189,0.9531,0.5642,0.0,0.0001,0.3497,0.0178,0.0682,25.72,97.2,0.0524,971,solved
hybrid_gamma_1.50,1.5,3000,1.0,0.8619,1.4115,0.5109,0.63537,4.1e-05,4.4e-05,0.9288,0.4891,0.0,0.0,0.4185,0.0264,0.0659,31.46,95.4,0.0225,971,solved
hybrid_gamma_2.00,2.0,0,0.241,0.2433,1.5814,0.5649,0.58396,0.0,0.0,0.0,0.303,0.0002,0.1319,0.2023,0.1009,0.2616,0.0,0,-1.0,971,
hybrid_gamma_2.00,2.0,250,0.277,0.2442,1.5712,0.5369,0.58813,0.000419,0.000311,1.3457,0.3406,0.0005,0.122,0.19,0.0454,0.3015,2.8,89.3,1.3838,971,
hybrid_gamma_2.00,2.0,500,0.299,0.2475,1.562,0.5378,0.59057,0.000175,0.000196,0.8939,0.3533,0.0002,0.1088,0.1814,0.0383,0.3181,5.65,88.5,1.3797,971,
hybrid_gamma_2.00,2.0,1000,0.324,0.269,1.496,0.4584,0.61085,0.00068,0.000762,0.8919,0.1799,0.0,0.3618,0.0154,0.0247,0.4183,11.51,86.9,1.3556,971,
hybrid_gamma_2.00,2.0,1500,0.548,0.3663,1.4986,0.711,0.61342,0.001474,0.001431,1.0301,0.15,0.0,0.1389,0.0921,0.0541,0.5649,17.44,86.0,1.2293,971,
hybrid_gamma_2.00,2.0,2000,0.989,0.7303,1.5371,0.9003,0.6005,0.001714,0.002012,0.8519,0.0477,0.0,0.052,0.4496,0.2195,0.2312,23.14,86.4,0.3082,971,solved
hybrid_gamma_2.00,2.0,2500,1.0,0.836,1.4972,0.9596,0.61245,0.000215,0.000226,0.9508,0.01,0.0,0.0304,0.4778,0.3063,0.1755,28.46,87.8,0.053,971,solved
hybrid_gamma_2.00,2.0,3000,1.0,0.8614,1.4463,0.8372,0.62163,5.3e-05,5.3e-05,1.0015,0.0013,0.0005,0.1609,0.157,0.2991,0.3811,33.87,88.6,0.0224,971,solved
hybrid_gamma_3.00,3.0,0,0.241,0.2433,1.5814,0.5649,0.58396,0.0,0.0,0.0,0.303,0.0002,0.1319,0.2023,0.1009,0.2616,0.0,0,-1.0,971,
hybrid_gamma_3.00,3.0,250,0.275,0.244,1.4639,0.8819,0.63359,0.010205,0.010588,0.9638,0.1172,0.0004,0.0005,0.7805,0.0293,0.072,2.61,95.8,1.3851,971,
hybrid_gamma_3.00,3.0,500,0.314,0.2473,1.4522,0.8952,0.63784,0.000159,0.000156,1.0184,0.1044,0.0001,0.0004,0.8087,0.0279,0.0586,5.25,95.2,1.3809,971,
hybrid_gamma_3.00,3.0,1000,0.378,0.2684,1.5248,0.9216,0.60786,0.000494,0.000527,0.9374,0.0754,0.0015,0.0015,0.7542,0.12,0.0474,10.64,94.0,1.356,971,
hybrid_gamma_3.00,3.0,1500,0.609,0.365,1.3687,0.9994,0.6464,0.00282,0.00078,3.6166,0.0003,0.0003,0.0001,0.4012,0.5976,0.0006,16.04,93.5,1.2309,971,
hybrid_gamma_3.00,3.0,2000,0.994,0.731,1.2017,0.9998,0.69185,0.00034,0.000339,1.0035,0.0002,0.0,0.0,0.4459,0.5539,0.0,21.28,94.0,0.3061,971,solved
hybrid_gamma_3.00,3.0,2500,1.0,0.8362,1.0283,0.9998,0.74096,0.000193,0.000246,0.786,0.0002,0.0,0.0,0.1902,0.8096,0.0,26.5,94.3,0.0529,971,solved
hybrid_gamma_3.00,3.0,3000,1.0,0.8615,1.0944,0.999,0.72938,4.6e-05,4.9e-05,0.9424,0.001,0.0,0.0,0.1797,0.8193,0.0,31.51,95.2,0.0226,971,solved
