component_name,sequentiality_class,vectorized_yes_no,runtime_seconds_before,runtime_seconds_after,percent_total_runtime_before,percent_total_runtime_after,note
TN_lookup,sequential_coupled_recurrence,no,0.122076,-1,26.85,-1,
linear1_mm,partially_vectorizable,partial,0.095183,-1,20.94,-1,
einsum_blend,sequential,no,0.066108,-1,14.54,-1,
gumbel_noise,trivially_vectorizable,yes,0.042478,-1,9.34,-1,
softmax,sequential,no,0.041438,-1,9.12,-1,
TR_lookup,sequential_nondiff,no,0.026233,-1,5.77,-1,
argmax,sequential_nondiff,no,0.017783,-1,3.91,-1,
linear2_mm,sequential,no,0.012429,-1,2.73,-1,
embedding_lookup,trivially_vectorizable,yes,0.008947,-1,1.97,-1,
gather_route,sequential_nondiff,no,0.008729,-1,1.92,-1,
cat,eliminable_via_split_matmul,yes,0.007613,-1,1.67,-1,
token_select,trivially_vectorizable,yes,0.003992,-1,0.88,-1,
injection,trivially_vectorizable_mask,yes,0.001579,-1,0.35,-1,
tanh,sequential_nonlinear,no,0.0,-1,0.0,-1,
FULL_TRAIN_baseline,aggregate,baseline,2.5144,3.226,100.0,100.0,sps=119.3
FULL_TRAIN_vectorized,aggregate,vectorized,2.5144,3.226,100.0,100.0,sps=93.0
split/forward,aggregate,comparison,1.571,1.7949,62.48,55.64,"baseline=1.571s, vectorized=1.795s"
split/backward,aggregate,comparison,0.8332,1.3117,33.14,40.66,"baseline=0.833s, vectorized=1.312s"
thread_sweep/n=1,thread_config,N/A,2.04,-1,100.0,-1,"sps=98.2, fwd=1.32s, bwd=0.66s; num_threads=1 is optimal"
thread_sweep/n=2,thread_config,N/A,2.2,-1,100.0,-1,"sps=91.1, fwd=1.38s, bwd=0.75s; num_threads=1 is optimal"
thread_sweep/n=4,thread_config,N/A,2.36,-1,100.0,-1,"sps=84.8, fwd=1.46s, bwd=0.83s; num_threads=1 is optimal"
thread_sweep/n=6,thread_config,N/A,2.43,-1,100.0,-1,"sps=82.3, fwd=1.5s, bwd=0.86s; num_threads=1 is optimal"
thread_sweep/n=8,thread_config,N/A,2.56,-1,100.0,-1,"sps=78.1, fwd=1.58s, bwd=0.92s; num_threads=1 is optimal"
thread_sweep/n=10,thread_config,N/A,2.56,-1,100.0,-1,"sps=78.0, fwd=1.59s, bwd=0.92s; num_threads=1 is optimal"
