scope,metric,count,total,fraction,note
summary,primary_states_examined,15,15,1.0,"distinct primary chart states (b,phi,r) on the bounded lawful operator surface"
summary,distinct_transport_identities_reached,1242,15,82.8,"distinct augmented transport identities under spin_H_candidate_v2 = (phi,r,spin_h4,tau)"
summary,collision_count,0,15,0.0,many-to-one collisions from primary chart states into augmented transport identities
summary,ambiguity_count,15,15,1.0,primary chart states with more than one augmented transport identity under repeated lawful iteration
summary,recursive_consistency_rate,1242,1242,1.0,fraction of augmented transport identities whose lawful component updates are canonical
summary,canonical_states_under_iteration,1242,1242,1.0,augmented transport identities with unique lawful successor identity for every component
summary,noncanonical_branching_states,0,1242,0.0,augmented transport identities whose lawful successors still branch for some component
comparison,recursive_consistency_improvement_vs_v2,1242,1242,1.0,change in recursive consistency rate relative to spin_H candidate v2
comparison,branching_reduction_vs_v2,15,15,1.0,reduction in noncanonical branching states relative to spin_H candidate v2
comparison,collision_change_vs_v2,0,0,0.0,change in primary-state collisions relative to spin_H candidate v2
representation,angular_identity_preserved,1,1,1.0,augmented transport lift preserves b exactly and carries phi explicitly
representation,radial_identity_preserved,1,1,1.0,augmented transport lift preserves r exactly
representation,predictive_structure_preserved,1,1,1.0,augmented transport lift carries predictive spin_h4 structure explicitly
representation,recursive_closure_improves_materially,1,1,1.0,material improvement threshold set at recursive consistency improvement > 0.25
primary_distribution,primary_b0_phi0_r0,103,1242,0.08293075684380032,transport_images=b0_phi(0)_r0_spin0000_taus0c0t0l0|b0_phi(0)_r0_spin0000_taus0c0t0l1|b0_phi(0)_r0_spin0000_taus0c0t0l4|b0_phi(0)_r0_spin0000_taus0c0t0l6|b0_phi(0)_r0_spin0000_taus0c0t0l8|b0_phi(0)_r0_spin0000_taus0c0t0l9|b0_phi(0)_r0_spin0000_taus0c0t1l0|b0_phi(0)_r0_spin0000_taus0c0t1l4|b0_phi(0)_r0_spin0000_taus0c0t1l6|b0_phi(0)_r0_spin0000_taus1c0t0l6|b0_phi(0)_r0_spin0000_taus1c0t1l0|b0_phi(0)_r0_spin0000_taus1c0t1l4|b0_phi(0)_r0_spin0000_taus1c0t1l6|b0_phi(0)_r0_spin0001_taus0c0t0l4|b0_phi(0)_r0_spin0001_taus0c0t0l8|b0_phi(0)_r0_spin0001_taus0c0t1l8|b0_phi(0)_r0_spin0001_taus0c3t0l8|b0_phi(0)_r0_spin0001_taus1c0t0l8|b0_phi(0)_r0_spin0001_taus1c0t1l8|b0_phi(0)_r0_spin0001_taus1c4t0l8|b0_phi(0)_r0_spin0010_taus0c0t0l8|b0_phi(0)_r0_spin0010_taus0c0t1l8|b0_phi(0)_r0_spin0010_taus0c3t0l8|b0_phi(0)_r0_spin0010_taus0c3t1l8|b0_phi(0)_r0_spin0010_taus0c4t1l8|b0_phi(0)_r0_spin0010_taus1c0t0l8|b0_phi(0)_r0_spin0010_taus1c0t1l8|b0_phi(0)_r0_spin0010_taus1c3t1l8|b0_phi(0)_r0_spin0010_taus1c4t0l8|b0_phi(0)_r0_spin0010_taus1c4t1l8|b0_phi(0)_r0_spin0100_taus0c0t0l11|b0_phi(0)_r0_spin0100_taus0c0t0l2|b0_phi(0)_r0_spin0100_taus0c0t0l3|b0_phi(0)_r0_spin0100_taus0c0t0l9|b0_phi(0)_r0_spin0100_taus0c0t1l11|b0_phi(0)_r0_spin0100_taus0c0t1l2|b0_phi(0)_r0_spin0100_taus0c0t1l9|b0_phi(0)_r0_spin0100_taus0c3t0l2|b0_phi(0)_r0_spin0100_taus0c3t1l2|b0_phi(0)_r0_spin0100_taus0c4t1l2|b0_phi(0)_r0_spin0100_taus1c0t0l2|b0_phi(0)_r0_spin0100_taus1c0t1l11|b0_phi(0)_r0_spin0100_taus1c0t1l2|b0_phi(0)_r0_spin0100_taus1c0t1l9|b0_phi(0)_r0_spin0100_taus1c3t1l2|b0_phi(0)_r0_spin0100_taus1c4t0l2|b0_phi(0)_r0_spin0100_taus1c4t1l2|b0_phi(0)_r0_spin0101_taus0c0t0l11|b0_phi(0)_r0_spin0101_taus0c0t0l2|b0_phi(0)_r0_spin0101_taus0c0t1l2|b0_phi(0)_r0_spin0101_taus0c3t0l2|b0_phi(0)_r0_spin0101_taus1c0t0l2|b0_phi(0)_r0_spin0101_taus1c0t1l2|b0_phi(0)_r0_spin0101_taus1c4t0l2|b0_phi(0)_r0_spin1000_taus0c0t0l4|b0_phi(0)_r0_spin1000_taus0c0t0l9|b0_phi(0)_r0_spin1000_taus0c0t1l4|b0_phi(0)_r0_spin1000_taus0c3t0l4|b0_phi(0)_r0_spin1000_taus0c3t1l4|b0_phi(0)_r0_spin1000_taus0c4t0l4|b0_phi(0)_r0_spin1000_taus0c4t1l4|b0_phi(0)_r0_spin1000_taus1c0t0l4|b0_phi(0)_r0_spin1000_taus1c0t1l4|b0_phi(0)_r0_spin1000_taus1c3t0l4|b0_phi(0)_r0_spin1000_taus1c3t1l4|b0_phi(0)_r0_spin1000_taus1c4t0l4|b0_phi(0)_r0_spin1000_taus1c4t1l4|b0_phi(0)_r0_spin1010_taus0c0t0l4|b0_phi(0)_r0_spin1010_taus0c0t1l4|b0_phi(0)_r0_spin1010_taus0c3t0l4|b0_phi(0)_r0_spin1010_taus0c3t1l4|b0_phi(0)_r0_spin1010_taus0c4t1l4|b0_phi(0)_r0_spin1010_taus1c0t0l4|b0_phi(0)_r0_spin1010_taus1c0t1l4|b0_phi(0)_r0_spin1010_taus1c3t1l4|b0_phi(0)_r0_spin1010_taus1c4t0l4|b0_phi(0)_r0_spin1010_taus1c4t1l4|b0_phi(0)_r0_spin1100_taus0c0t0l10|b0_phi(0)_r0_spin1100_taus0c0t1l10|b0_phi(0)_r0_spin1100_taus0c3t0l10|b0_phi(0)_r0_spin1100_taus1c0t0l10|b0_phi(0)_r0_spin1100_taus1c0t1l10|b0_phi(0)_r0_spin1100_taus1c4t0l10|b0_phi(0)_r0_spin1111_taus0c0t0l0|b0_phi(0)_r0_spin1111_taus0c0t1l0|b0_phi(0)_r0_spin1111_taus0c1t0l0|b0_phi(0)_r0_spin1111_taus0c1t1l0|b0_phi(0)_r0_spin1111_taus0c2t0l0|b0_phi(0)_r0_spin1111_taus0c2t1l0|b0_phi(0)_r0_spin1111_taus0c3t0l0|b0_phi(0)_r0_spin1111_taus0c3t1l0|b0_phi(0)_r0_spin1111_taus0c4t0l0|b0_phi(0)_r0_spin1111_taus0c4t1l0|b0_phi(0)_r0_spin1111_taus1c0t0l0|b0_phi(0)_r0_spin1111_taus1c0t1l0|b0_phi(0)_r0_spin1111_taus1c1t0l0|b0_phi(0)_r0_spin1111_taus1c1t1l0|b0_phi(0)_r0_spin1111_taus1c2t0l0|b0_phi(0)_r0_spin1111_taus1c2t1l0|b0_phi(0)_r0_spin1111_taus1c3t0l0|b0_phi(0)_r0_spin1111_taus1c3t1l0|b0_phi(0)_r0_spin1111_taus1c4t0l0|b0_phi(0)_r0_spin1111_taus1c4t1l0
