scope,metric,count,total,fraction,note
summary,primary_states_examined,45,45,1.0,distinct primary chart states on the bounded lawful H_v8 surface
summary,distinct_transport_identities_reached,37682,45,837.3777777777777,distinct coherent transport identities under spin_H_extended
summary,collision_count,0,45,0.0,many-to-one collisions from primary chart states into coherent extended transport identities
summary,ambiguity_count,45,45,1.0,primary chart states with more than one coherent extended transport identity
summary,recursive_consistency_rate,37178,37682,0.986624913751924,fraction of coherent transport identities whose lawful component updates remain canonical
summary,canonical_states_under_iteration,37178,37682,0.986624913751924,coherent transport identities with unique lawful successor identity for every component
summary,noncanonical_branching_states,504,37682,0.013375086248076004,coherent transport identities whose lawful successors still branch for some component
summary,distinct_spin_classes_represented,511,511,1.0,number of distinct predictive shells represented
summary,distinct_radial_classes_represented,3,3,1.0,number of distinct radial classes represented in extended transport identities
comparison_vs_v3,collision_change_vs_v3,0,0,0.0,change in collisions relative to spin_H_candidate_v3
comparison_vs_v3,ambiguity_change_vs_v3,30,15,0.0,change in ambiguity relative to spin_H_candidate_v3
comparison_vs_v3,recursive_consistency_change_vs_v3,35936,37682,-0.01337508624807604,change in recursive consistency relative to spin_H_candidate_v3
representation,angular_identity_preserved,1,1,1.0,extended state preserves angular identity explicitly
representation,radial_identity_preserved,1,1,1.0,extended state preserves radial class explicitly
representation,predictive_structure_preserved,1,1,1.0,extended state preserves predictive structure explicitly
representation,recursive_closure_preserved,0,1,0.0,extended state preserves recursive closure structure explicitly
