operator,cluster,bin_label,bin_left,bin_right,count,fraction,note
T_b,non-transport,1–4,1,5,76,0.076000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_b,non-transport,5–14,5,15,193,0.193000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_b,non-transport,15–49,15,50,275,0.275000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_b,non-transport,50–149,50,150,75,0.075000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_b,non-transport,150+,150,1001,0,0.000000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_b,non-transport,no_tau_return,N/A,N/A,381,0.381000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_x,non-transport,1–4,1,5,61,0.061000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_x,non-transport,5–14,5,15,432,0.432000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_x,non-transport,15–49,15,50,0,0.000000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_x,non-transport,50–149,50,150,0,0.000000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_x,non-transport,150+,150,1001,0,0.000000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_x,non-transport,no_tau_return,N/A,N/A,507,0.507000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_y,non-transport,1–4,1,5,161,0.161000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_y,non-transport,5–14,5,15,275,0.275000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_y,non-transport,15–49,15,50,165,0.165000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_y,non-transport,50–149,50,150,5,0.005000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_y,non-transport,150+,150,1001,0,0.000000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_y,non-transport,no_tau_return,N/A,N/A,394,0.394000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_c,transport,1–4,1,5,30,0.030000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_c,transport,5–14,5,15,74,0.074000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_c,transport,15–49,15,50,110,0.110000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_c,transport,50–149,50,150,42,0.042000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_c,transport,150+,150,1001,0,0.000000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_c,transport,no_tau_return,N/A,N/A,744,0.744000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_z',transport,1–4,1,5,34,0.034000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_z',transport,5–14,5,15,85,0.085000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_z',transport,15–49,15,50,152,0.152000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_z',transport,50–149,50,150,95,0.095000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_z',transport,150+,150,1001,1,0.001000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_z',transport,no_tau_return,N/A,N/A,633,0.633000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_r*,transport,1–4,1,5,36,0.036000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_r*,transport,5–14,5,15,84,0.084000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_r*,transport,15–49,15,50,196,0.196000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_r*,transport,50–149,50,150,259,0.259000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_r*,transport,150+,150,1001,63,0.063000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
T_r*,transport,no_tau_return,N/A,N/A,362,0.362000,cap=1000; sample=1000; rng_seed=42; same sample as prior tau orbit audit
