operator,cluster,period,count,fraction,prime_factorization,all_factors_in_2_3_5,largest_prime_factor,divides_60,multiple_of_60,extra_prime_present,note
T_b,non-transport,60,227,0.227,2^2 × 3 × 5,True,5,True,True,False,divides_60; multiple_of_60
T_b,non-transport,30,193,0.193,2 × 3 × 5,True,5,True,False,False,divides_60
T_b,non-transport,20,179,0.179,2^2 × 5,True,5,True,False,False,divides_60
T_b,non-transport,15,152,0.152,3 × 5,True,5,True,False,False,divides_60
T_b,non-transport,120,81,0.081,2^3 × 3 × 5,True,5,False,True,False,multiple_of_60
T_b,non-transport,10,60,0.06,2 × 5,True,5,True,False,False,divides_60
T_b,non-transport,40,40,0.04,2^3 × 5,True,5,False,False,False,
T_b,non-transport,25,37,0.037,5^2,True,5,False,False,False,
T_b,non-transport,5,25,0.025,5,True,5,True,False,False,divides_60
T_b,non-transport,105,4,0.004,3 × 5 × 7,False,7,False,False,True,extra primes: [7]
T_b,non-transport,75,2,0.002,3 × 5^2,True,5,False,False,False,
T_x,non-transport,6,1000,1.0,2 × 3,True,3,True,False,False,divides_60
T_y,non-transport,6,286,0.286,2 × 3,True,3,True,False,False,divides_60
T_y,non-transport,12,135,0.135,2^2 × 3,True,3,True,False,False,divides_60
T_y,non-transport,18,110,0.11,2 × 3^2,True,3,False,False,False,
T_y,non-transport,30,59,0.059,2 × 3 × 5,True,5,True,False,False,divides_60
T_y,non-transport,2,52,0.052,2,True,2,True,False,False,divides_60
T_y,non-transport,42,51,0.051,2 × 3 × 7,False,7,False,False,True,extra primes: [7]
T_y,non-transport,4,43,0.043,2^2,True,2,True,False,False,divides_60
T_y,non-transport,8,39,0.039,2^3,True,2,False,False,False,
T_y,non-transport,36,37,0.037,2^2 × 3^2,True,3,False,False,False,
T_y,non-transport,24,34,0.034,2^3 × 3,True,3,False,False,False,
T_y,non-transport,10,31,0.031,2 × 5,True,5,True,False,False,divides_60
T_y,non-transport,14,22,0.022,2 × 7,False,7,False,False,True,extra primes: [7]
T_y,non-transport,84,18,0.018,2^2 × 3 × 7,False,7,False,False,True,extra primes: [7]
