operator,cluster,cycle_length,count,fraction,rank_within_operator,note
T_b,non-transport,60,227,0.227000,1,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_b,non-transport,30,193,0.193000,2,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_b,non-transport,20,179,0.179000,3,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_b,non-transport,15,152,0.152000,4,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_b,non-transport,120,81,0.081000,5,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_b,non-transport,10,60,0.060000,6,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_b,non-transport,40,40,0.040000,7,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_b,non-transport,25,37,0.037000,8,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_b,non-transport,5,25,0.025000,9,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_b,non-transport,105,4,0.004000,10,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_b,non-transport,75,2,0.002000,11,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_x,non-transport,6,1000,1.000000,1,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,6,286,0.286000,1,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,12,135,0.135000,2,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,18,110,0.110000,3,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,30,59,0.059000,4,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,2,52,0.052000,5,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,42,51,0.051000,6,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,4,43,0.043000,7,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,8,39,0.039000,8,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,36,37,0.037000,9,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,24,34,0.034000,10,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,10,31,0.031000,11,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,14,22,0.022000,12,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,84,18,0.018000,13,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,16,16,0.016000,14,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,54,16,0.016000,15,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,72,15,0.015000,16,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,20,11,0.011000,17,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,120,9,0.009000,18,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,60,9,0.009000,19,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_y,non-transport,66,7,0.007000,20,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,2,176,0.176000,1,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,9,127,0.127000,2,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,8,106,0.106000,3,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,27,65,0.065000,4,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,4,58,0.058000,5,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,18,57,0.057000,6,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,6,50,0.050000,7,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,36,40,0.040000,8,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,96,35,0.035000,9,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,12,33,0.033000,10,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,135,32,0.032000,11,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,15,32,0.032000,12,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,24,32,0.032000,13,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,117,24,0.024000,14,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,30,22,0.022000,15,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,60,21,0.021000,16,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,51,17,0.017000,17,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,39,16,0.016000,18,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,75,13,0.013000,19,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,25,13,0.013000,20,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,11,8,0.008000,21,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,90,7,0.007000,22,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,31,5,0.005000,23,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,33,5,0.005000,24,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,3,2,0.002000,25,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,21,2,0.002000,26,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_c,transport,7,2,0.002000,27,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,6,155,0.155000,1,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,2,85,0.085000,2,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,60,71,0.071000,3,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,21,57,0.057000,4,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,9,50,0.050000,5,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,7,49,0.049000,6,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,10,45,0.045000,7,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,57,44,0.044000,8,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,144,41,0.041000,9,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,54,39,0.039000,10,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,5,36,0.036000,11,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,87,33,0.033000,12,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,65,32,0.032000,13,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,30,31,0.031000,14,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,102,26,0.026000,15,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,26,21,0.021000,16,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,78,20,0.020000,17,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,59,19,0.019000,18,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,18,18,0.018000,19,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,23,16,0.016000,20,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,63,15,0.015000,21,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,33,13,0.013000,22,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,120,13,0.013000,23,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,48,11,0.011000,24,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,42,11,0.011000,25,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,44,9,0.009000,26,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,12,7,0.007000,27,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,11,5,0.005000,28,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,3,5,0.005000,29,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,15,5,0.005000,30,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,75,4,0.004000,31,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,19,4,0.004000,32,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,4,4,0.004000,33,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,27,4,0.004000,34,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_z',transport,13,2,0.002000,35,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,75,78,0.078000,1,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,519,54,0.054000,2,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,76,54,0.054000,3,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,234,53,0.053000,4,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,51,53,0.053000,5,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,50,52,0.052000,6,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,27,52,0.052000,7,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,237,51,0.051000,8,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,93,50,0.050000,9,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,8,46,0.046000,10,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,6,44,0.044000,11,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,72,40,0.040000,12,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,231,38,0.038000,13,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,228,36,0.036000,14,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,342,36,0.036000,15,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,192,35,0.035000,16,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,84,34,0.034000,17,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,120,29,0.029000,18,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,9,21,0.021000,19,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,4,20,0.020000,20,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,33,18,0.018000,21,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,48,16,0.016000,22,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,49,13,0.013000,23,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,24,13,0.013000,24,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,34,12,0.012000,25,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,45,9,0.009000,26,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
T_r*,transport,18,9,0.009000,27,cap=1000; sample=1000; rng_seed=42; same sample as prior tau audits
