operator,cluster,subfield,observed_period,count,fraction,drives_full_tau_period,synchronization_role,note
T_b,non-transport,swap,1,1000,1.000000,0.0310,bottleneck_fraction=0.0310,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=0; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,1,192,0.192000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,2,164,0.164000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,4,131,0.131000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,3,116,0.116000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,6,67,0.067000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,5,66,0.066000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,8,44,0.044000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,7,42,0.042000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,9,30,0.030000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,10,25,0.025000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,11,22,0.022000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,14,13,0.013000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,12,11,0.011000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,13,9,0.009000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,15,8,0.008000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,16,7,0.007000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,20,5,0.005000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,18,5,0.005000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
T_b,non-transport,coupled,17,3,0.003000,0.3530,bottleneck_fraction=0.3530,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=36; dominant_sync_type=tau_unresolved
