variant,horizon,seed,accuracy,solve_step,decodability_final,alpha_last,orientation_gap,runtime_seconds,note
original_s42,16,42,0.9658,,1.0,0.0893,-0.0117,78.5,branch=dimension_phase_alignment_probe_v1; variant=original_s42; D=16; D_HIDDEN=32; seed=42; period12_multiple=no; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 interleaved sub-groups; seed=42 (locked-stack canonical replication)
shift1_s42,16,42,0.9775,,1.0,0.0574,-0.0117,76.7,"branch=dimension_phase_alignment_probe_v1; variant=shift1_s42; D=16; D_HIDDEN=32; seed=42; period12_multiple=no; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 sub-groups, class-label rotation +1; seed=42"
original_s42,20,42,0.9956,2000,1.0,0.0398,-0.0034,96.7,branch=dimension_phase_alignment_probe_v1; variant=original_s42; D=20; D_HIDDEN=32; seed=42; period12_multiple=no; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 interleaved sub-groups; seed=42 (locked-stack canonical replication)
shift1_s42,20,42,0.999,3500,1.0,0.046,-0.0034,90.6,"branch=dimension_phase_alignment_probe_v1; variant=shift1_s42; D=20; D_HIDDEN=32; seed=42; period12_multiple=no; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 sub-groups, class-label rotation +1; seed=42"
original_s42,24,42,0.999,3000,1.0,0.0316,0.0332,105.9,branch=dimension_phase_alignment_probe_v1; variant=original_s42; D=24; D_HIDDEN=32; seed=42; period12_multiple=yes; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 interleaved sub-groups; seed=42 (locked-stack canonical replication)
shift1_s42,24,42,0.9658,,1.0,0.0516,0.0332,105.8,"branch=dimension_phase_alignment_probe_v1; variant=shift1_s42; D=24; D_HIDDEN=32; seed=42; period12_multiple=yes; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 sub-groups, class-label rotation +1; seed=42"
original_s42,28,42,0.9951,,1.0,0.0366,0.0205,127.8,branch=dimension_phase_alignment_probe_v1; variant=original_s42; D=28; D_HIDDEN=32; seed=42; period12_multiple=no; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 interleaved sub-groups; seed=42 (locked-stack canonical replication)
shift1_s42,28,42,0.9746,,1.0,0.0277,0.0205,128.9,"branch=dimension_phase_alignment_probe_v1; variant=shift1_s42; D=28; D_HIDDEN=32; seed=42; period12_multiple=no; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 sub-groups, class-label rotation +1; seed=42"
original_s42,32,42,0.9395,,1.0,0.0462,-0.0332,148.1,branch=dimension_phase_alignment_probe_v1; variant=original_s42; D=32; D_HIDDEN=32; seed=42; period12_multiple=no; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 interleaved sub-groups; seed=42 (locked-stack canonical replication)
shift1_s42,32,42,0.9727,,1.0,0.0336,-0.0332,146.6,"branch=dimension_phase_alignment_probe_v1; variant=shift1_s42; D=32; D_HIDDEN=32; seed=42; period12_multiple=no; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 sub-groups, class-label rotation +1; seed=42"
original_s42,36,42,0.9683,,1.0,0.0262,-0.0239,165.0,branch=dimension_phase_alignment_probe_v1; variant=original_s42; D=36; D_HIDDEN=32; seed=42; period12_multiple=yes; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 interleaved sub-groups; seed=42 (locked-stack canonical replication)
shift1_s42,36,42,0.9922,,1.0,0.0172,-0.0239,175.7,"branch=dimension_phase_alignment_probe_v1; variant=shift1_s42; D=36; D_HIDDEN=32; seed=42; period12_multiple=yes; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 sub-groups, class-label rotation +1; seed=42"
original_s42,40,42,0.9727,,1.0,0.022,-0.0156,188.4,branch=dimension_phase_alignment_probe_v1; variant=original_s42; D=40; D_HIDDEN=32; seed=42; period12_multiple=no; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 interleaved sub-groups; seed=42 (locked-stack canonical replication)
shift1_s42,40,42,0.9883,,1.0,0.0107,-0.0156,189.2,"branch=dimension_phase_alignment_probe_v1; variant=shift1_s42; D=40; D_HIDDEN=32; seed=42; period12_multiple=no; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 sub-groups, class-label rotation +1; seed=42"
