probe,variant,horizon,seed,accuracy,solve_step,no_last_accuracy,decodability_final,alpha_last,delta_vs_file3_task_a,runtime_seconds,note
probe1_taskA,original_s42,24,42,0.9941,,0.9946,1.0,0.0405,0.0288,117.9,probe=1; variant=original_s42; D=24; seed=42; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 sub-groups; seed=42 (exact replication of file-3 Task A failure)
probe1_taskA,original_s99,24,99,0.9858,,0.9893,1.0,0.0501,0.0205,113.8,probe=1; variant=original_s99; D=24; seed=99; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 sub-groups; seed=99 (seed sensitivity check)
probe1_taskA,shift1_s42,24,42,0.957,,0.9424,1.0,0.0476,-0.0083,107.9,"probe=1; variant=shift1_s42; D=24; seed=42; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 sub-groups, class-label rotation +1; seed=42"
probe1_taskA,aperiodic_s42,24,42,0.9956,,0.9971,0.5171,0.0211,0.0303,116.5,"probe=1; variant=aperiodic_s42; D=24; seed=42; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 symmetry broken; unequal class sizes {4,4,3,1}; seed=42"
probe1_taskA,original_s42,32,42,0.9653,,0.9712,1.0,0.0189,0.0625,147.1,probe=1; variant=original_s42; D=32; seed=42; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 sub-groups; seed=42 (exact replication of file-3 Task A failure)
probe1_taskA,original_s99,32,99,0.9736,,0.981,1.0,0.0319,0.0708,150.5,probe=1; variant=original_s99; D=32; seed=99; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 sub-groups; seed=99 (seed sensitivity check)
probe1_taskA,shift1_s42,32,42,0.9829,,0.9888,1.0,0.0213,0.0801,147.9,"probe=1; variant=shift1_s42; D=32; seed=42; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 sub-groups, class-label rotation +1; seed=42"
probe1_taskA,aperiodic_s42,32,42,0.9937,,0.9922,0.5188,0.0228,0.0909,149.2,"probe=1; variant=aperiodic_s42; D=32; seed=42; partition=custom_lookup; noise_sigma=0.00; anchor=two_i_rot; ctrl=projective; eps_high=1.0; period-3 symmetry broken; unequal class sizes {4,4,3,1}; seed=42"
probe2_taskB,sigma_0.00,24,42,0.9668,,0.9722,1.0,0.0499,0.0015,110.2,probe=2; variant=sigma_0.00; D=24; seed=42; noise_sigma=0.00; partition=original_period3; anchor=two_i_rot; ctrl=projective; eps_high=1.0
probe2_taskB,sigma_0.05,24,42,0.8389,,0.8354,1.0,0.0464,-0.1264,109.6,probe=2; variant=sigma_0.05; D=24; seed=42; noise_sigma=0.05; partition=original_period3; anchor=two_i_rot; ctrl=projective; eps_high=1.0
probe2_taskB,sigma_0.10,24,42,0.979,,0.9688,1.0,0.0371,0.0137,111.2,probe=2; variant=sigma_0.10; D=24; seed=42; noise_sigma=0.10; partition=original_period3; anchor=two_i_rot; ctrl=projective; eps_high=1.0
probe2_taskB,sigma_0.20,24,42,0.8198,,0.8125,1.0,0.046,-0.1455,110.0,probe=2; variant=sigma_0.20; D=24; seed=42; noise_sigma=0.20; partition=original_period3; anchor=two_i_rot; ctrl=projective; eps_high=1.0
probe2_taskB,sigma_0.00,32,42,0.9702,,0.9766,1.0,0.0223,0.0674,150.6,probe=2; variant=sigma_0.00; D=32; seed=42; noise_sigma=0.00; partition=original_period3; anchor=two_i_rot; ctrl=projective; eps_high=1.0
probe2_taskB,sigma_0.05,32,42,0.9805,,0.9824,1.0,0.0278,0.0777,154.6,probe=2; variant=sigma_0.05; D=32; seed=42; noise_sigma=0.05; partition=original_period3; anchor=two_i_rot; ctrl=projective; eps_high=1.0
probe2_taskB,sigma_0.10,32,42,0.9258,,0.9297,1.0,0.037,0.023,153.8,probe=2; variant=sigma_0.10; D=32; seed=42; noise_sigma=0.10; partition=original_period3; anchor=two_i_rot; ctrl=projective; eps_high=1.0
probe2_taskB,sigma_0.20,32,42,0.9873,,0.9956,1.0,0.0217,0.0845,153.4,probe=2; variant=sigma_0.20; D=32; seed=42; noise_sigma=0.20; partition=original_period3; anchor=two_i_rot; ctrl=projective; eps_high=1.0
probe3_taskC,seed_123,24,123,1.0,500,1.0,1.0,0.0007,,71.5,probe=3; variant=seed_123; D=24; seed=123; noise_sigma=0.00; partition=uniform_8state; anchor=two_i_rot; ctrl=projective; eps_high=1.0; product_cycle_state_space
probe3_taskC,seed_123,32,123,1.0,1000,1.0,1.0,0.0005,0.0,95.9,probe=3; variant=seed_123; D=32; seed=123; noise_sigma=0.00; partition=uniform_8state; anchor=two_i_rot; ctrl=projective; eps_high=1.0; product_cycle_state_space
