controller,ctrl_mode,partition_variant,horizon,seed,accuracy,delta_d32_minus_d24,solve_step,no_last_accuracy,decodability_final,alpha_last,runtime_seconds,note
ctrl_1_projective,projective,original_s42,24,42,0.9956,-0.0166,,0.9961,1.0,0.0242,111.5,"ctrl=projective; variant=original_s42; D=24; seed=42; partition=[0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3]; anchor=two_i_rot; eps_high=1.0; n_boundaries=4; boundary_angles=j*pi/2; interleaved 4-class partition [0,1,2,3,...]; seed=42 (canonical failure case)"
ctrl_2_multi_avg,multi_avg,original_s42,24,42,0.9834,-0.0103,,0.9844,1.0,0.0312,233.4,"ctrl=multi_avg; variant=original_s42; D=24; seed=42; partition=[0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3]; anchor=two_i_rot; eps_high=1.0; n_boundaries=4; boundary_angles=j*pi/2; interleaved 4-class partition [0,1,2,3,...]; seed=42 (canonical failure case)"
ctrl_3_multi_invdist,multi_invdist,original_s42,24,42,0.999,-0.019,2000,0.9995,1.0,0.0335,292.5,"ctrl=multi_invdist; variant=original_s42; D=24; seed=42; partition=[0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3]; anchor=two_i_rot; eps_high=1.0; n_boundaries=4; boundary_angles=j*pi/2; interleaved 4-class partition [0,1,2,3,...]; seed=42 (canonical failure case)"
ctrl_1_projective,projective,shift1_s42,24,42,0.9966,-0.0171,,0.9956,1.0,0.0202,109.6,"ctrl=projective; variant=shift1_s42; D=24; seed=42; partition=[1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3, 0]; anchor=two_i_rot; eps_high=1.0; n_boundaries=4; boundary_angles=j*pi/2; interleaved 4-class partition shifted +1 [1,2,3,0,...]; seed=42"
ctrl_2_multi_avg,multi_avg,shift1_s42,24,42,0.9492,0.0376,,0.9375,1.0,0.028,225.6,"ctrl=multi_avg; variant=shift1_s42; D=24; seed=42; partition=[1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3, 0]; anchor=two_i_rot; eps_high=1.0; n_boundaries=4; boundary_angles=j*pi/2; interleaved 4-class partition shifted +1 [1,2,3,0,...]; seed=42"
ctrl_3_multi_invdist,multi_invdist,shift1_s42,24,42,0.9907,-0.0024,,0.9883,1.0,0.0334,295.3,"ctrl=multi_invdist; variant=shift1_s42; D=24; seed=42; partition=[1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3, 0]; anchor=two_i_rot; eps_high=1.0; n_boundaries=4; boundary_angles=j*pi/2; interleaved 4-class partition shifted +1 [1,2,3,0,...]; seed=42"
ctrl_1_projective,projective,original_s42,32,42,0.979,-0.0166,,0.9893,1.0,0.0304,154.9,"ctrl=projective; variant=original_s42; D=32; seed=42; partition=[0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3]; anchor=two_i_rot; eps_high=1.0; n_boundaries=4; boundary_angles=j*pi/2; interleaved 4-class partition [0,1,2,3,...]; seed=42 (canonical failure case)"
ctrl_2_multi_avg,multi_avg,original_s42,32,42,0.9731,-0.0103,,0.9819,1.0,0.0373,307.7,"ctrl=multi_avg; variant=original_s42; D=32; seed=42; partition=[0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3]; anchor=two_i_rot; eps_high=1.0; n_boundaries=4; boundary_angles=j*pi/2; interleaved 4-class partition [0,1,2,3,...]; seed=42 (canonical failure case)"
ctrl_3_multi_invdist,multi_invdist,original_s42,32,42,0.98,-0.019,,0.9917,1.0,0.026,411.7,"ctrl=multi_invdist; variant=original_s42; D=32; seed=42; partition=[0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3]; anchor=two_i_rot; eps_high=1.0; n_boundaries=4; boundary_angles=j*pi/2; interleaved 4-class partition [0,1,2,3,...]; seed=42 (canonical failure case)"
ctrl_1_projective,projective,shift1_s42,32,42,0.9795,-0.0171,,0.9888,1.0,0.0254,155.2,"ctrl=projective; variant=shift1_s42; D=32; seed=42; partition=[1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3, 0]; anchor=two_i_rot; eps_high=1.0; n_boundaries=4; boundary_angles=j*pi/2; interleaved 4-class partition shifted +1 [1,2,3,0,...]; seed=42"
ctrl_2_multi_avg,multi_avg,shift1_s42,32,42,0.9868,0.0376,,0.9922,1.0,0.0164,311.2,"ctrl=multi_avg; variant=shift1_s42; D=32; seed=42; partition=[1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3, 0]; anchor=two_i_rot; eps_high=1.0; n_boundaries=4; boundary_angles=j*pi/2; interleaved 4-class partition shifted +1 [1,2,3,0,...]; seed=42"
ctrl_3_multi_invdist,multi_invdist,shift1_s42,32,42,0.9883,-0.0024,,0.9902,1.0,0.0248,399.5,"ctrl=multi_invdist; variant=shift1_s42; D=32; seed=42; partition=[1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3, 0]; anchor=two_i_rot; eps_high=1.0; n_boundaries=4; boundary_angles=j*pi/2; interleaved 4-class partition shifted +1 [1,2,3,0,...]; seed=42"
