tuplet_name,offsets,tuplet_size,parent_W,child_W,new_prime,max_H_checked,first_internal_split_H,first_visible_split_H,lag_visible_minus_internal,internal_found_exact_within_range,visible_found_exact_within_range,visible_status
double_twins_p13,"[0,2,26,28]",4,210,2310,11,60,1,1,0,1,1,exact
double_twins_p17,"[0,2,34,36]",4,210,2310,11,60,1,1,0,1,1,exact
double_twins_p19,"[0,2,38,40]",4,210,2310,11,60,1,1,0,1,1,exact
double_twins_p13,"[0,2,26,28]",4,2310,30030,13,60,1,6,5,1,1,exact
double_twins_p17,"[0,2,34,36]",4,2310,30030,13,60,1,21,20,1,1,exact
double_twins_p19,"[0,2,38,40]",4,2310,30030,13,60,1,3,2,1,1,exact
double_twins_p13,"[0,2,26,28]",4,30030,510510,17,60,1,16,15,1,1,exact
double_twins_p17,"[0,2,34,36]",4,30030,510510,17,60,1,41,40,1,1,exact
double_twins_p19,"[0,2,38,40]",4,30030,510510,17,60,1,13,12,1,1,exact
double_twins_p13,"[0,2,26,28]",4,510510,9699690,19,60,1,51,50,1,1,exact
double_twins_p17,"[0,2,34,36]",4,510510,9699690,19,60,1,,,1,0,not_found_le_60
double_twins_p19,"[0,2,38,40]",4,510510,9699690,19,60,1,34,33,1,1,exact
