tuplet_name,offsets,parent_W,child_W,new_prime,visible_H_first,pre_threshold_H,num_parent_classes_pre_threshold,num_first_splitting_classes,fraction_first_splitting_classes,parent_mass_in_first_splitting_classes,fraction_parent_mass_in_first_splitting_classes,max_first_splitting_class_size,mean_first_splitting_class_size,max_child_classes_from_first_split,mean_child_classes_from_first_split,total_extra_child_classes_from_first_split,num_unsplit_parent_classes_pre_threshold,fraction_unsplit_parent_classes_pre_threshold,parent_admissible_density,local_allowed_count,gap_max,gap_entropy,predictive_state_delta_at_threshold
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1655,1624,0.9812688821752266,83607,0.9826291355703121,266,51.482142857142854,19,5.160714285714286,6757,31,0.018731117824773415,0.047058823529411764,15.0,11.0,1.1184066545611024,6757
quadruplet,"[0,2,6,8]",30030,510510,17,51,50,665,633,0.9518796992481203,4889,0.9768231768231769,18,7.723538704581359,10,3.9684044233807265,1879,32,0.0481203007518797,0.03776223776223776,13.0,10.0,1.0053874327555714,1879
double_twins_p17,"[0,2,34,36]",30030,510510,17,41,40,400,368,0.92,4278,0.8547452547452548,28,11.625,8,3.152173913043478,792,32,0.08,0.03776223776223776,15.0,11.0,0.649248354870898,792
double_twins_p19,"[0,2,38,40]",510510,9699690,19,34,33,1568,1539,0.9815051020408163,81158,0.9538461538461539,289,52.73424301494477,12,3.982456140350877,4590,29,0.018494897959183673,0.057754010695187166,17.0,13.0,0.6236548495681085,4590
triplet,"[0,2,6]",510510,9699690,19,26,25,2027,2000,0.986679822397632,83475,0.9810777457836282,203,41.7375,20,5.497,8994,27,0.013320177602368031,0.10530645824763472,16.0,12.0,0.8092054732283177,8994
quadruplet,"[0,2,6,8]",2310,30030,13,21,20,120,88,0.7333333333333333,317,0.8233766233766234,7,3.602272727272727,8,2.6363636363636362,144,32,0.26666666666666666,0.05454545454545454,9.0,8.0,1.0317671113505356,144
double_twins_p17,"[0,2,34,36]",2310,30030,13,21,20,120,87,0.725,316,0.8207792207792208,7,3.632183908045977,6,2.4367816091954024,125,33,0.275,0.05454545454545454,9.0,6.0,1.2309316230479221,125
triplet,"[0,2,6]",30030,510510,17,16,15,412,385,0.9344660194174758,4762,0.9514485514485514,48,12.36883116883117,16,4.353246753246753,1291,27,0.06553398058252427,0.12787212787212787,14.0,11.0,0.8082699580001821,1291
double_twins_p13,"[0,2,26,28]",30030,510510,17,16,15,135,104,0.7703703703703704,3677,0.7346653346653347,143,35.35576923076923,8,2.6634615384615383,173,31,0.22962962962962963,0.06153846153846154,13.0,6.0,1.2422550455140853,173
double_twins_p19,"[0,2,38,40]",30030,510510,17,13,12,229,199,0.868995633187773,3340,0.6673326673326674,143,16.78391959798995,9,3.7386934673366836,545,30,0.13100436681222707,0.07552447552447553,13.0,6.0,1.2540994652497846,545
twins,"[0,2]",510510,9699690,19,6,5,172,152,0.8837209302325582,79235,0.9312452253628725,1485,521.2828947368421,8,3.513157894736842,382,20,0.11627906976744186,0.26179702650290887,17.0,13.0,0.6236548495681085,382
triplet,"[0,2,6]",2310,30030,13,6,5,85,58,0.6823529411764706,290,0.7532467532467533,11,5.0,7,2.6724137931034484,97,27,0.3176470588235294,0.16623376623376623,10.0,8.0,0.8587409130062869,97
double_twins_p13,"[0,2,26,28]",2310,30030,13,6,5,55,24,0.43636363636363634,163,0.42337662337662335,11,6.791666666666667,4,2.25,30,31,0.5636363636363636,0.07272727272727272,11.0,9.0,0.6172417697303416,30
twins,"[0,2]",30030,510510,17,4,3,94,74,0.7872340425531915,4287,0.8565434565434565,143,57.932432432432435,6,2.810810810810811,134,20,0.2127659574468085,0.2967032967032967,15.0,11.0,0.649248354870898,134
double_twins_p19,"[0,2,38,40]",2310,30030,13,3,2,47,18,0.3829787234042553,136,0.35324675324675325,11,7.555555555555555,4,2.2222222222222223,22,29,0.6170212765957447,0.10909090909090909,9.0,7.0,1.1972375015579317,22
twins,"[0,2]",2310,30030,13,2,1,50,30,0.6,273,0.7090909090909091,11,9.1,4,2.2,36,20,0.4,0.35064935064935066,11.0,9.0,0.6172417697303416,36
