predictor,pearson_visible_threshold,spearman_visible_threshold
parent_admissible_density,-0.6463449523571525,-0.8593693199561495
num_first_splitting_classes,0.6410943500674416,0.820410093133918
total_extra_child_classes_from_first_split,0.5704285864935225,0.7982368473735418
fraction_first_splitting_classes,0.6767262752618871,0.7464992739326641
fraction_unsplit_parent_classes_pre_threshold,-0.6767262752618872,-0.7464992739326641
max_child_classes_from_first_split,0.5875740302453624,0.745155322505443
fraction_parent_mass_in_first_splitting_classes,0.6035243225525381,0.7036309987959369
mean_child_classes_from_first_split,0.6106490980373773,0.6504152089710341
new_prime,0.49999622075335504,0.5020044023810009
local_allowed_count,0.3590952548839389,0.3375699601491264
gap_max,0.3172839283649163,0.2762053421939135
max_first_splitting_class_size,-0.11460277154182266,0.2466411799666963
gap_entropy,0.15422243184790124,0.234075101566487
mean_first_splitting_class_size,-0.18283463572312078,0.07391081920125388
