tuplet_name,offsets,parent_W,child_W,new_prime,forbidden_residues,num_parent_return_gaps,largest_parent_gap,largest_parent_gap_residue_mod_p,largest_gap_forbidden_distance,most_common_parent_gap,most_common_parent_gap_count,most_common_gap_residue_mod_p,most_common_gap_forbidden_distance,weighted_gap_forbidden_hit_rate,weighted_gap_mean_forbidden_distance,parent_admissible_density,gap_max,gap_entropy,local_allowed_count,first_visible_split_H,first_visible_split_lower_bound,visible_found_exact_within_range,visible_status
double_twins_p13,"[0,2,26,28]",210,2310,11,0 1 4 8,2,20,9,1,5,3,5,1,0.0,1.0,0.11428571428571428,4.0,1.2945451658448959,7.0,1,1,1,exact
double_twins_p17,"[0,2,34,36]",210,2310,11,1 6 8 10,2,15,4,2,15,2,4,2,0.0,1.6666666666666667,0.08571428571428572,5.0,1.2882523050229002,7.0,1,1,1,exact
double_twins_p19,"[0,2,38,40]",210,2310,11,1 2 8 9,4,18,7,1,5,2,5,3,0.3333333333333333,1.3333333333333333,0.17142857142857143,6.0,1.1209503926735835,7.0,1,1,1,exact
quadruplet,"[0,2,6,8]",210,2310,11,0 1 7 8,2,15,4,3,15,2,4,3,0.0,2.6666666666666665,0.08571428571428572,6.0,1.1209503926735835,7.0,1,1,1,exact
triplet,"[0,2,6]",210,2310,11,0 1 8,4,10,10,1,5,3,5,3,0.25,2.0,0.22857142857142856,7.0,0.8599672810355049,8.0,1,1,1,exact
twins,"[0,2]",210,2310,11,1 8,4,5,5,3,2,8,2,1,0.2,1.2,0.42857142857142855,7.0,0.6554817739013927,9.0,1,1,1,exact
double_twins_p13,"[0,2,26,28]",2310,30030,13,1 10,4,25,12,2,5,9,5,4,0.2857142857142857,2.1785714285714284,0.07272727272727272,9.0,0.6172417697303416,11.0,6,6,1,exact
double_twins_p17,"[0,2,34,36]",2310,30030,13,0 1 4 10,5,65,0,0,15,10,2,1,0.047619047619047616,1.3333333333333333,0.05454545454545454,6.0,1.2309316230479221,9.0,21,21,1,exact
double_twins_p19,"[0,2,38,40]",2310,30030,13,1 8 10 12,7,30,4,3,5,14,5,3,0.09523809523809523,2.0,0.10909090909090909,7.0,1.1972375015579317,9.0,3,3,1,exact
quadruplet,"[0,2,6,8]",2310,30030,13,0 1 9 10,4,35,9,0,15,10,2,1,0.23809523809523808,1.4285714285714286,0.05454545454545454,8.0,1.0317671113505356,9.0,21,21,1,exact
triplet,"[0,2,6]",2310,30030,13,1 9 10,9,21,8,1,5,16,5,4,0.453125,1.796875,0.16623376623376623,8.0,0.8587409130062869,10.0,6,6,1,exact
twins,"[0,2]",2310,30030,13,1 10,7,7,7,3,2,56,2,1,0.15555555555555556,1.7333333333333334,0.35064935064935066,9.0,0.6172417697303416,11.0,2,2,1,exact
double_twins_p13,"[0,2,26,28]",30030,510510,17,2 3 9 13,7,35,1,1,5,81,5,2,0.17857142857142858,1.1233766233766234,0.06153846153846154,6.0,1.2422550455140853,13.0,16,16,1,exact
double_twins_p17,"[0,2,34,36]",30030,510510,17,2 13,10,170,0,2,20,56,3,1,0.07407407407407407,1.4550264550264551,0.03776223776223776,11.0,0.649248354870898,15.0,41,41,1,exact
double_twins_p19,"[0,2,38,40]",30030,510510,17,1 2 7 13,16,53,2,0,5,72,5,2,0.4074074074074074,1.0264550264550265,0.07552447552447553,6.0,1.2540994652497846,13.0,13,13,1,exact
quadruplet,"[0,2,6,8]",30030,510510,17,1 2 12 13,10,70,2,0,15,50,15,2,0.3333333333333333,1.4603174603174602,0.03776223776223776,10.0,1.0053874327555714,13.0,51,51,1,exact
triplet,"[0,2,6]",30030,510510,17,1 2 13,19,39,5,3,5,136,5,3,0.1625,2.1671875,0.12787212787212787,11.0,0.8082699580001821,14.0,16,16,1,exact
twins,"[0,2]",30030,510510,17,2 13,10,11,11,2,2,504,2,0,0.3393939393939394,1.5144781144781145,0.2967032967032967,11.0,0.649248354870898,15.0,4,4,1,exact
double_twins_p13,"[0,2,26,28]",510510,9699690,19,2 4 15 17,18,95,0,2,10,792,10,5,0.10339660339660339,2.426073926073926,0.047058823529411764,11.0,1.1184066545611024,15.0,51,51,1,exact
double_twins_p17,"[0,2,34,36]",510510,9699690,19,2 3 9 15,18,225,16,1,20,760,1,1,0.24832451499118166,1.019047619047619,0.03331962155491567,6.0,1.2469826398977568,15.0,,61,0,not_found_le_60
double_twins_p19,"[0,2,38,40]",510510,9699690,19,2 15,31,80,4,2,5,824,5,3,0.10846560846560846,3.0606430606430606,0.057754010695187166,13.0,0.6236548495681085,17.0,34,34,1,exact
quadruplet,"[0,2,6,8]",510510,9699690,19,1 2 14 15,18,135,2,0,35,529,16,1,0.3508343508343508,1.4118844118844118,0.028877005347593583,12.0,0.9514879602387298,15.0,,61,0,not_found_le_60
triplet,"[0,2,6]",510510,9699690,19,2 14 15,29,65,8,6,5,1680,5,3,0.16651785714285713,2.31875,0.10530645824763472,12.0,0.8092054732283177,16.0,26,26,1,exact
twins,"[0,2]",510510,9699690,19,2 15,17,18,18,3,2,6552,2,0,0.2952188552188552,1.8319640852974186,0.26179702650290887,13.0,0.6236548495681085,17.0,6,6,1,exact
