tuplet_name,offsets,parent_W,child_W,visible_H_first,layer_depth,layer_primes,parent_class_b,parent_class_spin_code,parent_class_frequency,child_future_classes_produced,dominant_phi_tuple,dominant_phi_tuple_share,phi_tuple_support_size,boundary_any_fraction
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,0,8,2,2,(5),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,0,262144,2,2,(7),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,0,262152,5,3,(8),0.2,5,0.2
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,1,16,2,2,(5),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,1,524288,2,2,(7),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,1,524304,5,3,(8),0.2,5,0.2
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,2,32,7,2,(8),0.14285714285714285,7,0.2857142857142857
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,3,64,7,2,(8),0.14285714285714285,7,0.2857142857142857
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,4,128,7,2,(8),0.14285714285714285,7,0.2857142857142857
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,5,256,7,2,(8),0.14285714285714285,7,0.2857142857142857
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,6,512,7,2,(8),0.14285714285714285,7,0.2857142857142857
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,7,1024,7,2,(8),0.14285714285714285,7,0.2857142857142857
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,8,2048,7,2,(8),0.14285714285714285,7,0.2857142857142857
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,9,4096,7,2,(8),0.14285714285714285,7,0.2857142857142857
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,10,8192,7,2,(8),0.14285714285714285,7,0.2857142857142857
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,11,0,4,2,(9),0.25,4,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,11,16384,7,4,(8),0.14285714285714285,7,0.2857142857142857
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,12,1,2,2,(9),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,12,32768,2,2,(5),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,12,32769,5,3,(8),0.2,5,0.2
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,13,2,2,2,(9),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,13,65536,2,2,(5),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,13,65538,5,3,(8),0.2,5,0.2
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,14,4,2,2,(9),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,14,131072,2,2,(5),0.5,2,0.5
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,14,131076,5,3,(8),0.2,5,0.2
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,15,8,2,2,(9),0.5,2,0.5
