tuplet_name,offsets,parent_W,child_W,visible_H_first,layer_depth,layer_primes,num_first_splitting_classes,split_position_mass_fraction,split_phi_tuple_support_fraction,split_base_support_fraction,top_split_phi_tuple,top_split_phi_tuple_share,top_split_base_phase,top_split_base_share,split_boundary_any_fraction,all_boundary_any_fraction,boundary_enrichment_ratio
quadruplet,"[0,2,6,8]",2310,30030,21,1,11,88,0.8233766233766234,1.0,1.0,(6),0.11041009463722397,31,0.03470031545741325,0.3217665615141956,0.36363636363636365,0.8848580441640378
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,87,0.8207792207792208,1.0,1.0,(9),0.11075949367088607,32,0.03481012658227848,0.40822784810126583,0.36363636363636365,1.1226265822784811
quad_alt_0618,"[0,2,6,18]",2310,30030,6,1,11,18,0.3220779220779221,1.0,0.45714285714285713,(6),0.12903225806451613,31,0.08870967741935484,0.3709677419354839,0.36363636363636365,1.0201612903225805
quad_alt_0826,"[0,2,8,26]",2310,30030,16,1,11,62,0.7012987012987013,1.0,0.8857142857142857,(4),0.11481481481481481,31,0.040740740740740744,0.34444444444444444,0.36363636363636365,0.9472222222222222
quad_alt_1836,"[0,2,18,36]",2310,30030,16,1,11,63,0.7038961038961039,1.0,0.8857142857142857,(9),0.11439114391143912,31,0.04059040590405904,0.4059040590405904,0.36363636363636365,1.1162361623616235
quad_alt_3854,"[0,2,38,54]",2310,30030,26,1,11,148,0.8311688311688312,1.0,1.0,(4),0.109375,9,0.034375,0.328125,0.36363636363636365,0.90234375
quad_alt_0406,"[0,2,4,6]",30030,510510,36,2,11 13,223,0.8801198801198801,1.0,1.0,"(9,9)",0.007945516458569807,27,0.03246311010215664,0.5407491486946652,0.5594405594405595,0.9665891032917139
double_twins_p17,"[0,2,34,36]",30030,510510,41,2,11 13,368,0.8547452547452548,1.0,1.0,"(9,9)",0.008181393174380552,32,0.03342683496961197,0.5705937353903693,0.5594405594405595,1.019936302010285
quad_alt_0618,"[0,2,6,18]",30030,510510,46,2,11 13,538,0.9344655344655345,1.0,1.0,"(9,9)",0.0074834295488561044,31,0.0305751550138978,0.5516356638871072,0.5594405594405595,0.986048749198204
quadruplet,"[0,2,6,8]",30030,510510,51,2,11 13,633,0.9768231768231769,1.0,1.0,"(9,9)",0.007158928206177132,21,0.029249335242380856,0.5498056862344037,0.5594405594405595,0.9827776641439966
