tuplet_name,offsets,parent_W,child_W,visible_H_first,split_position_count,target_predictive_state_count,b_only_exact_purity_fraction,b_only_unresolved_position_fraction,b_only_weighted_target_multiplicity,b_only_label_count
quadruplet,"[0,2,6,8]",2310,30030,21,317,88,0.19873817034700314,0.8012618296529969,2.637223974763407,35.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,316,87,0.1993670886075949,0.8006329113924051,2.6012658227848102,35.0
quad_alt_0618,"[0,2,6,18]",2310,30030,6,124,18,0.8225806451612903,0.1774193548387097,1.1774193548387097,16.0
quad_alt_0826,"[0,2,8,26]",2310,30030,16,270,62,0.4037037037037037,0.5962962962962963,2.151851851851852,31.0
quad_alt_1836,"[0,2,18,36]",2310,30030,16,271,63,0.4022140221402214,0.5977859778597786,2.195571955719557,31.0
quad_alt_3854,"[0,2,38,54]",2310,30030,26,320,148,0.17500000000000004,0.825,4.490625,35.0
quad_alt_0406,"[0,2,4,6]",30030,510510,36,4405,223,0.0,1.0,6.372985244040863,35.0
double_twins_p17,"[0,2,34,36]",30030,510510,41,4278,368,0.0,1.0,10.660822814399252,35.0
quad_alt_0618,"[0,2,6,18]",30030,510510,46,4677,538,0.0,1.0,15.719478298054309,35.0
quadruplet,"[0,2,6,8]",30030,510510,51,4889,633,0.0,1.0,18.066475761914504,35.0
