tuplet_name,offsets,visible_H_first,pre_threshold_H,parent_class_b,parent_class_spin,parent_class_frequency,child_future_classes_produced,extra_child_classes_produced
quadruplet,"[0,2,6,8]",21,20,0,00000000000000001000,2,2,1
quadruplet,"[0,2,6,8]",21,20,0,01000000000000000000,2,2,1
quadruplet,"[0,2,6,8]",21,20,0,01000000000000001000,5,3,2
quadruplet,"[0,2,6,8]",21,20,1,00000000000000010000,2,2,1
quadruplet,"[0,2,6,8]",21,20,1,10000000000000000000,2,2,1
quadruplet,"[0,2,6,8]",21,20,1,10000000000000010000,5,3,2
quadruplet,"[0,2,6,8]",21,20,2,00000000000000100000,7,2,1
quadruplet,"[0,2,6,8]",21,20,3,00000000000001000000,7,2,1
quadruplet,"[0,2,6,8]",21,20,4,00000000000010000000,7,2,1
quadruplet,"[0,2,6,8]",21,20,5,00000000000100000000,7,2,1
quadruplet,"[0,2,6,8]",21,20,6,00000000001000000000,7,2,1
quadruplet,"[0,2,6,8]",21,20,7,00000000010000000000,7,2,1
quadruplet,"[0,2,6,8]",21,20,8,00000000100000000000,7,2,1
quadruplet,"[0,2,6,8]",21,20,9,00000001000000000000,7,2,1
quadruplet,"[0,2,6,8]",21,20,10,00000010000000000000,7,2,1
quadruplet,"[0,2,6,8]",21,20,11,00000000000000000000,4,2,1
quadruplet,"[0,2,6,8]",21,20,11,00000100000000000000,7,4,3
quadruplet,"[0,2,6,8]",21,20,12,00000000000000000001,2,2,1
quadruplet,"[0,2,6,8]",21,20,12,00001000000000000000,2,2,1
quadruplet,"[0,2,6,8]",21,20,12,00001000000000000001,5,3,2
quadruplet,"[0,2,6,8]",21,20,13,00000000000000000010,2,2,1
quadruplet,"[0,2,6,8]",21,20,13,00010000000000000000,2,2,1
quadruplet,"[0,2,6,8]",21,20,13,00010000000000000010,5,3,2
quadruplet,"[0,2,6,8]",21,20,14,00000000000000000100,2,2,1
quadruplet,"[0,2,6,8]",21,20,14,00100000000000000000,2,2,1
quadruplet,"[0,2,6,8]",21,20,14,00100000000000000100,5,3,2
quadruplet,"[0,2,6,8]",21,20,15,00000000000000001000,2,2,1
quadruplet,"[0,2,6,8]",21,20,15,01000000000000000000,2,2,1
quadruplet,"[0,2,6,8]",21,20,15,01000000000000001000,5,3,2
quadruplet,"[0,2,6,8]",21,20,16,00000000000000000000,2,2,1
quadruplet,"[0,2,6,8]",21,20,16,00000000000000010000,2,4,3
quadruplet,"[0,2,6,8]",21,20,16,10000000000000000000,2,4,3
quadruplet,"[0,2,6,8]",21,20,16,10000000000000010000,5,6,5
quadruplet,"[0,2,6,8]",21,20,17,00000000000000000001,3,2,1
quadruplet,"[0,2,6,8]",21,20,17,00000000000000100000,3,2,1
quadruplet,"[0,2,6,8]",21,20,17,00000000000000100001,4,4,3
quadruplet,"[0,2,6,8]",21,20,18,00000000000000000010,3,2,1
quadruplet,"[0,2,6,8]",21,20,18,00000000000001000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,18,00000000000001000010,4,4,3
quadruplet,"[0,2,6,8]",21,20,19,00000000000000000100,3,2,1
quadruplet,"[0,2,6,8]",21,20,19,00000000000010000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,19,00000000000010000100,4,4,3
quadruplet,"[0,2,6,8]",21,20,20,00000000000000001000,3,2,1
quadruplet,"[0,2,6,8]",21,20,20,00000000000100000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,20,00000000000100001000,4,4,3
quadruplet,"[0,2,6,8]",21,20,21,00000000000000010000,3,2,1
quadruplet,"[0,2,6,8]",21,20,21,00000000001000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,21,00000000001000010000,4,4,3
quadruplet,"[0,2,6,8]",21,20,22,00000000000000100000,3,2,1
quadruplet,"[0,2,6,8]",21,20,22,00000000010000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,22,00000000010000100000,4,4,3
quadruplet,"[0,2,6,8]",21,20,23,00000000000001000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,23,00000000100000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,23,00000000100001000000,4,4,3
quadruplet,"[0,2,6,8]",21,20,24,00000000000010000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,24,00000001000000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,24,00000001000010000000,4,4,3
quadruplet,"[0,2,6,8]",21,20,25,00000000000100000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,25,00000010000000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,25,00000010000100000000,4,4,3
quadruplet,"[0,2,6,8]",21,20,26,00000000001000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,26,00000100000000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,26,00000100001000000000,4,4,3
quadruplet,"[0,2,6,8]",21,20,27,00000000010000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,27,00001000000000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,27,00001000010000000000,4,4,3
quadruplet,"[0,2,6,8]",21,20,28,00000000100000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,28,00010000000000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,28,00010000100000000000,4,4,3
quadruplet,"[0,2,6,8]",21,20,29,00000001000000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,29,00100000000000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,29,00100001000000000000,4,4,3
quadruplet,"[0,2,6,8]",21,20,30,00000010000000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,30,01000000000000000000,3,2,1
quadruplet,"[0,2,6,8]",21,20,30,01000010000000000000,4,4,3
quadruplet,"[0,2,6,8]",21,20,31,00000000000000000000,1,2,1
quadruplet,"[0,2,6,8]",21,20,31,00000100000000000000,3,3,2
quadruplet,"[0,2,6,8]",21,20,31,10000000000000000000,3,4,3
quadruplet,"[0,2,6,8]",21,20,31,10000100000000000000,4,8,7
quadruplet,"[0,2,6,8]",21,20,32,00000000000000000001,2,2,1
quadruplet,"[0,2,6,8]",21,20,32,00001000000000000000,2,2,1
quadruplet,"[0,2,6,8]",21,20,32,00001000000000000001,5,3,2
quadruplet,"[0,2,6,8]",21,20,33,00000000000000000010,2,2,1
quadruplet,"[0,2,6,8]",21,20,33,00010000000000000000,2,2,1
quadruplet,"[0,2,6,8]",21,20,33,00010000000000000010,5,3,2
quadruplet,"[0,2,6,8]",21,20,34,00000000000000000100,2,2,1
quadruplet,"[0,2,6,8]",21,20,34,00100000000000000000,2,2,1
quadruplet,"[0,2,6,8]",21,20,34,00100000000000000100,5,3,2
double_twins_p17,"[0,2,34,36]",21,20,0,00000000000000000100,2,2,1
double_twins_p17,"[0,2,34,36]",21,20,0,00100000000000000000,2,2,1
double_twins_p17,"[0,2,34,36]",21,20,0,00100000000000000100,5,3,2
double_twins_p17,"[0,2,34,36]",21,20,1,00000000000000001000,2,2,1
double_twins_p17,"[0,2,34,36]",21,20,1,01000000000000000000,2,2,1
double_twins_p17,"[0,2,34,36]",21,20,1,01000000000000001000,5,3,2
double_twins_p17,"[0,2,34,36]",21,20,2,00000000000000000000,2,2,1
double_twins_p17,"[0,2,34,36]",21,20,2,00000000000000010000,2,2,1
double_twins_p17,"[0,2,34,36]",21,20,2,10000000000000000000,2,4,3
double_twins_p17,"[0,2,34,36]",21,20,2,10000000000000010000,5,6,5
double_twins_p17,"[0,2,34,36]",21,20,3,00000000000000000001,3,2,1
double_twins_p17,"[0,2,34,36]",21,20,3,00000000000000100000,3,2,1
double_twins_p17,"[0,2,34,36]",21,20,3,00000000000000100001,4,3,2
double_twins_p17,"[0,2,34,36]",21,20,4,00000000000000000010,3,2,1
double_twins_p17,"[0,2,34,36]",21,20,4,00000000000001000000,3,2,1
double_twins_p17,"[0,2,34,36]",21,20,4,00000000000001000010,4,3,2
double_twins_p17,"[0,2,34,36]",21,20,5,00000000000000000100,3,2,1
double_twins_p17,"[0,2,34,36]",21,20,5,00000000000010000000,3,2,1
double_twins_p17,"[0,2,34,36]",21,20,5,00000000000010000100,4,3,2
double_twins_p17,"[0,2,34,36]",21,20,6,00000000000000001000,3,2,1
