evaluation,family,horizon,W_train,W_test,train_error,test_error,num_states_train,num_states_test
within_scale,spin_only,8,30030,30030,0.995153206868687,0.9986928601567902,9,4
within_scale,base_spin,8,30030,30030,0.8965489611066366,1.0,48,14
within_scale,spin_only,16,30030,30030,0.9878813539052372,0.999313792907775,24,6
within_scale,base_spin,16,30030,30030,0.8961712369359198,1.0,78,18
within_scale,spin_only,32,30030,30030,0.9745245949292084,0.9993779435858734,89,29
within_scale,base_spin,32,30030,30030,0.8910171629165339,1.0,188,56
within_scale,spin_only,56,30030,30030,0.9131361378415995,0.9992466608556119,469,108
within_scale,base_spin,56,30030,30030,0.8474628723315091,1.0,703,166
within_scale,spin_only,8,510510,510510,0.9986492515286919,0.9997819971205202,9,4
within_scale,base_spin,8,510510,510510,0.9699470435055598,1.0000000000000002,48,14
within_scale,spin_only,16,510510,510510,0.996705668093692,0.9999574824925579,24,6
within_scale,base_spin,16,510510,510510,0.9699463123445935,1.0000000000000002,78,18
within_scale,spin_only,32,510510,510510,0.9933958606710492,1.0000246654673415,89,29
within_scale,base_spin,32,510510,510510,0.9699114141049903,1.0000000000000002,188,56
within_scale,spin_only,56,510510,510510,0.9869084906149492,0.9999848347752948,475,108
within_scale,base_spin,56,510510,510510,0.9692319850981924,1.0000000000000002,741,170
cross_scale,spin_only,8,30030,510510,0.995153206868687,1.0029823065163037,9,12
cross_scale,base_spin,8,30030,510510,0.8965489611066366,1.1167470955366254,48,62
cross_scale,spin_only,16,30030,510510,0.9878813539052372,1.009819794653064,24,29
cross_scale,base_spin,16,30030,510510,0.8961712369359198,1.1168091146975447,78,96
cross_scale,spin_only,32,30030,510510,0.9745245949292084,1.020125938281111,89,117
cross_scale,base_spin,32,30030,510510,0.8910171629165339,1.1198924723493455,188,244
cross_scale,spin_only,56,30030,510510,0.9131361378415995,1.0678303154476663,469,582
cross_scale,base_spin,56,30030,510510,0.8474628723315091,1.151506086582981,703,911
