W,component,rank,kb,kf,loading_abs,loading_real,loading_imag
2310,z1,1,-2,-3,0.4822412966915433,0.47505453508081646,-0.0829449030012725
2310,z1,2,-2,-2,0.36580361861125793,-0.36041841239422867,0.06253683231755791
2310,z1,3,1,3,0.2960482780579643,-0.21437560726245958,0.20417561546849183
2310,z1,4,3,-2,0.24516014972051162,-0.1836628610640981,-0.16239289540104107
2310,z1,5,-3,2,0.18791506369128896,0.18252202420881436,-0.04469655289637184
2310,z1,6,3,3,0.14915996786165533,0.048854373620770955,-0.14093241710341936
2310,z1,7,-2,2,0.1485707116361695,0.00905341728742972,0.14829461214588174
2310,z1,8,1,-3,0.13306432931213388,-0.09004042673213221,0.09797365609786918
2310,z1,9,3,4,0.13230463695070385,0.09291716064350178,-0.09418555205872733
2310,z1,10,3,-4,0.12940270660521663,0.08258730184132695,-0.09962127308625066
2310,z2,1,2,3,0.3168231357835222,-0.31500477109085756,0.03389533238811203
2310,z2,2,2,1,0.25492539224696903,0.15891650096105014,-0.19933013152699106
2310,z2,3,4,-3,0.241597341967189,-0.14229600004181903,0.19524631627180444
2310,z2,4,-2,1,0.20612861369111568,0.18464967027392312,-0.0916160720067864
2310,z2,5,-2,2,0.17992626250907487,-0.08745447910098429,0.15724240530359493
2310,z2,6,-3,-4,0.17588314599386207,-0.0245980633242864,-0.17415457595306702
2310,z2,7,3,-4,0.17247900848215159,0.06109931558517438,0.16129439544512816
2310,z2,8,-1,-4,0.16633825332161295,-0.07860822389761188,0.1465918198732385
2310,z2,9,3,-2,0.16556135854805853,-0.15731781284398455,0.05159136755566609
2310,z2,10,-1,-3,0.16032481716292052,0.010007201003867292,-0.1600121961801415
30030,z1,1,0,-1,0.40890737755878404,0.4083853337960284,0.020655811828838883
30030,z1,2,-1,-2,0.3296701722653395,-0.12744788891540715,-0.30403857994087635
30030,z1,3,2,-2,0.29562624779831204,0.28428364406107587,-0.0811029475830842
30030,z1,4,0,4,0.18717530523448195,0.18642197393496313,-0.016776248800414895
30030,z1,5,-2,0,0.1808179361044238,0.0063854445451442705,0.18070515243076046
30030,z1,6,4,2,0.17485901469831583,0.17008953132299726,-0.04056138996125466
30030,z1,7,2,-3,0.15855763388605912,-0.130660881311584,0.08982347888178081
30030,z1,8,-1,-3,0.1492545676815739,-0.13764144106156323,-0.05772139704052343
30030,z1,9,3,-3,0.14317124402562184,0.12256923480715834,0.0739918089698572
30030,z1,10,-1,-4,0.14234829852097275,0.13393229207264729,-0.04822011231823372
30030,z2,1,-2,3,0.6379257350044377,0.6139524563966294,0.17323863502549558
30030,z2,2,-2,1,0.2085419734540726,-0.17599588339415215,-0.11187137131738006
30030,z2,3,-3,1,0.20684547639376932,0.17356213991190772,0.1125221520135691
30030,z2,4,-3,-1,0.16527868268767967,0.16040618283523905,0.03983590665721773
30030,z2,5,1,1,0.14805141429766214,-0.04578470922497357,-0.14079411094475017
30030,z2,6,1,-4,0.13819378747551506,0.13604009850607168,0.024302561496396598
30030,z2,7,3,-4,0.13627086228590352,-0.001737228883795636,0.13625978843352496
30030,z2,8,-3,-3,0.12873106168215137,-0.06530652833062742,0.11093576339131947
30030,z2,9,-3,3,0.12784576526828106,-0.05869760414399841,-0.11357434113736642
30030,z2,10,3,1,0.12553649892864444,0.12095911114930769,0.03359026634653229
510510,z1,1,3,3,0.5785256688477984,0.5478331365597673,-0.1859322564884316
510510,z1,2,1,3,0.24299751452340373,0.11848078249481228,-0.2121558300965797
510510,z1,3,-3,0,0.23004774532596356,-0.197692571379936,-0.11764188178853771
510510,z1,4,2,4,0.23000581375778753,0.011006282655938863,0.2297423254528421
510510,z1,5,2,-4,0.19459164938859672,0.053386691502371325,-0.1871250148489111
510510,z1,6,-3,-2,0.16932785783128076,-0.11897432293451389,-0.12048665453071736
510510,z1,7,-4,4,0.1555638223672592,0.018033275675774355,-0.15451506010067012
510510,z1,8,-2,1,0.15551355184116458,-0.06919624842130392,-0.1392707579166272
510510,z1,9,0,1,0.14629983241751723,0.14336688964435357,0.0291474856393715
510510,z1,10,0,3,0.13851545362927123,0.04027304755689467,0.13253155297740568
510510,z2,1,-3,-2,0.47584917380962055,-0.3014795005167082,-0.3681610340374095
510510,z2,2,-2,3,0.354715011341685,0.09047932045768488,-0.34298138701779035
510510,z2,3,1,3,0.28920588932154656,-0.04053537508525494,0.28635106038735797
510510,z2,4,-3,2,0.24237326027943143,0.19157456747806473,-0.14847216033342223
510510,z2,5,3,-4,0.17846231401821155,0.15879285402182558,0.08144708120207828
510510,z2,6,2,-4,0.1647773543613107,-0.0273733221882387,-0.1624877772101392
510510,z2,7,-2,1,0.15653229432345867,-0.12143325921520814,0.09877409945192085
510510,z2,8,-1,1,0.1530226067294794,0.1268234883031661,-0.08562546925361408
510510,z2,9,4,2,0.14721320530752594,-0.04567617160274105,-0.13994790160853693
510510,z2,10,-4,1,0.13643165724950945,-0.13630576019371948,-0.005859764317774574
