component,rank,kb,kf,loading_abs,loading_real,loading_imag
z1,1,0,-1,0.40890737755878404,0.4083853337960284,0.020655811828838883
z1,2,-1,-2,0.3296701722653395,-0.12744788891540715,-0.30403857994087635
z1,3,2,-2,0.29562624779831204,0.28428364406107587,-0.0811029475830842
z1,4,0,4,0.18717530523448195,0.18642197393496313,-0.016776248800414895
z1,5,-2,0,0.1808179361044238,0.0063854445451442705,0.18070515243076046
z1,6,4,2,0.17485901469831583,0.17008953132299726,-0.04056138996125466
z1,7,2,-3,0.15855763388605912,-0.130660881311584,0.08982347888178081
z1,8,-1,-3,0.1492545676815739,-0.13764144106156323,-0.05772139704052343
z1,9,3,-3,0.14317124402562184,0.12256923480715834,0.0739918089698572
z1,10,-1,-4,0.14234829852097275,0.13393229207264729,-0.04822011231823372
z1,11,0,1,0.13934396106684274,-0.13746994155063735,-0.022776186157083926
z1,12,-3,-1,0.13720668213003379,0.12947530177586133,-0.0454072665019792
z2,1,-2,3,0.6379257350044377,0.6139524563966294,0.17323863502549558
z2,2,-2,1,0.2085419734540726,-0.17599588339415215,-0.11187137131738006
z2,3,-3,1,0.20684547639376932,0.17356213991190772,0.1125221520135691
z2,4,-3,-1,0.16527868268767967,0.16040618283523905,0.03983590665721773
z2,5,1,1,0.14805141429766214,-0.04578470922497357,-0.14079411094475017
z2,6,1,-4,0.13819378747551506,0.13604009850607168,0.024302561496396598
z2,7,3,-4,0.13627086228590352,-0.001737228883795636,0.13625978843352496
z2,8,-3,-3,0.12873106168215137,-0.06530652833062742,0.11093576339131947
z2,9,-3,3,0.12784576526828106,-0.05869760414399841,-0.11357434113736642
z2,10,3,1,0.12553649892864444,0.12095911114930769,0.03359026634653229
z2,11,-3,2,0.12503548077116836,-0.10467563672912043,0.06838773667135378
z2,12,-2,0,0.12501929372353274,0.07014852320953743,0.10348433936906559
