j,b_mod_35,f_mod_143,admissible_bit,z1_real,z1_imag,z2_real,z2_imag,radius_C2,local_transport_error
0,0,0,0,0.3699812605963433,-0.1288212751438706,0.6940749460583998,-0.13117058155195935,0.8077294140569612,0.5954936829637416
1,1,0,0,0.1119997666458068,0.3177863037867932,0.9295548929258024,-0.3551843647062125,1.050599978344395,0.34598121809297055
2,2,0,0,0.03202279134129144,0.5451358612446666,1.009251174696654,-0.45238278886907984,1.2334653167688967,0.265425261046727
3,3,0,0,0.14230397344330756,0.5251177487397424,0.8311757447244995,-0.3837377952643697,1.0649445455195938,0.5634323300323255
4,4,0,0,0.37701450983278234,0.35805394550372754,0.36591817488075656,-0.17474897982782006,0.6593753750134799,0.7812357175267765
5,5,0,0,0.6299173134447631,0.20992398821269262,-0.3092498615928293,0.08945631669861225,0.7379036604442731,0.8307962845956747
6,6,0,0,0.8066091995512065,0.2192005616862371,-1.0217085256792628,0.2989387941443318,1.353484392645279,0.7483611503294012
7,7,0,0,0.8656554485731228,0.42117825307003287,-1.5604016506616667,0.3688786198615301,1.8702072676797243,0.621644290610962
8,8,0,0,0.8297937433362732,0.7280587326787189,-1.7562494013032932,0.28105471397682713,2.0933300949770293,0.5410205895376762
9,9,0,0,0.7641077038539273,0.9744270313436497,-1.5512119418999128,0.09588378394389935,1.9871640121586387,0.5536438860304869
10,10,0,0,0.7346501910357308,1.0045317853949043,-1.024450331342456,-0.07280279562213748,1.6135655361638017,0.6290471325653058
11,11,0,0,0.7701855290195113,0.7565905820954519,-0.3623784919171682,-0.11037509662008055,1.1441660243970944,0.6925053852592361
12,12,0,0,0.8471241843289309,0.3007463005020955,0.2155250136572837,0.042170919665314145,0.9253632470106234,0.6892084381628819
13,13,0,0,0.904930961966864,-0.18942878417594675,0.5431950389682267,0.35449260124498166,1.129384418565166,0.6242850095082647
14,14,0,0,0.8829958185396752,-0.5184965796494895,0.5692145914920507,0.7127834188625489,1.3713445125276202,0.5638660887954133
15,15,0,0,0.7585567702667729,-0.5634596257035963,0.36689074432638036,0.9642708866773388,1.399043346248236,0.5582794089210419
16,16,0,1,0.5646017141939231,-0.33362464042259954,0.09064301844996474,0.9814886357727771,1.1838988957308194,0.5716576117066849
17,17,0,0,0.3771018958143831,0.03439468513845214,-0.0996454388701277,0.7180762550500145,0.8178945871852,0.5728206929112378
18,18,0,0,0.27712429142540185,0.3447879393844614,-0.11096119510468164,0.2313802779453382,0.5113959482476717,0.5905609761129978
19,19,0,0,0.30701983937572097,0.44041905866079323,0.0462126994105156,-0.3380360885454817,0.636108591160258,0.6182713423819586
20,20,0,0,0.4438796200486277,0.2818418533796776,0.27153053172764885,-0.820650790152053,1.0117610866447149,0.5745755119711223
21,21,0,0,0.6055035600288851,-0.03232738508783116,0.42931477982752836,-1.0820224820857962,1.3125408385843609,0.41451839453251066
22,22,0,0,0.6879900772538801,-0.31471578227236974,0.41609351759791124,-1.0691969719017513,1.374297038533514,0.2922928927493384
23,23,0,0,0.6177218247683804,-0.38463362317089433,0.20870707210756392,-0.8211516071396239,1.116858039647137,0.475569037426674
24,24,0,0,0.392268266792969,-0.16278792065270115,-0.128384523554359,-0.4419193683155712,0.6262185035783462,0.6636810026487215
25,25,0,0,0.08896325395380848,0.2819903501963952,-0.4772206335235295,-0.05167952937276636,0.5637759528170077,0.6483942597465148
26,26,0,0,-0.16508106716442794,0.7583333239037569,-0.7225441503499649,0.26035629231192947,1.0918684156208724,0.40138155193662745
27,27,0,0,-0.24911243789157528,1.0393859468385473,-0.8012786897853575,0.4606161212876735,1.4130091659617736,0.1577977108132962
28,28,0,0,-0.1054001497667162,0.9702231051646422,-0.7217374859679728,0.5654947323362648,1.3390785474786757,0.485078537765078
29,29,0,0,0.23039558046857025,0.5440864898639421,-0.5458245727984598,0.6130194433763876,1.0113503518464966,0.7232445389509473
30,30,0,0,0.6402819038137899,-0.08954851064131976,-0.34692414260592824,0.6301256837146161,0.9671579964561947,0.6992183689412881
31,31,0,1,0.9724116108849207,-0.6895001802669101,-0.16823027020921694,0.6143474115746812,1.3515616913389799,0.42207350236977714
32,32,0,0,1.1054483537398092,-1.0296666988265393,-0.004892673587036621,0.5393870352979327,1.6041171670301144,0.12324794388889905
33,33,0,0,0.9997556679863251,-0.9976665529258443,0.18052147962332799,0.3800162672922293,1.4737198901113584,0.43807144365171996
34,34,0,0,0.7124285942961872,-0.6392434593750237,0.4187268255170794,0.14056698089767763,1.054171680918667,0.6351319706444585
35,0,1,0,0.4465436658537785,-0.09280229994555178,0.6851448238373105,-0.12740799729614685,0.8328683808354049,0.6010246569318087
36,1,1,0,0.18068823560958824,0.3214766853036051,0.977119872317802,-0.3410302650105839,1.09866299847271,0.3456151057500308
37,2,1,0,0.09089807941188618,0.5100116055537763,1.096417721702178,-0.44876105552664586,1.293016861475632,0.2501984780304937
38,3,1,0,0.19380047925349403,0.45371513546019543,0.9307690363998796,-0.41404122383043346,1.1318909771070316,0.5522135115113791
39,4,1,0,0.4223953957732052,0.2640975541818665,0.4516887183669218,-0.2551874431808985,0.7192417659955539,0.7710495428936094
40,5,1,0,0.6649794743783743,0.1145057956121742,-0.25337374686230324,-0.04220426383448913,0.7220032784261922,0.8222373953417802
41,6,1,0,0.821447877862903,0.14224166213780884,-0.9983632441033372,0.13246240310413446,1.307396176339007,0.7424560743398639
42,7,1,0,0.8489973599327001,0.3721737313161646,-1.562302534909565,0.1967816735286228,1.8272443846065225,0.6111180901844308
43,8,1,0,0.7757689339087436,0.700896779453145,-1.7737734366617155,0.1352339343979375,2.0634035368500165,0.5137268124321376
44,9,1,0,0.6777525760668405,0.9494058215251391,-1.5794207690403597,-0.0003132743415354263,1.963489249302862,0.5242921520140514
45,10,1,0,0.6327880062499532,0.9572974383811685,-1.065502192399064,-0.11214511853479261,1.5699396472486873,0.6260382593663316
46,11,1,0,0.6765050009159784,0.6702247388976557,-0.4220115105333853,-0.10240157158477207,1.0466327024226119,0.7125122790386851
47,12,1,0,0.7832168961733811,0.17539531443068312,0.13531860584646568,0.07751435194995401,0.817625722823197,0.7055007657120945
48,13,1,0,0.8812730613701913,-0.3341757380397761,0.45086125528787085,0.39715298930336473,1.117730737263484,0.6144179594663439
49,14,1,0,0.8942016920410347,-0.6500878282823006,0.48529927989823607,0.7520198399675153,1.422413470585948,0.5403779781024498
50,15,1,0,0.7854353545659127,-0.6492250268613411,0.31872875702059256,1.0028894134058766,1.4648471004779529,0.5565178371810314
51,16,1,0,0.5824146480209282,-0.3544117365110285,0.10179308791838083,1.0331002384468844,1.2419631381941547,0.5827437888627709
52,17,1,0,0.36644852090357993,0.07591945226903139,-0.02049928319128074,0.7988861032262876,0.8824327216534359,0.5553329820737103
53,18,1,0,0.2325175728708296,0.4250155545629002,0.02384235408651177,0.35054352446672177,0.5984579047085007,0.5323722382864067
54,19,1,0,0.23917289931315636,0.5245986480271112,0.20562642546700577,-0.18488152955449902,0.6394300775678944,0.5626056355266129
55,20,1,0,0.3745874975818424,0.3385418340020193,0.41624505977201104,-0.6516681702500347,0.9235029618878928,0.5522051910922497
56,21,1,0,0.5574424103419119,-0.018423835616929004,0.5261239637081876,-0.9232400778233145,1.2001083888773774,0.41461865685212657
57,22,1,0,0.6741370063877634,-0.33717590782310974,0.44994440255159657,-0.9452027038803043,1.2899637254620553,0.27603946379286126
58,23,1,0,0.6352854241729832,-0.418990504997149,0.18708017300324034,-0.7467045193322116,1.0824542686721157,0.46280754024695486
59,24,1,0,0.4239176475630478,-0.17758848826103,-0.1806884263872487,-0.41811399022855883,0.6470791754749754,0.6773393140739158
60,25,1,0,0.11074754439651308,0.3119660898628889,-0.5304236878167415,-0.0679578033790901,0.6289319609078718,0.6827266547877912
