coarse_residue_mod_30030,k,x17,x19,n,label,factorization,residue_mod_510510,residue_mod_9699690
1,0,0,0,1,other_composite,,1,1
1,1,1,0,30031,semiprime_large,59 * 509,30031,30031
1,2,2,0,60061,semiprime_large,17 * 3533,60061,60061
1,3,3,0,90091,semiprime_large,23 * 3917,90091,90091
1,4,4,0,120121,prime,120121,120121,120121
1,5,5,0,150151,prime,150151,150151,150151
1,6,6,0,180181,prime,180181,180181,180181
1,7,7,0,210211,semiprime_large,31 * 6781,210211,210211
1,8,8,0,240241,other_composite,37 * 43 * 151,240241,240241
1,9,9,0,270271,prime,270271,270271,270271
1,10,10,0,300301,prime,300301,300301,300301
1,11,11,0,330331,prime,330331,330331,330331
1,12,12,0,360361,semiprime_large,89 * 4049,360361,360361
1,13,13,0,390391,prime,390391,390391,390391
1,14,14,0,420421,prime,420421,420421,420421
1,15,15,0,450451,prime,450451,450451,450451
1,16,16,0,480481,semiprime_large,47 * 10223,480481,480481
1,17,0,1,510511,other_composite,19 * 97 * 277,1,510511
1,18,1,1,540541,prime,540541,30031,540541
1,19,2,1,570571,semiprime_large,17 * 33563,60061,570571
1,20,3,1,600601,prime,600601,90091,600601
1,21,4,1,630631,semiprime_large,199 * 3169,120121,630631
1,22,5,1,660661,prime,660661,150151,660661
1,23,6,1,690691,semiprime_large,139 * 4969,180181,690691
1,24,7,1,720721,semiprime_large,71 * 10151,210211,720721
1,25,8,1,750751,semiprime_large,41 * 18311,240241,750751
1,26,9,1,780781,other_composite,23 * 83 * 409,270271,780781
1,27,10,1,810811,other_composite,29 * 73 * 383,300301,810811
1,28,11,1,840841,prime,840841,330331,840841
1,29,12,1,870871,prime,870871,360361,870871
1,30,13,1,900901,semiprime_large,163 * 5527,390391,900901
1,31,14,1,930931,prime,930931,420421,930931
1,32,15,1,960961,prime,960961,450451,960961
1,33,16,1,990991,semiprime_large,443 * 2237,480481,990991
1,34,0,2,1021021,semiprime_large,181 * 5641,1,1021021
1,35,1,2,1051051,prime,1051051,30031,1051051
1,36,2,2,1081081,other_composite,17 * 19 * 3347,60061,1081081
1,37,3,2,1111111,semiprime_large,239 * 4649,90091,1111111
1,38,4,2,1141141,other_composite,31 * 131 * 281,120121,1141141
1,39,5,2,1171171,semiprime_large,167 * 7013,150151,1171171
1,40,6,2,1201201,prime,1201201,180181,1201201
1,41,7,2,1231231,prime,1231231,210211,1231231
1,42,8,2,1261261,prime,1261261,240241,1261261
1,43,9,2,1291291,semiprime_large,67 * 19273,270271,1291291
1,44,10,2,1321321,semiprime_large,61 * 21661,300301,1321321
1,45,11,2,1351351,semiprime_large,37 * 36523,330331,1351351
1,46,12,2,1381381,prime,1381381,360361,1381381
1,47,13,2,1411411,prime,1411411,390391,1411411
1,48,14,2,1441441,semiprime_large,53 * 27197,420421,1441441
1,49,15,2,1471471,semiprime_large,23 * 63977,450451,1471471
1,50,16,2,1501501,prime,1501501,480481,1501501
1,51,0,3,1531531,semiprime_large,43 * 35617,1,1531531
1,52,1,3,1561561,semiprime_large,101 * 15461,30031,1561561
1,53,2,3,1591591,other_composite,17 * 251 * 373,60061,1591591
1,54,3,3,1621621,prime,1621621,90091,1621621
1,55,4,3,1651651,semiprime_large,19 * 86929,120121,1651651
1,56,5,3,1681681,other_composite,29 * 103 * 563,150151,1681681
1,57,6,3,1711711,semiprime_large,463 * 3697,180181,1711711
1,58,7,3,1741741,prime,1741741,210211,1741741
1,59,8,3,1771771,semiprime_large,293 * 6047,240241,1771771
1,60,9,3,1801801,semiprime_large,59 * 30539,270271,1801801
1,61,10,3,1831831,prime,1831831,300301,1831831
1,62,11,3,1861861,prime,1861861,330331,1861861
1,63,12,3,1891891,semiprime_large,47 * 40253,360361,1891891
1,64,13,3,1921921,prime,1921921,390391,1921921
1,65,14,3,1951951,prime,1951951,420421,1951951
1,66,15,3,1981981,semiprime_large,41 * 48341,450451,1981981
1,67,16,3,2012011,prime,2012011,480481,2012011
1,68,0,4,2042041,semiprime_large,1429 * 1429,1,2042041
1,69,1,4,2072071,semiprime_large,31 * 66841,30031,2072071
1,70,2,4,2102101,semiprime_large,17 * 123653,60061,2102101
1,71,3,4,2132131,other_composite,79 * 137 * 197,90091,2132131
1,72,4,4,2162161,semiprime_large,23 * 94007,120121,2162161
1,73,5,4,2192191,semiprime_large,157 * 13963,150151,2192191
1,74,6,4,2222221,semiprime_large,19 * 116959,180181,2222221
1,75,7,4,2252251,prime,2252251,210211,2252251
1,76,8,4,2282281,prime,2282281,240241,2282281
1,77,9,4,2312311,prime,2312311,270271,2312311
1,78,10,4,2342341,semiprime_large,461 * 5081,300301,2342341
1,79,11,4,2372371,prime,2372371,330331,2372371
1,80,12,4,2402401,prime,2402401,360361,2402401
1,81,13,4,2432431,other_composite,107 * 127 * 179,390391,2432431
1,82,14,4,2462461,semiprime_large,37 * 66553,420421,2462461
1,83,15,4,2492491,semiprime_large,1087 * 2293,450451,2492491
1,84,16,4,2522521,semiprime_large,311 * 8111,480481,2522521
1,85,0,5,2552551,semiprime_large,29 * 88019,1,2552551
1,86,1,5,2582581,prime,2582581,30031,2582581
1,87,2,5,2612611,other_composite,17 * 313 * 491,60061,2612611
1,88,3,5,2642641,semiprime_large,1259 * 2099,90091,2642641
1,89,4,5,2672671,prime,2672671,120121,2672671
1,90,5,5,2702701,prime,2702701,150151,2702701
1,91,6,5,2732731,semiprime_large,1433 * 1907,180181,2732731
1,92,7,5,2762761,prime,2762761,210211,2762761
1,93,8,5,2792791,semiprime_large,19 * 146989,240241,2792791
1,94,9,5,2822821,semiprime_large,43 * 65647,270271,2822821
1,95,10,5,2852851,other_composite,23 * 71 * 1747,300301,2852851
1,96,11,5,2882881,semiprime_large,229 * 12589,330331,2882881
1,97,12,5,2912911,semiprime_large,521 * 5591,360361,2912911
1,98,13,5,2942941,semiprime_large,487 * 6043,390391,2942941
1,99,14,5,2972971,prime,2972971,420421,2972971
1,100,15,5,3003001,other_composite,31 * 73 * 1327,450451,3003001
1,101,16,5,3033031,other_composite,53 * 89 * 643,480481,3033031
1,102,0,6,3063061,semiprime_large,1451 * 2111,1,3063061
