wheel_W,orbit_length_L,horizon_H,num_global_spin_classes,"num_(b,spin)_states",compression_vs_raw_phase
510510,85085,1,2,38,2239.0789473684213
510510,85085,2,3,41,2075.243902439024
510510,85085,3,4,44,1933.75
510510,85085,5,6,50,1701.7
510510,85085,8,12,62,1372.3387096774193
510510,85085,13,22,82,1037.621951219512
510510,85085,21,47,130,654.5
510510,85085,34,133,268,317.4813432835821
510510,85085,55,536,850,100.1
510510,85085,89,3424,4488,18.958333333333332
510510,85085,144,23544,25580,3.3262314308053167
510510,85085,233,66540,66540,1.2787045386233844
9699690,1616615,1,2,38,42542.5
9699690,1616615,2,3,41,39429.634146341465
9699690,1616615,3,4,44,36741.25
9699690,1616615,5,6,50,32332.3
9699690,1616615,8,12,62,26074.435483870966
9699690,1616615,13,22,82,19714.817073170732
9699690,1616615,21,47,130,12435.5
9699690,1616615,34,133,268,6032.145522388059
9699690,1616615,55,536,850,1901.9
9699690,1616615,89,3448,4528,357.02628091872793
9699690,1616615,144,38255,43997,36.74375525604018
9699690,1616615,233,465460,484798,3.3346156543550096
