wheel_W,orbit_length_L,horizon_H,num_global_spin_classes,"num_(b,spin)_states",compression_vs_raw_phase
210,35,1,2,35,1.0
210,35,2,3,35,1.0
210,35,3,4,35,1.0
210,35,5,6,35,1.0
210,35,8,12,35,1.0
210,35,13,22,35,1.0
210,35,21,31,35,1.0
210,35,34,35,35,1.0
2310,385,1,2,38,10.131578947368421
2310,385,2,3,41,9.390243902439025
2310,385,3,4,44,8.75
2310,385,5,6,50,7.7
2310,385,8,12,62,6.209677419354839
2310,385,13,22,82,4.695121951219512
2310,385,21,47,126,3.0555555555555554
2310,385,34,129,204,1.8872549019607843
2310,385,55,260,270,1.4259259259259258
2310,385,89,304,304,1.2664473684210527
2310,385,144,359,359,1.0724233983286908
30030,5005,1,2,38,131.71052631578948
30030,5005,2,3,41,122.07317073170732
30030,5005,3,4,44,113.75
30030,5005,5,6,50,100.1
30030,5005,8,12,62,80.7258064516129
30030,5005,13,22,82,61.03658536585366
30030,5005,21,47,130,38.5
30030,5005,34,133,268,18.675373134328357
30030,5005,55,536,830,6.030120481927711
30030,5005,89,2055,2210,2.264705882352941
30030,5005,144,4011,4011,1.2478184991273997
510510,85085,1,2,38,2239.0789473684213
510510,85085,2,3,41,2075.243902439024
510510,85085,3,4,44,1933.75
510510,85085,5,6,50,1701.7
510510,85085,8,12,62,1372.3387096774193
510510,85085,13,22,82,1037.621951219512
510510,85085,21,47,130,654.5
510510,85085,34,133,268,317.4813432835821
510510,85085,55,536,850,100.1
510510,85085,89,3424,4488,18.958333333333332
510510,85085,144,23544,25580,3.3262314308053167
