harmonic,label,count,mean_mag,std_mag,median_mag
1,prime,300,3.247501045394785,1.5119645233418362,3.248536242864155
1,semiprime,300,3.2143486101237113,1.4585079506158887,3.1513120104837755
2,prime,300,2.427365387346225,1.182970426448804,2.320092895108275
2,semiprime,300,2.4784556314760584,1.2778737387698778,2.3699841622101876
3,prime,300,2.4982986967055534,1.052821121600739,2.449012268012238
3,semiprime,300,2.4326844463725146,1.1910313076564512,2.4071482375355155
4,prime,300,2.476102505156254,1.2626267975592482,2.3134603731533048
4,semiprime,300,2.416512153129476,1.2303344044326106,2.2594274392873066
5,prime,300,2.6123929920367592,1.282245162600102,2.5177899214203356
5,semiprime,300,2.475262581929833,1.2149812153238078,2.364441417823715
6,prime,300,2.6193810367941146,1.4588941940562503,2.462873101177433
6,semiprime,300,2.651663530874297,1.2478197470417738,2.6505495018173617
7,prime,300,2.5110267141500495,1.243249926975148,2.427189966748145
7,semiprime,300,2.508025642875754,1.178683059951355,2.538463798720209
8,prime,300,2.331787472132634,1.218565991355086,2.1600160533833423
8,semiprime,300,2.4373256642969676,1.2649164013992746,2.3895771980077702
