n,label,factorization,x17,x19,theta_base,theta17,theta19
1,other_composite,,0,0,0.02857142857142857,0.0,0.0
30031,semiprime_large,59 * 509,1,0,0.02857142857142857,0.058823529411764705,0.0
60061,semiprime_large,17 * 3533,2,0,0.02857142857142857,0.11764705882352941,0.0
90091,semiprime_large,23 * 3917,3,0,0.02857142857142857,0.17647058823529413,0.0
120121,prime,120121,4,0,0.02857142857142857,0.23529411764705882,0.0
150151,prime,150151,5,0,0.02857142857142857,0.29411764705882354,0.0
180181,prime,180181,6,0,0.02857142857142857,0.35294117647058826,0.0
210211,semiprime_large,31 * 6781,7,0,0.02857142857142857,0.4117647058823529,0.0
240241,other_composite,37 * 43 * 151,8,0,0.02857142857142857,0.47058823529411764,0.0
270271,prime,270271,9,0,0.02857142857142857,0.5294117647058824,0.0
300301,prime,300301,10,0,0.02857142857142857,0.5882352941176471,0.0
330331,prime,330331,11,0,0.02857142857142857,0.6470588235294118,0.0
360361,semiprime_large,89 * 4049,12,0,0.02857142857142857,0.7058823529411765,0.0
390391,prime,390391,13,0,0.02857142857142857,0.7647058823529411,0.0
420421,prime,420421,14,0,0.02857142857142857,0.8235294117647058,0.0
450451,prime,450451,15,0,0.02857142857142857,0.8823529411764706,0.0
480481,semiprime_large,47 * 10223,16,0,0.02857142857142857,0.9411764705882353,0.0
510511,other_composite,19 * 97 * 277,0,1,0.02857142857142857,0.0,0.05263157894736842
540541,prime,540541,1,1,0.02857142857142857,0.058823529411764705,0.05263157894736842
570571,semiprime_large,17 * 33563,2,1,0.02857142857142857,0.11764705882352941,0.05263157894736842
600601,prime,600601,3,1,0.02857142857142857,0.17647058823529413,0.05263157894736842
630631,semiprime_large,199 * 3169,4,1,0.02857142857142857,0.23529411764705882,0.05263157894736842
660661,prime,660661,5,1,0.02857142857142857,0.29411764705882354,0.05263157894736842
690691,semiprime_large,139 * 4969,6,1,0.02857142857142857,0.35294117647058826,0.05263157894736842
720721,semiprime_large,71 * 10151,7,1,0.02857142857142857,0.4117647058823529,0.05263157894736842
750751,semiprime_large,41 * 18311,8,1,0.02857142857142857,0.47058823529411764,0.05263157894736842
780781,other_composite,23 * 83 * 409,9,1,0.02857142857142857,0.5294117647058824,0.05263157894736842
810811,other_composite,29 * 73 * 383,10,1,0.02857142857142857,0.5882352941176471,0.05263157894736842
840841,prime,840841,11,1,0.02857142857142857,0.6470588235294118,0.05263157894736842
870871,prime,870871,12,1,0.02857142857142857,0.7058823529411765,0.05263157894736842
900901,semiprime_large,163 * 5527,13,1,0.02857142857142857,0.7647058823529411,0.05263157894736842
930931,prime,930931,14,1,0.02857142857142857,0.8235294117647058,0.05263157894736842
960961,prime,960961,15,1,0.02857142857142857,0.8823529411764706,0.05263157894736842
990991,semiprime_large,443 * 2237,16,1,0.02857142857142857,0.9411764705882353,0.05263157894736842
1021021,semiprime_large,181 * 5641,0,2,0.02857142857142857,0.0,0.10526315789473684
1051051,prime,1051051,1,2,0.02857142857142857,0.058823529411764705,0.10526315789473684
1081081,other_composite,17 * 19 * 3347,2,2,0.02857142857142857,0.11764705882352941,0.10526315789473684
1111111,semiprime_large,239 * 4649,3,2,0.02857142857142857,0.17647058823529413,0.10526315789473684
1141141,other_composite,31 * 131 * 281,4,2,0.02857142857142857,0.23529411764705882,0.10526315789473684
1171171,semiprime_large,167 * 7013,5,2,0.02857142857142857,0.29411764705882354,0.10526315789473684
1201201,prime,1201201,6,2,0.02857142857142857,0.35294117647058826,0.10526315789473684
1231231,prime,1231231,7,2,0.02857142857142857,0.4117647058823529,0.10526315789473684
1261261,prime,1261261,8,2,0.02857142857142857,0.47058823529411764,0.10526315789473684
1291291,semiprime_large,67 * 19273,9,2,0.02857142857142857,0.5294117647058824,0.10526315789473684
1321321,semiprime_large,61 * 21661,10,2,0.02857142857142857,0.5882352941176471,0.10526315789473684
1351351,semiprime_large,37 * 36523,11,2,0.02857142857142857,0.6470588235294118,0.10526315789473684
1381381,prime,1381381,12,2,0.02857142857142857,0.7058823529411765,0.10526315789473684
1411411,prime,1411411,13,2,0.02857142857142857,0.7647058823529411,0.10526315789473684
1441441,semiprime_large,53 * 27197,14,2,0.02857142857142857,0.8235294117647058,0.10526315789473684
1471471,semiprime_large,23 * 63977,15,2,0.02857142857142857,0.8823529411764706,0.10526315789473684
1501501,prime,1501501,16,2,0.02857142857142857,0.9411764705882353,0.10526315789473684
1531531,semiprime_large,43 * 35617,0,3,0.02857142857142857,0.0,0.15789473684210525
1561561,semiprime_large,101 * 15461,1,3,0.02857142857142857,0.058823529411764705,0.15789473684210525
1591591,other_composite,17 * 251 * 373,2,3,0.02857142857142857,0.11764705882352941,0.15789473684210525
1621621,prime,1621621,3,3,0.02857142857142857,0.17647058823529413,0.15789473684210525
1651651,semiprime_large,19 * 86929,4,3,0.02857142857142857,0.23529411764705882,0.15789473684210525
1681681,other_composite,29 * 103 * 563,5,3,0.02857142857142857,0.29411764705882354,0.15789473684210525
1711711,semiprime_large,463 * 3697,6,3,0.02857142857142857,0.35294117647058826,0.15789473684210525
1741741,prime,1741741,7,3,0.02857142857142857,0.4117647058823529,0.15789473684210525
1771771,semiprime_large,293 * 6047,8,3,0.02857142857142857,0.47058823529411764,0.15789473684210525
1801801,semiprime_large,59 * 30539,9,3,0.02857142857142857,0.5294117647058824,0.15789473684210525
1831831,prime,1831831,10,3,0.02857142857142857,0.5882352941176471,0.15789473684210525
1861861,prime,1861861,11,3,0.02857142857142857,0.6470588235294118,0.15789473684210525
1891891,semiprime_large,47 * 40253,12,3,0.02857142857142857,0.7058823529411765,0.15789473684210525
1921921,prime,1921921,13,3,0.02857142857142857,0.7647058823529411,0.15789473684210525
1951951,prime,1951951,14,3,0.02857142857142857,0.8235294117647058,0.15789473684210525
1981981,semiprime_large,41 * 48341,15,3,0.02857142857142857,0.8823529411764706,0.15789473684210525
2012011,prime,2012011,16,3,0.02857142857142857,0.9411764705882353,0.15789473684210525
2042041,semiprime_large,1429 * 1429,0,4,0.02857142857142857,0.0,0.21052631578947367
2072071,semiprime_large,31 * 66841,1,4,0.02857142857142857,0.058823529411764705,0.21052631578947367
2102101,semiprime_large,17 * 123653,2,4,0.02857142857142857,0.11764705882352941,0.21052631578947367
2132131,other_composite,79 * 137 * 197,3,4,0.02857142857142857,0.17647058823529413,0.21052631578947367
2162161,semiprime_large,23 * 94007,4,4,0.02857142857142857,0.23529411764705882,0.21052631578947367
2192191,semiprime_large,157 * 13963,5,4,0.02857142857142857,0.29411764705882354,0.21052631578947367
2222221,semiprime_large,19 * 116959,6,4,0.02857142857142857,0.35294117647058826,0.21052631578947367
2252251,prime,2252251,7,4,0.02857142857142857,0.4117647058823529,0.21052631578947367
2282281,prime,2282281,8,4,0.02857142857142857,0.47058823529411764,0.21052631578947367
2312311,prime,2312311,9,4,0.02857142857142857,0.5294117647058824,0.21052631578947367
2342341,semiprime_large,461 * 5081,10,4,0.02857142857142857,0.5882352941176471,0.21052631578947367
2372371,prime,2372371,11,4,0.02857142857142857,0.6470588235294118,0.21052631578947367
2402401,prime,2402401,12,4,0.02857142857142857,0.7058823529411765,0.21052631578947367
2432431,other_composite,107 * 127 * 179,13,4,0.02857142857142857,0.7647058823529411,0.21052631578947367
2462461,semiprime_large,37 * 66553,14,4,0.02857142857142857,0.8235294117647058,0.21052631578947367
2492491,semiprime_large,1087 * 2293,15,4,0.02857142857142857,0.8823529411764706,0.21052631578947367
2522521,semiprime_large,311 * 8111,16,4,0.02857142857142857,0.9411764705882353,0.21052631578947367
2552551,semiprime_large,29 * 88019,0,5,0.02857142857142857,0.0,0.2631578947368421
2582581,prime,2582581,1,5,0.02857142857142857,0.058823529411764705,0.2631578947368421
2612611,other_composite,17 * 313 * 491,2,5,0.02857142857142857,0.11764705882352941,0.2631578947368421
2642641,semiprime_large,1259 * 2099,3,5,0.02857142857142857,0.17647058823529413,0.2631578947368421
2672671,prime,2672671,4,5,0.02857142857142857,0.23529411764705882,0.2631578947368421
2702701,prime,2702701,5,5,0.02857142857142857,0.29411764705882354,0.2631578947368421
2732731,semiprime_large,1433 * 1907,6,5,0.02857142857142857,0.35294117647058826,0.2631578947368421
2762761,prime,2762761,7,5,0.02857142857142857,0.4117647058823529,0.2631578947368421
2792791,semiprime_large,19 * 146989,8,5,0.02857142857142857,0.47058823529411764,0.2631578947368421
2822821,semiprime_large,43 * 65647,9,5,0.02857142857142857,0.5294117647058824,0.2631578947368421
2852851,other_composite,23 * 71 * 1747,10,5,0.02857142857142857,0.5882352941176471,0.2631578947368421
2882881,semiprime_large,229 * 12589,11,5,0.02857142857142857,0.6470588235294118,0.2631578947368421
2912911,semiprime_large,521 * 5591,12,5,0.02857142857142857,0.7058823529411765,0.2631578947368421
2942941,semiprime_large,487 * 6043,13,5,0.02857142857142857,0.7647058823529411,0.2631578947368421
2972971,prime,2972971,14,5,0.02857142857142857,0.8235294117647058,0.2631578947368421
3003001,other_composite,31 * 73 * 1327,15,5,0.02857142857142857,0.8823529411764706,0.2631578947368421
3033031,other_composite,53 * 89 * 643,16,5,0.02857142857142857,0.9411764705882353,0.2631578947368421
3063061,semiprime_large,1451 * 2111,0,6,0.02857142857142857,0.0,0.3157894736842105
3093091,semiprime_large,149 * 20759,1,6,0.02857142857142857,0.058823529411764705,0.3157894736842105
3123121,semiprime_large,17 * 183713,2,6,0.02857142857142857,0.11764705882352941,0.3157894736842105
3153151,semiprime_large,61 * 51691,3,6,0.02857142857142857,0.17647058823529413,0.3157894736842105
3183181,semiprime_large,421 * 7561,4,6,0.02857142857142857,0.23529411764705882,0.3157894736842105
3213211,other_composite,41 * 109 * 719,5,6,0.02857142857142857,0.29411764705882354,0.3157894736842105
3243241,semiprime_large,997 * 3253,6,6,0.02857142857142857,0.35294117647058826,0.3157894736842105
3273271,other_composite,83 * 113 * 349,7,6,0.02857142857142857,0.4117647058823529,0.3157894736842105
3303301,other_composite,47 * 67 * 1049,8,6,0.02857142857142857,0.47058823529411764,0.3157894736842105
3333331,prime,3333331,9,6,0.02857142857142857,0.5294117647058824,0.3157894736842105
3363361,semiprime_large,19 * 177019,10,6,0.02857142857142857,0.5882352941176471,0.3157894736842105
3393391,semiprime_large,223 * 15217,11,6,0.02857142857142857,0.6470588235294118,0.3157894736842105
3423421,other_composite,29 * 97 * 1217,12,6,0.02857142857142857,0.7058823529411765,0.3157894736842105
3453451,prime,3453451,13,6,0.02857142857142857,0.7647058823529411,0.3157894736842105
3483481,prime,3483481,14,6,0.02857142857142857,0.8235294117647058,0.3157894736842105
3513511,prime,3513511,15,6,0.02857142857142857,0.8823529411764706,0.3157894736842105
3543541,semiprime_large,23 * 154067,16,6,0.02857142857142857,0.9411764705882353,0.3157894736842105
3573571,other_composite,37 * 59 * 1637,0,7,0.02857142857142857,0.0,0.3684210526315789
3603601,semiprime_large,541 * 6661,1,7,0.02857142857142857,0.058823529411764705,0.3684210526315789
3633631,other_composite,17 * 211 * 1013,2,7,0.02857142857142857,0.11764705882352941,0.3684210526315789
3663661,prime,3663661,3,7,0.02857142857142857,0.17647058823529413,0.3684210526315789
3693691,prime,3693691,4,7,0.02857142857142857,0.23529411764705882,0.3684210526315789
3723721,prime,3723721,5,7,0.02857142857142857,0.29411764705882354,0.3684210526315789
3753751,prime,3753751,6,7,0.02857142857142857,0.35294117647058826,0.3684210526315789
3783781,semiprime_large,263 * 14387,7,7,0.02857142857142857,0.4117647058823529,0.3684210526315789
3813811,prime,3813811,8,7,0.02857142857142857,0.47058823529411764,0.3684210526315789
3843841,prime,3843841,9,7,0.02857142857142857,0.5294117647058824,0.3684210526315789
3873871,prime,3873871,10,7,0.02857142857142857,0.5882352941176471,0.3684210526315789
3903901,prime,3903901,11,7,0.02857142857142857,0.6470588235294118,0.3684210526315789
