H,small_pattern_id,small_signature_uint64,num_occurrences_in_small_word,num_positions_that_split_upstairs,max_distinct_large_future_classes_for_this_pattern
57,0,0,6196,0,1
57,1,1,312,312,2
57,2,2,312,312,2
57,3,4,448,448,2
57,4,8,448,448,2
57,5,16,448,448,2
57,6,32,404,404,2
57,7,33,44,44,4
57,8,64,404,404,2
57,9,66,44,44,4
57,10,128,554,554,2
57,11,132,86,86,4
57,12,256,554,554,2
57,13,264,86,86,4
57,14,512,554,554,2
57,15,528,86,86,4
57,16,1024,554,554,2
57,17,1056,86,86,4
57,18,2048,554,554,2
57,19,2112,86,86,4
57,20,4096,554,554,2
57,21,4224,86,86,4
57,22,8192,554,554,2
57,23,8448,86,86,4
57,24,16384,554,554,2
57,25,16896,86,86,4
57,26,32768,407,407,2
57,27,32769,147,147,3
57,28,33792,86,86,4
57,29,65536,407,407,2
57,30,65538,147,147,3
57,31,67584,86,86,4
57,32,131072,509,509,2
57,33,131076,229,229,3
57,34,135168,86,86,4
57,35,262144,509,509,2
57,36,262152,229,229,3
57,37,270336,86,86,4
57,38,524288,509,509,2
57,39,524304,229,229,3
57,40,540672,86,86,4
57,41,1048576,454,454,2
57,42,1048577,55,55,4
57,43,1048608,221,221,3
57,44,1048609,8,8,6
57,45,1081344,82,82,4
57,46,1081345,4,4,6
57,47,2097152,454,454,2
57,48,2097154,55,55,4
57,49,2097216,221,221,3
57,50,2097218,8,8,6
57,51,2162688,82,82,4
57,52,2162690,4,4,6
57,53,4194304,694,694,2
57,54,4194308,151,151,4
57,55,4194432,316,316,3
57,56,4194436,16,16,6
57,57,4325376,152,152,4
57,58,4325380,24,24,6
57,59,8388608,694,694,2
57,60,8388616,151,151,4
57,61,8388864,316,316,3
57,62,8388872,16,16,6
57,63,8650752,152,152,4
57,64,8650760,24,24,6
57,65,16777216,694,694,2
57,66,16777232,151,151,4
57,67,16777728,316,316,3
57,68,16777744,16,16,6
57,69,17301504,152,152,4
57,70,17301520,24,24,6
57,71,33554432,694,694,2
57,72,33554464,151,151,4
57,73,33555456,316,316,3
57,74,33555488,16,16,6
57,75,34603008,152,152,4
57,76,34603040,24,24,6
57,77,67108864,694,694,2
57,78,67108928,151,151,4
57,79,67110912,316,316,3
57,80,67110976,16,16,6
57,81,69206016,152,152,4
57,82,69206080,24,24,6
57,83,134217728,830,830,2
57,84,134217856,167,167,4
57,85,134221824,316,316,3
57,86,134221952,16,16,6
57,87,138412032,192,192,4
57,88,138412160,24,24,6
57,89,268435456,830,830,2
57,90,268435712,167,167,4
57,91,268443648,316,316,3
57,92,268443904,16,16,6
57,93,276824064,192,192,4
57,94,276824320,24,24,6
57,95,536870912,830,830,2
57,96,536871424,167,167,4
57,97,536887296,316,316,3
57,98,536887808,16,16,6
57,99,553648128,192,192,4
57,100,553648640,24,24,6
57,101,1073741824,694,694,2
57,102,1073741825,136,136,3
57,103,1073742848,167,167,4
57,104,1073774592,269,269,3
57,105,1073774593,47,47,4
57,106,1073775616,16,16,6
57,107,1107296256,192,192,4
57,108,1107297280,24,24,6
57,109,2147483648,694,694,2
57,110,2147483650,136,136,3
57,111,2147485696,167,167,4
57,112,2147549184,269,269,3
57,113,2147549186,47,47,4
57,114,2147551232,16,16,6
57,115,2214592512,192,192,4
57,116,2214594560,24,24,6
57,117,4294967296,694,694,2
57,118,4294967300,136,136,3
57,119,4294971392,167,167,4
57,120,4295098368,269,269,3
57,121,4295098372,47,47,4
57,122,4295102464,16,16,6
57,123,4429185024,192,192,4
57,124,4429189120,24,24,6
57,125,8589934592,694,694,2
57,126,8589934600,136,136,3
57,127,8589942784,167,167,4
57,128,8590196736,269,269,3
57,129,8590196744,47,47,4
57,130,8590204928,16,16,6
57,131,8858370048,192,192,4
57,132,8858378240,24,24,6
57,133,17179869184,694,694,2
57,134,17179869200,136,136,3
57,135,17179885568,167,167,4
57,136,17180393472,269,269,3
57,137,17180393488,47,47,4
57,138,17180409856,16,16,6
57,139,17716740096,192,192,4
57,140,17716756480,24,24,6
57,141,34359738368,454,454,2
57,142,34359738369,240,240,3
57,143,34359738400,110,110,3
57,144,34359738401,26,26,5
57,145,34359771136,143,143,4
57,146,34359771137,24,24,5
57,147,34360786944,252,252,3
57,148,34360786945,17,17,5
57,149,34360786976,43,43,4
57,150,34360786977,4,4,7
57,151,34360819712,16,16,6
57,152,35433480192,152,152,4
57,153,35433480193,40,40,5
57,154,35433512960,16,16,6
57,155,35433512961,8,8,7
57,156,68719476736,454,454,2
57,157,68719476738,240,240,3
57,158,68719476800,110,110,3
57,159,68719476802,26,26,5
57,160,68719542272,143,143,4
57,161,68719542274,24,24,5
57,162,68721573888,252,252,3
57,163,68721573890,17,17,5
57,164,68721573952,43,43,4
57,165,68721573954,4,4,7
57,166,68721639424,16,16,6
57,167,70866960384,152,152,4
57,168,70866960386,40,40,5
57,169,70867025920,16,16,6
57,170,70867025922,8,8,7
57,171,137438953472,509,509,2
57,172,137438953476,336,336,3
57,173,137438953600,112,112,3
57,174,137438953604,40,40,5
57,175,137439084544,154,154,4
57,176,137439084548,34,34,5
57,177,137443147776,269,269,3
57,178,137443147780,29,29,5
57,179,137443147904,44,44,4
57,180,137443147908,8,8,7
57,181,137443278848,16,16,6
57,182,141733920768,152,152,4
57,183,141733920772,40,40,5
57,184,141734051840,16,16,6
57,185,141734051844,8,8,7
57,186,274877906944,509,509,2
57,187,274877906952,336,336,3
57,188,274877907200,112,112,3
57,189,274877907208,40,40,5
57,190,274878169088,154,154,4
57,191,274878169096,34,34,5
57,192,274886295552,269,269,3
57,193,274886295560,29,29,5
57,194,274886295808,44,44,4
57,195,274886295816,8,8,7
57,196,274886557696,16,16,6
57,197,283467841536,152,152,4
57,198,283467841544,40,40,5
57,199,283468103680,16,16,6
57,200,283468103688,8,8,7
57,201,549755813888,509,509,2
57,202,549755813904,336,336,3
57,203,549755814400,112,112,3
57,204,549755814416,40,40,5
57,205,549756338176,154,154,4
57,206,549756338192,34,34,5
57,207,549772591104,269,269,3
57,208,549772591120,29,29,5
57,209,549772591616,44,44,4
57,210,549772591632,8,8,7
57,211,549773115392,16,16,6
57,212,566935683072,152,152,4
57,213,566935683088,40,40,5
57,214,566936207360,16,16,6
57,215,566936207376,8,8,7
57,216,1099511627776,407,407,2
57,217,1099511627777,102,102,3
57,218,1099511627808,274,274,3
57,219,1099511627809,62,62,5
57,220,1099511628800,112,112,3
57,221,1099511628832,40,40,5
57,222,1099512676352,143,143,4
57,223,1099512676353,11,11,5
57,224,1099512676384,34,34,5
57,225,1099545182208,269,269,3
57,226,1099545182240,29,29,5
57,227,1099545183232,44,44,4
57,228,1099545183264,8,8,7
57,229,1099546230784,16,16,6
57,230,1133871366144,82,82,4
57,231,1133871366145,70,70,5
57,232,1133871366176,40,40,5
57,233,1133872414720,16,16,6
57,234,1133872414752,8,8,7
57,235,2199023255552,407,407,2
57,236,2199023255554,102,102,3
57,237,2199023255616,274,274,3
57,238,2199023255618,62,62,5
57,239,2199023257600,112,112,3
57,240,2199023257664,40,40,5
57,241,2199025352704,143,143,4
57,242,2199025352706,11,11,5
57,243,2199025352768,34,34,5
57,244,2199090364416,269,269,3
57,245,2199090364480,29,29,5
57,246,2199090366464,44,44,4
57,247,2199090366528,8,8,7
57,248,2199092461568,16,16,6
57,249,2267742732288,82,82,4
57,250,2267742732290,70,70,5
57,251,2267742732352,40,40,5
57,252,2267744829440,16,16,6
57,253,2267744829504,8,8,7
57,254,4398046511104,554,554,2
57,255,4398046511108,184,184,3
57,256,4398046511232,349,349,3
57,257,4398046511236,90,90,5
57,258,4398046515200,112,112,3
57,259,4398046515328,40,40,5
57,260,4398050705408,167,167,4
57,261,4398050705412,21,21,5
57,262,4398050705536,34,34,5
57,263,4398180728832,316,316,3
57,264,4398180728960,34,34,5
57,265,4398180732928,44,44,4
57,266,4398180733056,8,8,7
57,267,4398184923136,24,24,6
57,268,4535485464576,86,86,4
57,269,4535485464580,90,90,5
57,270,4535485464704,40,40,5
57,271,4535489658880,16,16,6
57,272,4535489659008,8,8,7
57,273,8796093022208,554,554,2
57,274,8796093022216,184,184,3
57,275,8796093022464,349,349,3
57,276,8796093022472,90,90,5
57,277,8796093030400,112,112,3
57,278,8796093030656,40,40,5
57,279,8796101410816,167,167,4
57,280,8796101410824,21,21,5
57,281,8796101411072,34,34,5
57,282,8796361457664,316,316,3
57,283,8796361457920,34,34,5
57,284,8796361465856,44,44,4
57,285,8796361466112,8,8,7
57,286,8796369846272,24,24,6
57,287,9070970929152,86,86,4
57,288,9070970929160,90,90,5
57,289,9070970929408,40,40,5
57,290,9070979317760,16,16,6
57,291,9070979318016,8,8,7
57,292,17592186044416,554,554,2
57,293,17592186044432,184,184,3
57,294,17592186044928,349,349,3
57,295,17592186044944,90,90,5
57,296,17592186060800,112,112,3
