H,small_pattern_id,example_small_phase_t,num_occurrences_in_small_word,num_positions_that_split_upstairs,max_distinct_large_future_classes_for_this_pattern,example_distinct_large_signature_count,example_first_large_signature_uint64,example_second_large_signature_uint64
55,1,82,448,448,2,2,0,1
55,2,83,448,448,2,2,0,2
55,3,84,448,448,2,2,0,4
55,4,85,448,448,2,2,0,8
55,5,86,448,448,2,2,0,16
55,6,162,554,554,2,2,0,32
55,7,87,86,86,4,4,0,1
55,8,163,554,554,2,2,0,64
55,9,88,86,86,4,4,0,2
55,10,164,554,554,2,2,0,128
56,1,81,312,312,2,2,0,1
56,2,82,448,448,2,2,0,2
56,3,83,448,448,2,2,0,4
56,4,84,448,448,2,2,0,8
56,5,85,448,448,2,2,0,16
56,6,161,404,404,2,2,0,32
56,7,86,44,44,4,4,0,1
56,8,162,554,554,2,2,0,64
56,9,87,86,86,4,4,0,2
56,10,163,554,554,2,2,0,128
57,1,80,312,312,2,2,0,1
57,2,81,312,312,2,2,0,2
57,3,82,448,448,2,2,0,4
57,4,83,448,448,2,2,0,8
57,5,84,448,448,2,2,0,16
57,6,160,404,404,2,2,0,32
57,7,85,44,44,4,4,0,1
57,8,161,404,404,2,2,0,64
57,9,86,44,44,4,4,0,2
57,10,162,554,554,2,2,0,128
