j,b_mod_35,u_mod_11,v_mod_13,u_norm,v_norm,phi_mod_143
16,16,0,0,2,4,134
31,31,0,0,4,1,92
71,1,2,0,2,6,123
86,16,2,0,4,3,81
136,31,3,0,7,6,84
141,1,4,0,4,5,70
171,31,4,0,8,12,129
211,1,6,0,6,4,17
226,16,6,0,8,1,118
241,31,6,0,10,11,76
246,1,7,0,7,10,62
281,1,8,0,8,3,107
311,31,8,0,1,10,23
346,31,9,0,2,3,68
366,16,10,0,1,12,12
401,16,0,1,2,5,57
421,1,1,1,1,1,1
471,16,2,1,4,4,4
486,31,2,1,6,1,105
526,1,4,1,4,6,136
541,16,4,1,6,3,94
576,16,5,1,7,9,139
596,1,6,1,6,5,83
626,31,6,1,10,12,142
631,1,7,1,7,11,128
666,1,8,1,8,4,30
681,16,8,1,10,1,131
696,31,8,1,1,11,89
731,31,9,1,2,4,134
736,1,10,1,10,3,120
786,16,0,2,2,6,123
801,31,0,2,4,3,81
856,16,2,2,4,5,70
926,16,4,2,6,4,17
941,31,4,2,8,1,118
961,16,5,2,7,10,62
981,1,6,2,6,6,6
996,16,6,2,8,3,107
1016,1,7,2,7,12,51
1051,1,8,2,8,5,96
1081,31,8,2,1,12,12
1116,31,9,2,2,5,57
1121,1,10,2,10,4,43
1136,16,10,2,1,1,1
1186,31,0,3,4,4,4
1191,1,1,3,1,3,133
1226,1,2,3,2,9,35
1241,16,2,3,4,6,136
1256,31,2,3,6,3,94
1291,31,3,3,7,9,139
1311,16,4,3,6,5,83
1346,16,5,3,7,11,128
1381,16,6,3,8,4,30
1396,31,6,3,10,1,131
1436,1,8,3,8,6,19
1451,16,8,3,10,3,120
1501,31,9,3,2,6,123
1506,1,10,3,10,5,109
1571,31,0,4,4,5,70
1576,1,1,4,1,4,56
1611,1,2,4,2,10,101
1641,31,2,4,6,4,17
1676,31,3,4,7,10,62
1681,1,4,4,4,9,48
1696,16,4,4,6,6,6
1711,31,4,4,8,3,107
1731,16,5,4,7,12,51
1766,16,6,4,8,5,96
1786,1,7,4,7,1,40
1836,16,8,4,10,4,43
1851,31,8,4,1,1,1
1891,1,10,4,10,6,32
1906,16,10,4,1,3,133
1941,16,0,5,2,9,35
1956,31,0,5,4,6,136
1961,1,1,5,1,5,122
1996,1,2,5,2,11,24
2026,31,2,5,6,5,83
2061,31,3,5,7,11,128
2066,1,4,5,4,10,114
2096,31,4,5,8,4,30
2136,1,6,5,6,9,61
2151,16,6,5,8,6,19
2166,31,6,5,10,3,120
2221,16,8,5,10,5,109
2291,16,10,5,1,4,56
2326,16,0,6,2,10,101
2346,1,1,6,1,6,45
2381,1,2,6,2,12,90
2396,16,2,6,4,9,48
2411,31,2,6,6,6,6
2446,31,3,6,7,12,51
2451,1,4,6,4,11,37
2481,31,4,6,8,5,96
2501,16,5,6,7,1,40
2521,1,6,6,6,10,127
2551,31,6,6,10,4,43
2556,1,7,6,7,3,29
2591,1,8,6,8,9,74
2606,16,8,6,10,6,32
2621,31,8,6,1,3,133
2656,31,9,6,2,9,35
2676,16,10,6,1,5,122
2711,16,0,7,2,11,24
2781,16,2,7,4,10,114
2836,1,4,7,4,12,103
2851,16,4,7,6,9,61
2866,31,4,7,8,6,19
2906,1,6,7,6,11,50
2936,31,6,7,10,5,109
2941,1,7,7,7,4,95
2976,1,8,7,8,10,140
3006,31,8,7,1,4,56
3041,31,9,7,2,10,101
3046,1,10,7,10,9,87
3061,16,10,7,1,6,45
3096,16,0,8,2,12,90
3111,31,0,8,4,9,48
3151,1,2,8,2,1,79
3166,16,2,8,4,11,37
3216,31,3,8,7,1,40
3236,16,4,8,6,10,127
3271,16,5,8,7,3,29
3291,1,6,8,6,12,116
3306,16,6,8,8,9,74
3321,31,6,8,10,6,32
3326,1,7,8,7,5,18
3361,1,8,8,8,11,63
3391,31,8,8,1,5,122
3426,31,9,8,2,11,24
3431,1,10,8,10,10,10
3496,31,0,9,4,10,114
3501,1,1,9,1,9,100
3551,16,2,9,4,12,103
3566,31,2,9,6,9,61
3606,1,4,9,4,1,92
3621,16,4,9,6,11,50
3656,16,5,9,7,4,95
3691,16,6,9,8,10,140
3711,1,7,9,7,6,84
3746,1,8,9,8,12,129
3761,16,8,9,10,9,87
3776,31,8,9,1,6,45
3811,31,9,9,2,12,90
3816,1,10,9,10,11,76
3866,16,0,10,2,1,79
3881,31,0,10,4,11,37
3886,1,1,10,1,10,23
3921,1,2,10,2,3,68
3951,31,2,10,6,10,127
3986,31,3,10,7,3,29
4006,16,4,10,6,12,116
4021,31,4,10,8,9,74
4041,16,5,10,7,5,18
4061,1,6,10,6,1,105
4076,16,6,10,8,11,63
4146,16,8,10,10,10,10
4201,1,10,10,10,12,142
4216,16,10,10,1,9,100
4266,31,0,11,4,12,103
4271,1,1,11,1,11,89
4306,1,2,11,2,4,134
4321,16,2,11,4,1,92
4336,31,2,11,6,11,50
4371,31,3,11,7,4,95
4376,1,4,11,4,3,81
4406,31,4,11,8,10,140
4426,16,5,11,7,6,84
4461,16,6,11,8,12,129
4476,31,6,11,10,9,87
4516,1,8,11,8,1,118
4531,16,8,11,10,11,76
4581,31,9,11,2,1,79
4601,16,10,11,1,10,23
4636,16,0,12,2,3,68
4656,1,1,12,1,12,12
4691,1,2,12,2,5,57
4721,31,2,12,6,12,116
4756,31,3,12,7,5,18
4761,1,4,12,4,4,4
4776,16,4,12,6,1,105
4791,31,4,12,8,11,63
4831,1,6,12,6,3,94
4861,31,6,12,10,10,10
4866,1,7,12,7,9,139
4916,16,8,12,10,12,142
4931,31,8,12,1,9,100
4971,1,10,12,10,1,131
4986,16,10,12,1,11,89
