comparison,paired_instances,mean_delay_diff,delay_ci_low,delay_ci_high,mean_force_diff,force_ci_low,force_ci_high,delay_win_rate,force_win_rate,robust_better_delay,robust_better_force
fibonacci_block_growth_base - balanced_binary_partitions,264,0.4076118326118326,0.3218557501236832,0.49336791509998196,-0.03604158888249797,-0.04371384513820882,-0.02836933262678712,0.5795454545454546,0.5795454545454546,True,True
fibonacci_block_growth_base - fib_asymmetry_off,264,1.4589433293978749,1.3922941661545931,1.5255924926411566,-0.20560789168743715,-0.21266078468886085,-0.19855499868601345,0.9962121212121212,0.9962121212121212,True,True
fibonacci_block_growth_base - fib_binary_growth_schedule,264,0.2649621212121212,0.2113561208400653,0.31856812158417713,-0.024588048735776007,-0.030004461828759207,-0.019171635642792808,0.45075757575757575,0.45075757575757575,True,True
fibonacci_block_growth_base - fib_de_fibonacci_plus1,264,0.2299512987012987,0.17973759680762047,0.28016500059497695,-0.022075451904997358,-0.027311477157055546,-0.01683942665293917,0.3977272727272727,0.3977272727272727,True,True
fibonacci_block_growth_base - fib_linear_hash,264,0.23181818181818184,0.18162729467981495,0.2820090689565487,-0.018749437641483093,-0.023678807222037433,-0.013820068060928753,0.39015151515151514,0.39015151515151514,True,True
fibonacci_block_growth_base - fib_no_parity_flip,264,0.633020683020683,0.574818889768024,0.6912224762733421,-0.05986137704887705,-0.06530176895107377,-0.05442098514668032,0.7386363636363636,0.7386363636363636,True,True
fibonacci_block_growth_base - fib_parity_hash,264,0.6076839826839827,0.5556202373726836,0.6597477279952818,-0.056801132369314195,-0.06150519481587335,-0.05209706992275504,0.7727272727272727,0.7727272727272727,True,True
fibonacci_block_growth_base - fib_shallow_stop_expand,264,-0.019570707070707075,-0.05557481384988003,0.01643339970846588,0.001189519655428747,-0.0027505159373605245,0.005129555248218018,0.07954545454545454,0.07954545454545454,False,False
fibonacci_block_growth_base - fibonacci_mirrored_growth,264,-0.10602453102453104,-0.15263674351354123,-0.05941231853552085,0.009892574807347536,0.005593643586519014,0.014191506028176058,0.07954545454545454,0.07954545454545454,False,False
fibonacci_block_growth_base - random_baseline,264,0.19314574314574315,0.1451123832954503,0.241179102996036,-0.02336240148740149,-0.029335504320583353,-0.017389298654219624,0.36363636363636365,0.36363636363636365,True,True
