family,n,seed,omega_red,omega_blue,alpha_red,alpha_blue,max_mono_clique_present,max_mono_independent_present,first_absent_mono_clique_size,first_absent_mono_independent_size,delay_score,force_index,red_density,spectral_radius,spectral_gap,adjacency_energy,signature_name,signature_value,signature_phi_distance
fibonacci_block_growth,8,0,3,3,3,3,3,3,4,4,2.6666666666666665,0.375,0.6071428571428571,4.319105983760848,3.3191059837608483,12.501745304992482,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,1,4,3,3,4,4,4,5,5,2.0,0.5,0.5714285714285714,4.132637493579839,2.992202124092012,11.508534334319366,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,2,3,3,3,3,3,3,4,4,2.6666666666666665,0.375,0.5357142857142857,3.846447631875522,2.654975013610371,12.597300209597206,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,8,3,3,3,3,3,3,3,4,4,2.6666666666666665,0.375,0.5714285714285714,4.12814697150289,2.923488998106145,12.379728416848742,fib_block_ratio,1.6666666666666667,0.04863267791677184
fibonacci_block_growth,10,0,4,4,4,4,4,4,5,5,2.5,0.4,0.5777777777777777,5.262871214174547,3.8356889579219198,15.930206031648385,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,1,4,4,4,4,4,4,5,5,2.5,0.4,0.5555555555555556,5.139522106181211,3.8612834954754094,15.486831456257134,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,2,4,3,3,4,4,4,5,5,2.5,0.4,0.5333333333333333,4.935453974434633,3.15545562036513,16.643808444534216,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,10,3,3,4,4,3,4,4,5,5,2.5,0.4,0.5555555555555556,5.069239401662898,3.382809041143097,15.710291587785969,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,12,0,4,4,4,4,4,4,5,5,3.0,0.3333333333333333,0.5606060606060606,6.214048919788268,4.169843282276188,22.11699923372771,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,12,1,4,4,4,4,4,4,5,5,3.0,0.3333333333333333,0.5454545454545454,6.101940140363328,4.45277489563002,21.741665987525593,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,12,2,4,3,3,4,4,4,5,5,3.0,0.3333333333333333,0.5303030303030303,5.890336927275471,3.7593975658043117,22.480635581806734,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,12,3,4,4,4,4,4,4,5,5,3.0,0.3333333333333333,0.5454545454545454,6.087689746436004,4.250380770740762,21.602651383070683,fib_block_ratio,1.6,0.018033988749894814
fibonacci_block_growth,14,0,4,5,5,4,5,5,6,6,2.8,0.35714285714285715,0.5384615384615384,7.14869050417748,5.097209451038998,25.878052570900827,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,14,1,4,4,4,4,4,4,5,5,3.5,0.2857142857142857,0.5384615384615384,7.08636675363558,5.14979904440813,26.05749185856197,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,14,2,5,4,4,5,5,5,6,6,2.8,0.35714285714285715,0.5274725274725275,6.978328755194759,4.565325321592399,27.644329530289134,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,14,3,4,5,5,4,5,5,6,6,2.8,0.35714285714285715,0.5384615384615384,7.071070614649942,5.1710106728382845,26.637797500558086,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,16,0,5,5,5,5,5,5,6,6,3.2,0.3125,0.525,7.971273227457091,4.954883775002411,31.76365154523127,fib_block_ratio,1.625,0.0069660112501050975
fibonacci_block_growth,16,1,5,5,5,5,5,5,6,6,3.2,0.3125,0.5333333333333333,8.091588682708645,5.244275955710949,31.24337735211555,fib_block_ratio,1.625,0.0069660112501050975
