wheel_W,orbit_length_L,horizon_H,num_global_spin_classes,"num_(b,spin)_states",compression_vs_raw_phase
2310,385,1,2,38,10.131578947368421
2310,385,2,3,41,9.390243902439025
2310,385,3,4,44,8.75
2310,385,5,6,50,7.7
2310,385,8,12,62,6.209677419354839
2310,385,13,22,82,4.695121951219512
2310,385,21,47,126,3.0555555555555554
2310,385,34,129,204,1.8872549019607843
2310,385,55,260,270,1.4259259259259258
2310,385,89,304,304,1.2664473684210527
30030,5005,1,2,38,131.71052631578948
30030,5005,2,3,41,122.07317073170732
30030,5005,3,4,44,113.75
30030,5005,5,6,50,100.1
30030,5005,8,12,62,80.7258064516129
30030,5005,13,22,82,61.03658536585366
30030,5005,21,47,130,38.5
30030,5005,34,133,268,18.675373134328357
30030,5005,55,536,830,6.030120481927711
30030,5005,89,2055,2210,2.264705882352941
